NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM SNAP %,TD
Chris Godwin,WR,TB,1,,29,11,9,17,14,22,14,18,69,22,19,17,40,34,56,58,449,28,41,1
Drew Brees,QB,NO,,62,65,58,74,,71,76,61,60,72,71,57,64,52,68,65,58,1034,64,99.5,0
Dede Westbrook,WR,JAX,,,,,,,,,,,,35,45,54,50,57,87,58,386,55,34.1,1
Jaron Brown,WR,ARI,,55,50,76,82,36,34,,,40,52,31,55,46,55,68,53,58,822,51,73.1,4
Justin Hardy,WR,ATL,,15,19,15,58,,42,9,9,20,21,17,25,11,22,21,21,58,383,23,37.3,3
Lance Kendricks,TE,GB,,21,13,19,18,18,6,14,,29,46,38,29,30,49,22,58,58,468,29,44.7,1
Matthew Stafford,QB,DET,1,71,62,70,70,61,81,,71,68,52,63,59,54,68,63,64,58,1035,64,99.1,0
Rob Gronkowski,TE,NE,,78,46,64,70,,63,71,86,,61,53,64,65,,60,66,58,905,64,79.3,8
Russell Wilson,QB,SEA,1,49,82,73,68,68,,75,69,83,62,74,67,62,62,54,57,58,1063,66,99.5,0
T.Y. Hilton,WR,IND,,44,64,64,51,67,54,57,68,60,49,,62,67,48,51,62,58,926,57,89.9,4
Greg Olsen,TE,CAR,,67,25,,,,,,,,,,24,,59,73,62,57,367,52,34,1
Kirk Cousins,QB,WAS,1,63,71,68,50,,74,64,59,63,75,69,71,56,50,53,69,57,1012,63,99.5,0
Doug Baldwin,WR,SEA,5,43,81,51,46,49,,50,49,70,49,62,53,43,59,48,46,56,855,53,80.1,8
JuJu Smith-Schuster,WR,PIT,1,25,38,51,54,65,44,31,51,,53,67,,54,,66,52,56,707,50,63.8,7
Jamaal Williams,RB,GB,2,6,11,5,12,2,,,,9,35,59,45,48,50,43,62,56,443,27,42.3,2
Mitch Trubisky,QB,CHI,2,,,,,61,80,38,67,,60,63,55,37,76,69,64,56,726,60,73.3,0
Nick Boyle,TE,BAL,,45,42,40,49,44,44,47,55,,,43,47,43,41,51,49,56,696,46,64.1,0
Braxton Miller,WR,HOU,,63,63,37,,,7,,3,,20,61,54,30,,,34,55,427,38,38.7,1
Danny Amendola,WR,NE,,32,,32,36,55,29,38,32,,27,35,39,32,50,37,40,55,569,37,49.9,2
Marvin Jones Jr.,WR,DET,1,68,56,68,64,58,80,,68,65,50,62,59,59,67,62,64,55,1005,62,96.3,9
Randall Cobb,WR,GB,2,63,54,,33,47,53,37,,49,37,48,38,41,57,68,61,55,741,49,70.8,4
Rhett Ellison,TE,NYG,,19,22,20,31,50,35,28,,40,26,46,28,32,39,26,41,55,538,33,49.6,2
TJ Yates,QB,HOU,,,,,,,,,,,,,,,42,62,47,55,206,51,18.7,0
Vernon Davis,TE,WAS,,27,55,56,35,,48,29,48,47,64,62,65,54,42,49,67,55,803,50,79,3
Dez Bryant,WR,DAL,,67,66,41,58,66,,54,60,46,51,54,49,57,49,58,64,54,894,55,83.7,6
Derek Carr,QB,OAK,1,66,57,51,34,,58,82,65,63,,74,68,65,61,70,69,54,937,62,92.5,0
Giovani Bernard,RB,CIN,,29,33,13,21,22,,23,14,11,20,20,15,44,46,49,72,54,486,30,50.3,2
Josh Gordon,WR,CLE,,,,,,,,,,,,,,48,53,55,49,54,259,51,24.2,1
Julio Jones,WR,ATL,,48,48,58,15,,45,,,43,43,50,46,42,54,54,57,54,766,47,74.7,3
Kapri Bibbs,RB,WAS,13,,,,,,,,,,,,,,,16,35,54,105,35,10.3,1
Melvin Gordon III,RB,LAC,,45,48,33,42,65,58,40,33,,47,37,42,53,47,53,53,54,750,46,70.5,4
Devin Funchess,WR,CAR,,45,57,50,58,41,69,56,43,48,59,,60,47,45,64,58,53,853,53,79.1,8
Marcedes Lewis,TE,JAX,,64,54,39,69,45,52,57,,62,77,67,56,56,62,38,44,53,895,55,79,5
Michael Thomas,WR,NO,1,58,58,46,69,,59,60,47,49,56,56,44,48,45,63,40,53,851,53,81.9,5
Corey Coleman,WR,CLE,,53,38,,,,,,,,,51,63,51,39,51,52,52,450,50,42.1,2
Christian McCaffrey,RB,CAR,1,47,43,41,48,37,61,53,38,53,45,,50,40,43,53,53,52,757,47,70.2,5
Dion Lewis,RB,NE,,6,14,12,14,18,29,26,30,,21,26,28,26,18,33,51,52,404,25,35.4,3
Jermaine Gresham,TE,ARI,,55,,55,73,40,59,30,,69,72,45,50,33,49,,68,52,750,53,66.7,2
Jarvis Landry,WR,MIA,,,62,60,46,49,65,70,59,66,53,54,52,53,66,70,55,52,932,58,89.6,9
Leonard Fournette,RB,JAX,,39,40,37,39,39,41,,,,45,52,28,52,50,,50,52,564,43,49.8,1
Chester Rogers,WR,IND,,,,,,,6,34,26,15,42,,40,54,66,53,58,51,445,40,43.2,1
Josh Doctson,WR,WAS,,20,29,36,17,,19,54,47,56,69,60,71,60,46,52,69,51,756,47,74.3,6
Jordan Taylor,WR,DEN,,,,,7,,32,44,,,,2,4,,4,16,53,51,258,25,24.5,0
Kenny Golladay,WR,DET,,44,34,45,,,,,,,11,35,40,48,58,50,61,51,477,43,45.7,3
Paul Richardson,WR,SEA,,41,39,61,50,47,,49,56,68,33,61,56,52,58,47,47,51,816,51,76.4,6
Rishard Matthews,WR,TEN,,52,48,62,34,50,53,57,,42,78,52,,,46,57,64,51,746,53,72.9,4
Zay Jones,WR,BUF,1,66,49,55,44,66,,55,55,40,,53,57,65,41,44,53,50,793,52,75.2,2
Antony Auclair,TE,TB,,,,,,1,,,,,,21,16,14,11,23,35,49,170,21,15.5,0
Antonio Gates,TE,LAC,,39,32,40,36,41,37,18,25,,26,15,18,27,19,22,56,49,500,31,47,3
Cobi Hamilton,WR,HOU,,,,,,,,,,,,,,,,4,1,49,54,18,4.9,0
Jermaine Kearse,WR,NYJ,,55,49,45,67,47,61,51,53,56,66,,58,74,44,48,57,49,880,55,84.8,5
Tyrell Williams,WR,LAC,,55,52,71,50,66,44,,,,43,61,60,51,51,53,57,49,852,53,80.1,4
Dion Sims,TE,CHI,,48,30,50,38,47,69,29,40,,,,20,25,49,42,46,48,581,41,58.7,1
Golden Tate,WR,DET,,63,43,63,52,55,46,,44,35,36,48,52,51,56,47,52,48,791,49,75.8,5
Josh Hill,TE,NO,,25,26,37,9,,48,41,40,28,43,31,38,43,33,45,53,48,588,36,56.6,1
Kenyan Drake,RB,MIA,,,1,20,9,2,1,,12,37,25,38,39,53,66,72,54,48,477,29,45.9,1
Allen Hurns,WR,JAX,,51,59,44,60,39,56,50,,71,60,,,,,,,47,537,53,47.4,2
Chad Hansen,WR,NYJ,,12,2,,1,2,11,6,9,32,48,,28,48,35,35,26,47,342,22,32.9,0
David Morgan,TE,MIN,,18,7,30,18,12,16,17,36,,27,40,33,1,,50,43,47,395,26,35.3,1
Josh Reynolds,WR,LAR,1,17,2,6,7,11,6,1,,17,10,8,61,42,26,18,2,47,281,17,27,1
Michael Clark,WR,GB,,,,,,,,,,,,,,,,,28,47,75,37,7.2,0
Anthony Fasano,TE,MIA,,,16,29,18,44,47,45,36,32,19,28,17,41,42,25,34,46,519,32,49.9,1
Dontrelle Inman,WR,CHI,,,13,14,9,3,,,,,57,53,51,35,67,48,61,46,457,38,46.2,1
Jerell Adams,TE,NYG,,2,1,,6,14,11,2,,8,7,11,8,7,5,19,27,46,174,10,16.1,0
Benjamin Watson,TE,BAL,,40,50,40,43,59,51,52,32,67,,26,41,30,33,42,48,45,699,43,64.4,4
Carlos Hyde,RB,SF,,45,40,61,58,33,56,51,45,56,46,,64,50,41,51,44,45,786,49,71.2,0
Kelvin Benjamin,WR,BUF,,43,43,7,57,50,69,61,47,,41,4,,,41,37,52,45,597,42,56.6,3
Peyton Barber,RB,TB,,,16,,4,,,3,3,23,7,3,10,52,31,32,25,45,254,15,23.2,0
Phillip Dorsett,WR,NE,2,18,32,7,9,20,11,8,8,,49,28,43,48,,25,26,45,377,25,33,0
Rashard Higgins,WR,CLE,,,54,52,53,37,45,48,39,,44,38,50,36,28,52,43,45,664,44,62.1,2
Charles Clay,TE,BUF,,65,45,52,48,13,,,,,29,35,45,44,58,48,51,44,577,44,54.7,2
Jerick McKinnon,RB,MIN,3,11,23,14,10,47,44,35,54,,31,45,33,35,42,35,25,44,528,33,47.2,2
Mack Hollins,WR,PHI,1,5,17,8,9,14,9,8,18,30,,10,38,17,38,13,9,44,287,17,25.4,1
Ryan Grant,WR,WAS,,37,30,34,22,,40,26,40,59,9,53,49,53,30,46,44,44,616,38,60.6,4
Cameron Brate,TE,TB,,,38,26,35,49,44,38,40,34,33,41,34,32,25,29,45,43,586,36,53.6,6
Frank Gore,RB,IND,,19,32,41,35,39,23,22,36,40,34,,41,22,54,28,46,43,555,34,53.9,1
Amari Cooper,WR,OAK,1,61,48,44,53,55,55,78,63,57,,67,28,,15,,44,42,710,50,70.1,7
Corey Davis,WR,TEN,2,42,23,,,,,,,39,78,54,42,43,45,54,54,42,516,46,50.4,0
John Brown,WR,ARI,,63,,,53,48,47,,,46,68,41,,,,,41,42,491,49,43.7,3
Jimmy Graham,TE,SEA,,40,53,48,46,42,,49,49,57,44,48,46,42,38,46,40,42,730,45,68.4,10
Kaelin Clay,WR,CAR,,,5,15,13,41,,,6,8,24,,49,25,3,5,18,42,254,19,23.5,0
Michael Campanaro,WR,BAL,5,13,8,15,20,14,33,32,,,,6,,8,18,32,22,42,263,20,24.2,1
Eric Decker,WR,TEN,,60,44,61,34,49,58,66,,23,34,22,48,48,44,55,49,41,736,46,71.9,1
Jared Cook,TE,OAK,,47,45,41,48,34,46,67,46,53,,54,59,50,54,59,52,41,796,49,78.6,2
Jonnu Smith,TE,TEN,2,24,37,48,22,36,43,49,,30,47,38,34,35,29,17,26,41,556,34,54.3,2
Malcolm Brown,RB,LAR,,11,5,,7,9,12,22,,18,,,,,3,17,5,41,150,13,14.4,0
Marshawn Lynch,RB,OAK,,32,23,16,23,27,30,10,,37,,21,47,32,28,51,44,41,462,30,45.6,0
Tevin Coleman,RB,ATL,,24,23,28,27,,18,19,29,19,44,42,44,20,24,,23,41,425,28,41.4,3
Josh Bellamy,WR,CHI,,33,59,19,36,7,2,3,2,,40,25,,30,48,53,41,40,438,29,44.2,1
Nate Sudfeld,QB,PHI,3,,,,,,,,,,,,,,,,,40,40,40,3.5,0
Aldrick Robinson,WR,SF,,10,12,27,73,22,15,30,30,62,31,,22,18,26,4,17,39,438,27,39.7,2
Jamison Crowder,WR,WAS,2,49,38,48,36,,53,58,56,,60,41,37,49,41,38,31,39,674,44,66.3,3
Marcus Johnson,WR,PHI,,7,,7,9,14,6,10,21,20,,13,,,,,,39,146,14,12.9,0
Travis Benjamin,WR,LAC,,39,39,44,37,46,21,22,35,,41,21,44,38,33,36,31,39,566,35,53.2,4
Trevor Davis,WR,GB,,6,17,,3,,,,,6,7,1,3,1,3,1,16,39,103,6,9.8,0
Alfred Blue,RB,HOU,,,,,4,,,,11,,13,,21,9,,31,31,38,158,14,14.3,0
Devonta Freeman,RB,ATL,,36,38,41,49,,42,41,40,41,2,,,39,51,51,43,38,552,39,53.8,1
Jeff Heuerman,TE,DEN,,17,23,15,17,,17,15,,24,32,,,14,25,25,37,38,321,22,30.5,2
Kendall Wright,WR,CHI,,39,55,35,37,33,25,8,38,,46,39,42,20,47,46,32,38,580,36,58.6,1
CJ Anderson,RB,DEN,,48,56,49,44,,38,38,,23,24,29,19,40,41,54,42,37,617,38,58.7,1
Jesse James,TE,PIT,,54,71,46,58,72,55,50,58,,45,76,64,58,71,60,32,37,907,56,81.9,3
Ted Ginn Jr.,WR,NO,,42,43,34,45,,37,39,37,37,50,53,41,39,35,,48,37,617,41,59.4,4
Vance McDonald,TE,PIT,,18,,16,30,15,31,29,,,30,,,,35,,29,37,270,27,24.4,1
Dwayne Allen,TE,NE,,27,46,17,9,50,6,20,20,,20,25,38,37,56,26,44,36,477,29,41.8,1
Deonte Thompson,WR,BUF,,44,36,46,53,7,,21,23,52,39,32,56,55,57,44,61,36,662,41,62.7,2
George Kittle,TE,SF,1,54,43,39,75,40,66,31,41,33,,,25,27,20,28,35,36,593,39,53.7,2
Isaiah Crowell,RB,CLE,,52,32,41,22,36,32,39,33,,36,24,32,32,36,22,31,36,536,33,50.1,0
Jordan Howard,RB,CHI,,38,31,41,35,34,54,34,48,,29,31,23,22,44,33,45,36,578,36,58.4,0
Kerwynn Williams,RB,ARI,,9,18,1,2,5,4,14,,4,1,9,5,31,38,31,33,36,241,15,21.4,0
Tyler Lockett,WR,SEA,1,26,61,66,50,38,,40,39,55,44,47,46,29,39,41,35,36,692,43,64.8,2
Brenton Bersin,WR,CAR,7,,,,,,,,,9,11,,16,10,17,17,51,35,166,20,15.4,0
Brent Celek,TE,PHI,,25,17,20,34,26,24,31,30,54,,23,30,23,47,23,20,35,462,28,40.8,1
Demaryius Thomas,WR,DEN,,60,68,61,56,,57,,,53,50,71,48,57,45,54,62,35,886,55,84.2,5
Orson Charles,TE,KC,,,,,,,,,,,,,,3,7,6,12,35,63,12,6.5,0
Seth DeValve,TE,CLE,,31,31,43,33,36,36,37,32,,42,33,24,36,25,29,28,35,531,33,49.7,1
Brandon Bolden,RB,NE,3,,,,,,,,,,3,,,,,,5,34,42,2,3.7,0
Darrell Daniels,TE,IND,,13,15,17,22,49,6,10,5,5,12,,,,,,8,34,196,16,19,0
Delanie Walker,TE,TEN,,53,56,50,31,46,44,38,,32,67,47,43,35,50,56,62,34,744,46,72.7,3
Garrett Celek,TE,SF,,14,16,36,21,32,30,18,26,55,56,,48,52,61,46,17,34,562,35,50.9,4
Luke Stocker,TE,TEN,,,16,6,14,5,10,8,17,20,19,,,,,11,15,34,175,14,17.1,1
Seth Roberts,WR,OAK,,55,34,45,50,50,42,72,,35,,59,57,46,55,66,52,34,752,50,74.2,1
Terrance Williams,WR,DAL,,38,49,33,47,55,,41,41,55,45,40,32,47,35,41,59,34,692,43,64.8,0
Gerald Everett,TE,LAR,1,29,16,11,21,26,18,18,,15,20,19,24,18,12,8,11,33,299,18,28.7,2
Martavis Bryant,WR,PIT,,50,47,45,48,62,33,36,,,37,45,58,40,71,36,44,33,685,45,61.8,3
Mark Ingram II,RB,NO,,26,35,29,46,,47,42,31,36,37,28,29,36,42,41,32,33,570,35,54.9,0
Chosen Anderson,WR,NYJ,2,57,43,49,55,39,58,45,54,50,56,,57,62,34,59,61,33,812,50,78.2,7
Charles Sims,RB,TB,,,21,26,22,32,27,24,19,18,22,23,26,19,20,28,24,32,383,23,35,1
Eric Tomlinson,TE,NYJ,,13,,,29,20,35,34,27,45,20,,28,43,17,30,38,32,411,29,39.6,1
Kamar Aiken,WR,IND,,26,63,5,51,67,51,43,47,49,,,7,21,42,34,50,32,588,39,57.1,0
Kyle Rudolph,TE,MIN,,55,63,68,55,67,75,61,82,,53,73,65,64,55,21,35,32,924,57,82.6,8
