NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM SNAP %,TD
Ardarius Stewart,WR,NYJ,,38,8,5,6,11,14,10,,18,10,,9,37,15,14,14,22,231,15,22.3,0
Brandon Coleman,WR,NO,,48,58,46,54,,26,54,48,30,29,52,27,33,32,52,39,22,650,40,62.6,3
Daniel Brown,WR,CHI,,,,,,,,,16,,38,32,30,11,19,35,39,22,242,17,24.4,0
Geronimo Allison,WR,GB,,,61,47,16,13,7,5,,17,12,8,8,9,19,46,53,22,343,22,32.8,0
J.D. McKissic,RB,SEA,,,,,10,18,,23,16,30,20,50,29,9,31,36,2,22,296,22,27.7,2
Mike Davis,RB,SEA,,,,,,,,,,,,16,,45,30,20,43,22,176,29,16.5,0
Marlon Mack,RB,IND,,17,11,,,17,14,32,39,27,25,,20,30,17,24,15,22,310,22,30.1,1
Noah Brown,WR,DAL,2,,5,8,7,,,19,5,,7,9,7,16,24,18,11,22,158,12,14.8,0
Stephen Anderson,TE,HOU,,57,,31,11,16,22,,11,40,35,13,7,68,48,34,26,22,441,29,40,1
Sean McGrath,TE,LAC,,,5,10,6,20,25,23,5,,18,15,7,5,17,13,28,22,219,14,20.6,0
Wendell Smallwood,RB,PHI,,15,14,43,35,,,24,13,6,,,,,,,,22,172,21,15.2,0
Michael Floyd,WR,MIN,,,,,,32,38,,6,,2,16,5,6,5,14,7,21,152,13,13.6,0
Marquise Goodwin,WR,SF,3,50,42,59,9,55,61,39,43,67,48,,54,58,52,63,50,21,771,48,69.8,2
Quincy Adeboyejo,WR,BAL,,,,,,,,,,,,,,,,,,21,21,21,1.9,0
Virgil Green,TE,DEN,,45,46,37,42,,35,28,,21,30,41,30,21,44,36,26,21,534,33,50.8,1
Ameer Abdullah,RB,DET,2,36,28,29,33,22,37,,32,33,31,29,29,,,8,11,20,378,27,36.2,1
Brandon Tate,WR,BUF,,2,,6,,34,,2,5,,3,47,2,,3,4,20,20,148,11,14,1
Derek Carrier,TE,LAR,,13,9,24,16,6,13,22,,21,,,12,6,4,17,5,20,188,13,18.1,0
Matt Breida,RB,SF,2,12,9,16,26,35,17,15,21,17,17,,7,24,32,19,23,20,310,19,28.1,1
Randall Telfer,TE,CLE,,18,19,19,11,33,17,24,19,,20,15,21,12,28,11,13,20,300,18,28.1,0
Brice Butler,WR,DAL,,35,22,7,22,22,,23,18,27,22,18,16,12,,,,19,263,20,24.6,3
LeGarrette Blount,RB,PHI,,23,6,22,26,26,30,25,35,16,,30,37,14,15,17,12,19,353,22,31.2,1
Nick Foles,QB,PHI,,,,,,,,,9,14,,,11,,23,68,68,19,212,30,18.7,0
Tarik Cohen,RB,CHI,,28,40,28,18,17,26,7,18,,13,31,19,16,37,25,18,19,360,22,36.4,1
Tion Green,RB,DET,7,,,,,,,,,,,,,21,13,23,13,19,89,17,8.5,0
Alshon Jeffery,WR,PHI,,60,61,67,68,53,56,53,48,49,,47,67,70,86,61,63,18,927,57,82,9
Freddie Martino,WR,TB,,,,,,,,,,,13,7,3,4,4,7,9,18,65,8,5.9,0
Hakeem Valles,TE,DET,,,,,,,,,,,,,,,,,,18,18,18,1.7,0
Jeff Cumberland,TE,LAC,5,,,,,,,,,,,28,15,24,30,13,20,18,148,21,13.9,0
Kendrick Bourne,WR,SF,1,3,,,,,,23,24,40,29,,33,25,31,31,26,18,283,25,25.6,0
Niles Paul,TE,WAS,,5,36,33,25,,16,9,4,,,34,32,17,16,19,37,18,301,21,29.6,0
Theo Riddick,RB,DET,,21,27,34,18,30,35,,30,25,17,30,26,40,48,33,40,18,472,29,45.2,2
Lamar Miller,RB,HOU,,64,49,50,57,56,44,,62,52,41,52,48,65,49,31,20,17,757,47,68.7,3
Michael Crabtree,WR,OAK,,48,35,31,,36,49,72,55,51,,58,5,,54,61,31,17,603,43,59.5,8
Pharaoh Brown,TE,OAK,2,,,,,,,,,,,,,,,,22,17,39,19,3.8,0
Roosevelt Nix,RB,PIT,,10,11,4,13,13,17,22,18,,9,5,5,5,10,7,16,17,182,11,16.4,1
Akeem Hunt,RB,KC,,,,1,3,,5,4,,,,3,6,6,2,4,,16,51,3,5.3,0
Branden Oliver,RB,LAC,,11,7,33,12,,,,5,,,,,,,2,20,16,106,13,10,0
D.J. Foster,RB,ARI,,,,,,,,,,,,9,18,28,21,33,16,16,141,20,12.5,0
Elijhaa Penny,RB,ARI,,1,7,2,4,3,4,,,3,,3,2,5,8,21,17,16,96,6,8.5,0
Garrett Griffin,TE,NO,,,,,,,,,,,,,,2,,21,,16,39,13,3.8,0
Matthew Slater,WR,NE,2,,,,,,1,3,4,,,,,,,3,2,16,29,3,2.5,0
De'Angelo Henderson,RB,DEN,,,,,,,,,,,,,,,,,5,15,20,4,1.9,1
Shane Vereen,RB,NYG,,31,17,19,22,23,12,16,,19,30,23,15,22,24,31,6,15,325,20,30,0
Torrey Smith,WR,PHI,,48,62,58,57,42,35,41,32,31,,42,41,58,67,51,55,15,735,45,65,2
Trent Taylor,WR,SF,1,24,21,39,47,35,44,46,39,15,,,47,31,31,34,25,15,493,32,44.7,2
Devontae Booker,RB,DEN,,,,,8,,23,11,,22,23,48,26,11,27,23,30,14,291,22,27.7,0
Marcus Murphy,RB,BUF,,,,,,,,,,,,,,,,,,14,14,14,1.3,0
Zach Ertz,TE,PHI,1,60,60,75,60,57,49,53,64,,,60,65,45,,60,56,14,778,55,68.8,8
Geoff Swaim,TE,DAL,,9,,7,4,9,,22,17,10,,10,7,10,22,12,21,13,173,11,16.2,0
Shelton Gibson,WR,PHI,,,,,,,,,,,,,4,,,,,13,17,3,1.5,0
Senorise Perry,RB,MIA,,,,,,,,,,,,,,12,1,,,13,26,1,2.5,0
Thomas Rawls,RB,SEA,,,16,1,,32,,30,41,42,29,,1,3,1,,10,13,219,18,20.5,0
Cameron Artis-Payne,RB,CAR,,,,,,,1,,10,1,12,,1,,,,,12,37,2,3.4,0
C.J. Uzomah,TE,CIN,2,,,17,21,17,,13,10,11,8,18,17,9,14,23,23,12,213,15,22,1
Johnny Holton,WR,OAK,,1,4,7,12,4,3,6,13,7,,13,46,51,27,12,12,12,230,14,22.7,3
Jarius Wright,WR,MIN,,15,13,18,4,2,29,40,14,,15,11,16,13,26,16,12,12,256,16,22.9,2
Tyler Higbee,TE,LAR,1,53,41,61,47,48,46,54,,50,54,44,48,38,34,50,55,12,735,45,70.6,1
Corey Clement,RB,PHI,2,,1,7,19,23,10,12,19,28,,19,15,28,27,10,27,11,256,16,22.6,2
Emanuel Byrd,TE,GB,,,,,,,,,,,,,,,,,,11,11,11,1.1,0
Josh Malone,WR,CIN,,,,,,,,13,19,31,30,18,27,33,26,25,16,11,249,22,25.7,1
James O'Shaughnessy,TE,JAX,,1,12,22,17,18,18,9,,5,9,18,9,4,16,35,35,11,239,14,21.1,1
Jeremy Sprinkle,TE,WAS,,,,7,7,,,,,24,23,15,18,2,2,3,14,11,126,11,12.4,1
Khari Lee,TE,BUF,,,,,,,,5,9,2,,3,7,5,,,5,11,47,5,4.5,0
Ricardo Louis,WR,CLE,,16,32,57,56,58,52,65,52,,60,33,45,13,4,9,9,11,572,35,53.5,0
Austin Traylor,TE,DEN,,,,,,,,,,,,53,33,53,45,45,26,10,265,37,25.2,0
Benjamin Cunningham,RB,CHI,,4,,5,16,14,1,,3,,28,17,23,7,11,23,13,10,175,12,17.7,2
Eric Saubert,TE,ATL,1,2,1,1,,,1,,,2,,3,3,2,,5,,10,30,2,2.9,0
Jesus Wilson,WR,TB,,,,,,,,,,,,,,5,,,4,10,19,6,1.7,1
MarQueis Gray,TE,MIA,,,3,2,3,18,12,7,4,2,2,6,7,17,15,12,7,10,127,7,12.2,0
Devante Mays,RB,GB,,1,,,,,,,,,,5,,,,,,9,15,1,1.4,0
David Moore,WR,SEA,,,,,,,,,,,,,,,,,,9,9,9,0.8,0
Jacob Hollister,TE,NE,,,16,7,3,8,1,1,4,,2,3,8,7,2,3,13,9,87,5,7.6,0
KJ Brent,WR,IND,,,,,,,,,,,,,,4,4,3,4,9,24,6,2.3,0
Taylor Gabriel,WR,ATL,,31,27,36,60,,48,35,31,38,27,34,42,27,31,32,32,9,540,33,52.6,1
Amara Darboh,WR,SEA,,5,14,11,16,18,,21,10,14,25,12,8,8,4,10,7,8,191,11,17.9,0
Alfred Morris,RB,DAL,,8,1,,3,5,,9,6,1,22,25,20,36,33,27,,8,204,14,19.1,0
Andre Roberts,WR,ATL,,2,4,1,4,,5,4,,2,,,1,,,,,8,31,1,3,0
Chris Manhertz,TE,CAR,2,12,14,15,17,29,20,27,26,5,27,,29,20,20,15,7,8,291,18,27,0
Lawrence Thomas,RB,NYJ,4,,15,,8,1,,,10,,12,,23,19,6,12,9,8,152,10,14.6,0
Matt LaCosse,TE,DEN,,,,,,,9,17,,12,,,,,,,5,8,51,10,4.8,0
Markus Wheaton,WR,CHI,,,,40,38,46,,,,,2,9,5,1,7,29,4,8,189,17,19.1,0
Russell Shepard,WR,CAR,,20,34,38,35,38,52,37,30,38,44,,30,32,23,23,,8,482,32,44.7,1
Sammie Coates,WR,CLE,9,,26,,,11,11,6,4,,17,,,,,6,4,8,93,7,8.7,0
T.J. Yeldon,RB,JAX,,,,,,,,23,,35,31,20,34,6,4,29,40,8,230,23,20.3,0
C.J. Ham,RB,MIN,1,9,5,22,7,6,6,12,17,,12,19,15,25,8,20,14,7,204,12,18.2,0
De'Anthony Thomas,WR,KC,,8,4,7,3,11,36,4,,39,,28,3,3,8,8,16,7,199,12,20.5,2
DeAndre Washington,RB,OAK,,16,13,16,6,,5,25,32,9,,24,14,14,14,11,17,7,223,14,22,1
Joe Callahan,QB,GB,,,,,,,,,,,,,,,,,,7,7,7,0.7,0
Kenjon Barner,RB,PHI,,,,,,17,22,4,4,2,,2,4,2,6,6,2,7,78,6,6.9,0
Paul Perkins,RB,NYG,,17,28,34,27,,,,,,,,1,4,,,3,7,121,11,11.2,0
Phillip Supernaw,TE,TEN,,9,25,13,3,14,18,18,,16,14,15,22,15,17,,,7,206,12,20.1,1
Ryan O'Malley,TE,NYG,,,,,,,,,,,,,,,,,,7,7,7,0.6,0
Ben Koyack,TE,JAX,,27,19,35,27,25,19,29,,37,29,44,15,30,16,35,25,6,418,26,36.9,0
De'Veon Smith,RB,MIA,,,,,,,,,,,,,,,,,,6,6,1,0.6,0
JoJo Natson,WR,NYJ,,,,,,,,,,,,,1,3,1,8,2,6,21,3,2,0
Jalen Richard,RB,OAK,,14,17,6,6,25,17,26,26,12,,11,5,13,15,11,9,6,219,13,21.6,1
Maurice Harris,WR,WAS,,,,,,,,,,,41,9,12,5,,3,,6,76,12,7.5,1
Ricky Seals-Jones,TE,ARI,,,,,,1,,,,,,8,17,15,18,30,37,6,132,14,11.7,3
Xavier Grimble,TE,PIT,,1,16,8,2,,,28,26,,4,9,20,18,6,13,14,6,171,11,15.4,1
Brian Hoyer,QB,NE,2,57,49,82,83,72,18,,,,9,3,,2,,,4,5,384,34,33.7,0
Kareem Hunt,RB,KC,,40,39,37,50,55,42,45,,31,,50,38,40,51,43,58,5,670,41,69,3
Taywan Taylor,WR,TEN,,6,12,26,24,32,30,32,,7,14,18,9,19,6,4,2,5,246,15,24,1
William Fuller V,WR,HOU,,,,,67,59,54,,63,71,33,,,,67,58,53,5,530,53,48.1,7
Andy Jones,WR,DET,,1,,,,,,,,,,,,,,,,4,5,1,0.5,0
Brian Quick,WR,WAS,,6,,1,,,4,,,23,,,,,23,2,14,4,77,7,7.6,0
Doug Martin,RB,TB,,,,,,26,37,43,39,18,36,37,13,,19,,17,4,289,26,26.4,0
Fozzy Whittaker,RB,CAR,,1,1,6,6,3,2,,,,,,2,1,8,7,5,4,46,3,4.3,1
Justin Hunter,WR,PIT,,,,,9,4,,,20,,,,7,,15,,6,4,65,9,5.9,1
Kellen Clemens,QB,LAC,,,,,,,,,,,3,17,,,15,,,4,39,4,3.7,0
Ryan Hewitt,TE,CIN,,7,9,4,7,,,,,6,5,14,14,13,4,9,10,4,106,8,11,0
Ryan Malleck,TE,HOU,,,,,,,,,,,,,,,,,4,4,8,4,0.7,0
Tyler Bray,QB,KC,,,,,,,,,,,,,,,,,,4,4,4,0.4,0
Darrius Heyward-Bey,WR,PIT,,1,2,2,7,2,5,5,5,,,4,8,1,,31,13,3,89,5,8,0
Jay Cutler,QB,MIA,,,68,63,52,58,67,37,,67,57,24,,63,73,75,57,3,764,54,73.5,0
Ben Braunecker,TE,CHI,,,,,,,,,,,,,,,,,2,2,4,0,0.4,0
Eric Weems,WR,TEN,,,3,5,,,4,1,,,,,,,,,,2,15,0,1.5,0
Jacquizz Rodgers,RB,TB,,,34,25,38,13,6,2,6,,6,2,25,5,,2,2,2,168,10,15.4,0
Kyle Carter,TE,MIN,,,,,,,,,,,,,,,,18,8,2,28,9,2.5,0
Ross Travis,TE,IND,,8,6,4,4,14,6,13,,5,,19,1,,7,10,5,2,114,7,11.1,0
Samaje Perine,RB,WAS,1,,26,30,12,,25,,,6,20,48,50,34,40,33,34,2,360,22,35.4,1
Tommylee Lewis,WR,NO,,11,14,16,15,,,12,10,,5,3,2,1,6,15,2,2,114,7,11,1
Tyrone Swoopes,TE,SEA,,,,,,,,,,,,,,,,,,2,2,2,0.2,0
Andre Ellington,RB,HOU,,20,30,49,46,31,13,,,14,43,,,47,16,,5,1,315,26,28.6,0
David Fluellen,RB,TEN,2,,5,,2,2,,,,,,,5,,1,,1,1,17,1,1.7,0
Dare Ogunbowale,RB,WAS,4,,,,,,,,,,,,,,,,,1,1,0,0.1,0
Jaydon Mickens,WR,JAX,,,,,,,,5,,3,10,9,7,,1,30,41,1,107,10,9.4,2
Alex Armah,RB,CAR,1,,,,,1,2,3,,17,18,,,6,,,,,47,5,4.4,0
Arrelious Benn,WR,JAX,5,7,9,16,17,10,8,9,,2,1,,,,,,,,79,8,7,0
Antonio Brown,WR,PIT,,51,70,64,68,75,57,64,59,,63,70,74,66,86,21,,,888,63,80.1,9
Austin Carr,WR,NO,,,,,3,,,,,,,,,,,,,,3,3,0.3,0
Austin Davis,QB,SEA,,,,,,,,1,,,1,,,,,3,,,5,1,0.5,0
Austin Ekeler,RB,LAC,1,3,,6,3,13,7,18,17,,23,32,27,20,18,10,,,197,12,18.5,3
Alex Erickson,WR,CIN,,7,37,13,8,31,,9,13,13,7,11,9,11,3,15,,,187,11,19.3,1
Andre Holmes,WR,BUF,,39,34,22,27,31,,27,21,35,9,39,14,13,15,14,,,340,24,32.2,3
Aaron Jones,RB,GB,1,,,,30,53,43,44,,20,6,,,2,8,26,4,,236,19,22.5,0
AJ McCarron,QB,CIN,,,,,3,,,,,,,,,,9,14,,,26,8,2.7,0
Adrian Peterson,RB,ARI,,9,16,14,6,,48,26,,59,36,37,50,,,,,,301,30,26.8,0
Allen Robinson II,WR,JAX,1,3,,,,,,,,,,,,,,,,,3,3,0.3,0
Aaron Rodgers,QB,GB,1,82,76,70,52,60,8,,,,,,,,,70,,,418,59,39.9,0
Austin Seferian-Jenkins,TE,NYJ,8,,,48,54,44,58,42,55,44,58,,59,58,35,57,43,,655,50,63.1,3
Adam Shaheen,TE,CHI,,8,5,15,8,11,19,19,19,,31,46,17,9,32,,,,239,18,24.1,3
Alex Smith,QB,KC,,69,53,53,76,77,54,62,,57,,75,58,46,75,66,83,,966,64,99.5,0
Andre Williams,RB,LAC,,,,,,,,,,,,5,,,8,,,,13,1,1.2,0
Blake Bell,TE,MIN,3,2,2,10,12,3,12,12,12,,6,11,5,27,31,,,,145,11,13,0
Bruce Ellington,WR,HOU,8,45,,70,66,55,45,,57,63,43,68,63,16,,,,,591,53,53.6,2
Blaine Gabbert,QB,ARI,2,,,,,,,,,,,58,73,64,65,85,,,345,69,30.7,0
Brittan Golden,WR,ARI,,,20,27,3,2,5,10,,2,,4,,,1,,,,74,5,6.6,0
Bronson Hill,RB,ARI,,,,,,,,,,,,,,,,,1,,1,0,0.1,0
Brian Hill,RB,CIN,,,,,,,,,,,,,,,7,5,7,,19,2,2,0
Blake Jarwin,TE,DAL,,,,,,,,,,,4,,,,,,,,4,4,0.4,0
Bradley Marquez,WR,DET,,,,,,,,,,,,,,,,,,,0,0,0,0
Brandon Marshall,WR,NYG,,48,48,65,66,27,,,,,,,,,,,,,254,50,23.4,0
Byron Marshall,WR,WAS,,,,,,,,,,,,3,21,26,,,,,50,12,4.9,0
Brock Osweiler,QB,DEN,,,,,,,7,,,64,63,81,,,,61,74,,350,58,33.3,0
Breshad Perriman,WR,BAL,,42,42,35,49,38,20,,49,35,,,16,,,31,30,,387,35,35.6,0
Bobby Rainey,RB,BAL,,,,,,,4,9,5,14,,,,,,,,,32,8,2.9,0
Bernard Reedy,WR,NE,,,7,4,2,4,1,2,3,2,,,,2,,,,,27,2,2.4,0
Ben Roethlisberger,QB,PIT,,60,74,64,76,79,64,69,64,,66,72,74,66,89,67,54,,1038,69,93.7,0
Bryce Treggs,WR,CLE,,,,,,42,28,11,52,,24,,5,,,,,,162,27,15.2,0
Brandon Williams,TE,IND,,19,13,16,17,50,13,10,21,21,20,,24,17,45,8,,,294,21,28.5,0
Cole Beasley,WR,DAL,,52,57,25,31,37,,34,27,45,41,32,42,38,29,41,45,,576,38,53.9,4
C.J. Beathard,QB,SF,2,,,,1,,54,66,66,74,61,,68,,,,,,390,55,35.3,0
Chris Carson,RB,SEA,,26,50,41,35,,,,,,,,,,,,,,152,38,14.2,1
Cethan Carter,TE,CIN,,,,2,9,16,,5,11,1,,,,,,5,,,49,3,5.1,0
Chris Conley,WR,KC,2,65,46,43,71,68,,,,,,,,,,,,,293,58,30.2,0
Cody Core,WR,CIN,,10,7,5,8,12,,21,,2,,1,,,,,,,66,5,6.8,0
Chase Daniel,QB,NO,,,,,,,,,,,5,,,,,,,,5,5,0.5,0
CJ Fiedorowicz,TE,HOU,,24,,,,,,,,,63,60,66,17,,,,,230,46,20.9,0
Coby Fleener,TE,NO,,32,32,14,44,,18,20,16,22,17,36,18,,,,,,269,24,25.9,2
Corey Grant,RB,JAX,,,3,12,5,1,2,8,,6,,,,7,8,12,,,64,4,5.6,0
Chad Henne,QB,JAX,,,,9,,,,,,,,,,,,14,,,23,11,2,0
Cole Hikutini,TE,SF,,,,,,,2,21,9,,,,,,,,,,32,8,2.9,0
Chris Hogan,WR,NE,,73,65,59,68,74,63,59,75,,,,,,55,,,,591,65,51.8,5
Chris Ivory,RB,JAX,,25,27,25,34,15,28,38,,39,8,6,2,9,12,31,,,299,21,26.4,1
Chris Johnson,RB,ARI,,,17,31,35,24,,,,,,,,,,,,,107,26,9.5,0
Cody Kessler,QB,CLE,,,,,,,,38,,,7,,3,,,,,,48,16,4.5,0
Cooper Kupp,WR,LAR,1,39,30,40,49,63,36,63,,39,56,55,61,51,45,50,65,,742,49,71.3,5
Cody Latimer,WR,DEN,,12,14,11,,,,,,48,47,48,36,48,31,44,,,376,34,35.7,2
Chris Matthews,WR,BAL,,,7,7,14,8,23,,,,,,,,,,,,59,9,5.4,0
Colt McCoy,QB,WAS,1,,,,,,,,,,,,,4,,,,,4,4,0.4,0
Carson Palmer,QB,ARI,,75,66,81,86,60,65,26,,,,,,,,,,,459,65,40.8,0
Charone Peake,WR,NYJ,,1,11,16,,,,,,,,,,,,,,,28,9,2.7,0
C.J. Prosise,RB,SEA,,16,17,27,,,,2,,,13,,,,,,,,75,15,7,0
Cooper Rush,QB,DAL,2,,,,,,,12,,,,3,,,,,,,15,7,1.4,0
Curtis Samuel,WR,CAR,1,12,12,36,,15,23,19,18,49,42,,,,,,,,226,25,20.9,0
CJ Spiller,RB,KC,,,,,,,,12,,,,,,,,,,,12,12,1.2,0
Chris Thompson,RB,WAS,,30,29,28,26,,45,37,47,33,45,18,,,,,,,338,33,33.2,4
Clive Walford,TE,OAK,,5,12,4,9,14,7,8,6,12,,14,6,25,8,,,,130,10,12.8,0
Carson Wentz,QB,PHI,,68,72,76,79,67,62,65,61,55,,64,67,75,68,,,,879,67,77.7,0
Charcandrick West,RB,KC,,24,11,14,20,21,3,,,23,,20,16,,20,17,23,,224,17,23.1,2
Chad Williams,WR,ARI,,,10,13,,,,,,,,,29,23,14,11,,,100,16,8.9,0
Davante Adams,WR,GB,1,67,71,67,40,56,65,48,,56,54,64,48,49,64,27,,,776,55,74.1,10
Derek Anderson,QB,CAR,2,,,9,,,,,,,6,,,,,,1,,16,5,1.5,0
Damiere Byrd,WR,CAR,3,19,23,13,4,,,,,,,,,23,38,51,20,,191,23,17.7,2
Dalvin Cook,RB,MIN,1,51,37,54,27,,,,,,,,,,,,,,169,42,15.1,0
D'Onta Foreman,RB,HOU,1,2,17,17,24,9,23,,1,20,16,18,,,,,,,147,14,13.3,0
Dwayne Harris,WR,NYG,,,,,,8,,,,,,,,,,,,,8,1,0.7,0
DeAndre Hopkins,WR,HOU,1,79,66,71,78,64,63,,71,71,69,65,69,81,67,57,56,,1027,68,93.2,13
DeSean Jackson,WR,TB,,,36,43,45,52,53,52,50,39,54,40,44,49,30,23,,,610,43,55.8,3
David Johnson,RB,ARI,,46,,,,,,,,,,,,,,,,,46,46,4.1,0
Daniel Lasco,RB,NO,,,,,,,,,,,6,,,,,,,,6,2,0.6,0
Darren McFadden,RB,DAL,,,,,,,,,,,1,,,,,,,,1,1,0.1,0
Donte Moncrief,WR,IND,,45,53,58,43,53,43,52,56,50,51,,60,50,,,,,614,51,59.6,2
DeMarco Murray,RB,TEN,,47,37,48,23,49,38,43,,37,67,52,31,32,47,48,48,,647,43,63.2,1
Darius Powe,WR,NYG,8,,,,,,,,,,,,,,48,,,,48,48,4.4,0
Darren Sproles,RB,PHI,,33,50,5,,,,,,,,,,,,,,,88,29,7.8,0
Dwayne Washington,RB,DET,5,14,7,,,,,,14,11,4,,,,,,,,50,10,4.8,0
Deshaun Watson,QB,HOU,1,48,66,71,78,64,66,,71,,,,,,,,,,464,66,42.1,0
DeAndrew White,WR,HOU,,,,,,,,,,,,,,,48,46,,,94,47,8.5,0
Damien Williams,RB,MIA,,,3,10,11,10,18,22,8,30,32,27,24,,,,,,195,17,18.8,1
Evan Baylis,TE,HOU,,,16,,,,,,,,,,,,,,,,16,16,1.5,0
Ed Eagan,WR,NYG,,,,,,,6,,,5,,,,,,,,,11,2,1,0
Evan Engram,TE,NYG,1,48,43,57,67,57,38,47,,58,52,58,49,53,63,74,13,,777,51,71.7,6
Elijah Hood,RB,OAK,,,,,,,,,,,,,,,,,,,0,0,0,0
Eddie Lacy,RB,SEA,,7,,,23,19,,21,12,11,,6,35,3,,,,,137,15,12.8,0
EJ Manuel,QB,OAK,4,,,,20,56,,,,,,,,,,,,,76,38,7.5,0
Emmanuel Sanders,WR,DEN,,53,69,62,48,,50,,,29,55,76,50,57,47,39,,,635,52,60.4,2
Geremy Davis,WR,LAC,,,,,,,,,,,,,,6,,,,,6,6,0.6,0
Gavin Escobar,TE,BAL,,,,,,,,,15,5,,,,,,,,,20,10,1.8,0
Gabe Holmes,TE,ARI,,,,,,,,,,,,,,,,4,8,,12,6,1.1,0
Geno Smith,QB,NYG,1,,,,,,,,,4,,,,62,,,,,66,33,6.1,0
Griff Whalen,WR,BAL,,,,,,,,58,25,,,,,,,,,,83,41,7.6,0
Harry Douglas,WR,TEN,,,,,,,,,,,,,14,9,,,,,23,11,2.2,0
Hunter Henry,TE,LAC,1,23,33,41,35,59,54,47,35,,45,44,52,50,42,38,,,598,42,56.2,4
Henry Krieger-Coble,TE,IND,,,,,,7,,,,,,,,,,,,,7,7,0.7,0
Ifeanyi Momah,WR,ARI,,3,21,2,3,2,4,1,,9,4,,,,,,,,49,5,4.4,0
Isaac Whitney,WR,OAK,,,,,,,,,,,,,,15,,2,,,17,8,1.7,0
Jared Abbrederis,WR,DET,,,,6,14,14,47,,13,18,5,,,,,,,,117,16,11.2,0
Jay Ajayi,RB,PHI,,,64,33,32,46,48,51,46,17,,13,22,31,43,35,28,,509,36,45,1
Joe Banyard,RB,BUF,,,,,,,,,,,,,,,,,,,0,0,0,0
Jace Billingsley,WR,DET,,,,,,,,,2,,,,,,,,,,2,1,0.2,0
Jamaal Charles,RB,DEN,,21,20,21,11,,20,15,,19,16,4,15,23,5,2,,,205,14,19.5,0
James Conner,RB,PIT,1,8,4,,6,6,5,6,4,,1,8,1,3,7,9,,,68,4,6.1,0
Justin Davis,RB,LAR,5,5,,,,,,,,,,,1,,,,,,6,1,0.6,0
Jim Dray,TE,ARI,,,,,,,,,,,,,,,,,,,0,0,0,0
Josh Ferguson,RB,IND,,,,,,,,13,,,,,,16,,1,,,30,3,2.9,0
Jalston Fowler,RB,TEN,,3,11,19,10,6,14,11,,9,6,5,,,,,,,94,9,9.2,0
Jared Goff,QB,LAR,1,60,50,67,69,74,59,76,,51,66,59,77,58,48,56,69,,939,62,90.2,0
Justin Hardee,WR,NO,2,,,,,,,,,,,,,,,,,,0,0,0,0
Jeremy Hill,RB,CIN,,10,15,14,12,11,,8,7,,,,,,,,,,77,11,8,0
Jeremy Kerley,WR,NYJ,,,44,34,46,36,47,29,35,6,,,,,,,,,277,34,26.7,1
Jordan Leslie,WR,CLE,,,,21,5,,,,,,,,,,,,,,26,13,2.4,0
Jeremy Maclin,WR,BAL,,48,43,36,47,46,,,37,61,,44,49,46,50,5,,,512,42,47.1,3
Jordan Matthews,WR,BUF,,67,50,50,39,,,55,48,71,36,,42,51,,,,,509,50,48.2,1
Josh McCown,QB,NYJ,,58,56,63,70,53,76,56,61,67,69,,70,91,29,,,,819,63,78.9,0
Jeremy McNichols,RB,SF,,,,,,,,,,,,,,,,,,,0,0,0,0
Johnny Mundt,TE,LAR,3,,,,,,,,,,3,1,,,,,,,4,2,0.4,0
Jordy Nelson,WR,GB,,76,7,67,51,49,61,51,,49,64,62,52,50,70,70,27,,806,53,77,6
John Phillips,TE,NO,,,,,,,,,,,,,,,,,8,,8,8,0.8,0
Jordan Reed,TE,WAS,,55,40,,13,,54,50,21,,,,,,,,,,233,38,22.9,2
John Ross,WR,CIN,3,,5,,,,,,6,,6,,,,,,,,17,5,1.8,0
Jake Rudock,QB,DET,,,,,,,,,,,,,,9,,,,,9,4,0.9,0
Jonathan Stewart,RB,CAR,,29,25,26,28,40,27,28,28,21,25,,27,22,26,30,25,,407,27,37.7,1
Jaelen Strong,WR,JAX,,,20,,,,,,,,,,,,,,43,,63,31,5.6,1
Julius Thomas,TE,MIA,,,65,37,39,36,54,39,36,49,43,51,47,42,43,59,,,640,45,61.5,3
Jordan Todman,RB,HOU,,,,,,,,,,,,,,,,,,,0,0,0,0
Jason Vander Laan,QB,IND,,,,,,,,,,,,,,,,4,,,4,1,0.4,0
Joe Webb,QB,BUF,,,,,,,,,,3,,,,5,28,,3,,39,2,3.7,0
James White,RB,NE,,43,30,32,43,35,29,23,20,,11,17,18,28,35,20,,,384,27,33.7,3
Jarveon Williams,RB,CIN,6,,,,,,,,,,,,,,,1,,,1,1,0.1,0
Kevin Hogan,QB,CLE,,,19,,14,34,67,,,,,,,,,,,,134,33,12.5,0
Krishawn Hogan,WR,IND,,,,,7,3,,,,,,,,,,,,,10,5,1,0
Kalif Raymond,WR,NYG,1,,,,,,,,,,,2,1,,8,23,,,34,4,3.1,0
Kyle Sloter,QB,MIN,,,,,,,,,,,,,,,1,,,,1,1,0.1,0
Kevin White,WR,CHI,,47,,,,,,,,,,,,,,,,,47,47,4.7,0
Kasen Williams,WR,CLE,,12,,20,17,34,39,6,6,,,,,,,,,,134,19,12.5,0
Le'Veon Bell,RB,PIT,,43,68,62,69,73,58,61,60,,65,68,72,63,80,57,46,,945,63,85.3,2
