,Player,Tm,Age,G,GS,Att_Rush,Yds (Rush),Y/A,TD (Rush),Tgt,Rec,Yds_Rec,Yds_per_rec,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,Total_Snaps,Avg Snaps,TM SNAP %,PPR_PassAtt,PPR_Rush,PPR_RushAtt,Tot_PPR_Rec,PPR_Tgt,Tgt_gm,PPR_Rec,PPR_Snap,Year,Tgt_Binned,Att_Rush_Binned
447,JACOB KIBODI,CLE,26.0,1.0,0.0,5.0,24.0,4.8,0.0,3.0,1.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,17,17,28.8,,2.4000000000000004,0.4800000000000001,2.5,0.8333333333333334,3.0,2.5,0.2882352941176471,2024,"(0, 10]","(0, 26]"
452,JJ TAYLOR,HOU,26.0,5.0,0.0,10.0,44.0,4.4,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,33,6,9.2,,4.4,0.44,2.0,0.6666666666666666,0.6,1.0,0.1939393939393939,2024,"(0, 10]","(0, 26]"
454,RASHEEN ALI,BAL,23.0,6.0,0.0,10.0,31.0,3.1,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.1,29,4,3.8,,3.1,0.31,0.0,0.0,0.3333333333333333,,0.1068965517241379,2024,"(0, 10]","(0, 26]"
457,DALVIN COOK,DAL,29.0,2.0,0.0,8.0,20.0,2.5,0.0,1.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24,12,17.3,,2.0,0.25,2.0,2.0,0.5,2.0,0.1666666666666666,2024,"(0, 10]","(0, 26]"
462,TRAVIS HOMER,CHI,26.0,10.0,0.0,6.0,23.0,3.83,0.0,3.0,3.0,11.0,3.67,0.0,0.0,0.0,0.0,0.0,0.0,6.4,75,7,8.9,,2.3000000000000003,0.3833333333333333,4.1,1.3666666666666665,0.3,1.3666666666666665,0.0853333333333333,2024,"(0, 10]","(0, 26]"
464,JERMAR JEFFERSON,DET,24.0,2.0,0.0,6.0,22.0,3.67,0.0,1.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,12,6,8.8,,2.2,0.3666666666666667,2.0,2.0,0.5,2.0,0.35,2024,"(0, 10]","(0, 26]"
465,TERRELL JENNINGS,NWE,23.0,3.0,0.0,13.0,33.0,2.54,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.3,38,12,14.8,,3.3000000000000003,0.2538461538461539,0.0,0.0,0.3333333333333333,,0.0868421052631578,2024,"(0, 10]","(0, 26]"
467,JASE MCCLELLAN,ATL,22.0,2.0,0.0,13.0,32.0,2.46,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.2,19,9,2.2,,3.2,0.2461538461538461,0.0,,,,0.1684210526315789,2024,,"(0, 26]"
479,MARSHAWN LLOYD,GNB,23.0,1.0,0.0,6.0,15.0,2.5,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,10,10,7.3,,1.5,0.25,1.3,1.3,1.0,1.3,0.2799999999999999,2024,"(0, 10]","(0, 26]"
481,AARON SHAMPKLIN,PIT,25.0,3.0,0.0,6.0,17.0,2.83,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.7,28,9,10.6,,1.7000000000000002,0.2833333333333334,0.0,,,,0.0607142857142857,2024,,"(0, 26]"
484,JONATHAN WARD,PIT,27.0,4.0,0.0,5.0,22.0,4.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.2,10,2,2.1,,2.2,0.44,0.0,,,,0.22,2024,,"(0, 26]"
485,BLAKE WATSON,DEN,25.0,2.0,0.0,4.0,10.0,2.5,0.0,2.0,1.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,11,5,1.9,,1.0,0.25,2.3,1.15,1.0,2.3,0.3,2024,"(0, 10]","(0, 26]"
490,CHRIS COLLIER,2TM,24.0,8.0,0.0,5.0,12.0,2.4,0.0,2.0,1.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,19,2,3.3,,1.2000000000000002,0.24,0.6,0.3,0.25,0.6,0.0947368421052631,2024,"(0, 10]","(0, 26]"
492,TYRION DAVIS-PRICE,PHI,24.0,1.0,0.0,3.0,7.0,2.33,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7,5,5,7.7,,0.7000000000000001,0.2333333333333333,0.0,,,,0.1399999999999999,2024,,"(0, 26]"
499,MYLES GASKIN,MIN,27.0,5.0,0.0,3.0,-1.0,-0.33,0.0,1.0,1.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7,1,1.7,,-0.1,-0.0333333333333333,2.1,2.1,0.2,2.1,0.2857142857142857,2024,"(0, 10]","(0, 26]"
501,GEORGE HOLANI,SEA,25.0,5.0,0.0,3.0,10.0,3.33,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,5,1,1.7,,1.0,0.3333333333333333,0.9,0.9,0.2,0.9,0.38,2024,"(0, 10]","(0, 26]"
514,CODY SCHRADER,LAR,25.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,2,2,0.2,,0.3,0.3,1.6,1.6,1.0,1.6,0.95,2024,"(0, 10]","(0, 26]"
528,BRITISH BROOKS,HOU,25.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,9,1,2.6,,0.2,0.2,0.0,,,,0.0222222222222222,2024,,"(0, 26]"
530,DARRYNTON EVANS,CHI,26.0,5.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4,0,1.3,,0.3,0.1,0.0,,,,0.075,2024,,"(0, 26]"
534,JOSHUA KELLEY,TEN,27.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4,1,0.6,,0.2,0.2,0.0,,,,0.05,2024,,"(0, 26]"
539,KE'SHAWN VAUGHN,SFO,27.0,3.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1,1.7,,0.4,0.2,0.0,,,,0.1333333333333333,2024,,"(0, 26]"
541,DYLAN LAUBE,LVR,25.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,2,0,0.2,,0.0,0.0,0.0,,,,-1.0,2024,,"(0, 26]"
