,Player,Tm,Age,G,GS,Att_Rush,Yds (Rush),Y/A,TD (Rush),Tgt,Rec,Yds_Rec,Yds_per_rec,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,Total_Snaps,Avg Snaps,TM SNAP %,PPR_PassAtt,PPR_Rush,PPR_RushAtt,Tot_PPR_Rec,PPR_Tgt,Tgt_gm,PPR_Rec,PPR_Snap,Year
3083,DEREK CARRIER,OAK,29.0,16.0,4.0,1.0,27.0,27.0,0.0,19.0,13.0,108.0,8.31,1.0,0.0,0.0,1.0,0.0,0.0,32.5,177,11,17.34,,2.7,2.7,29.8,1.568421052631579,1.1875,2.292307692307692,0.1836158192090395,2019
3086,IAN THOMAS,CAR,23.0,16.0,3.0,0.0,0.0,,0.0,30.0,16.0,136.0,8.5,1.0,0.0,0.0,1.0,0.0,0.0,35.6,302,18,27.13,,0.0,,35.6,1.1866666666666668,1.875,2.225,0.1178807947019867,2019
3087,MATT LACOSSE,NWE,27.0,11.0,8.0,0.0,0.0,,0.0,19.0,13.0,131.0,10.08,1.0,0.0,0.0,1.0,0.0,0.0,32.1,433,39,37.68,,0.0,,32.1,1.6894736842105265,1.7272727272727273,2.4692307692307693,0.0741339491916859,2019
3090,VERNON DAVIS,WAS,35.0,4.0,1.0,0.0,0.0,,0.0,19.0,10.0,123.0,12.3,1.0,0.0,0.0,1.0,0.0,0.0,28.3,186,46,19.79,,0.0,,28.3,1.4894736842105265,4.75,2.83,0.1521505376344086,2019
3094,JEFF HEUERMAN,DEN,27.0,14.0,11.0,0.0,0.0,,0.0,20.0,14.0,114.0,8.14,1.0,0.0,0.0,1.0,0.0,0.0,31.4,397,28,39.07,,0.0,,31.4,1.5699999999999998,1.4285714285714286,2.242857142857143,0.0790931989924433,2019
3096,RYAN IZZO,NWE,24.0,6.0,4.0,0.0,0.0,,0.0,9.0,6.0,114.0,19.0,1.0,0.0,0.0,1.0,0.0,0.0,23.4,268,44,23.32,,0.0,,23.4,2.6,1.5,3.9,0.0873134328358209,2019
3098,NICK O'LEARY,2TM,27.0,12.0,5.0,0.0,0.0,,0.0,18.0,13.0,109.0,8.38,1.0,1.0,0.0,1.0,0.0,0.0,29.9,139,11,12.88,,0.0,,29.9,1.661111111111111,1.5,2.3,0.2151079136690647,2019
3100,NICK VANNETT,2TM,26.0,16.0,7.0,0.0,0.0,,0.0,22.0,17.0,166.0,9.76,0.0,0.0,0.0,0.0,0.0,0.0,33.6,82,5,7.39,,0.0,,33.6,1.5272727272727271,1.375,1.9764705882352944,0.4097560975609756,2019
3102,ANDREW BECK,DEN,23.0,16.0,6.0,1.0,3.0,3.0,0.0,12.0,9.0,90.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,24.5,230,14,22.64,0.24,0.3,0.3,24.0,2.0,0.75,2.6666666666666665,0.1065217391304347,2019
3104,HALE HENTGES,WAS,23.0,11.0,4.0,0.0,0.0,,0.0,14.0,8.0,103.0,12.88,1.0,0.0,0.0,1.0,0.0,0.0,24.3,230,20,24.47,,0.0,,24.3,1.7357142857142858,1.2727272727272727,3.0375,0.1056521739130434,2019
3105,ROBERT TONYAN,GNB,25.0,11.0,1.0,0.0,0.0,,0.0,15.0,10.0,100.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,193,17,17.9,,0.0,,26.0,1.7333333333333334,1.3636363636363635,2.6,0.1347150259067357,2019
3106,JOSHUA PERKINS,PHI,26.0,5.0,0.0,0.0,0.0,,0.0,13.0,9.0,87.0,9.67,1.0,0.0,0.0,1.0,0.0,0.0,23.7,131,26,11.25,,0.0,,23.700000000000003,1.8230769230769237,2.6,2.6333333333333337,0.1809160305343511,2019
3107,MYCOLE PRUITT,TEN,27.0,16.0,10.0,0.0,0.0,,0.0,8.0,6.0,90.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,21.0,439,27,44.34,,0.0,,21.0,2.625,0.5,3.5,0.0478359908883826,2019
3110,SETH DEVALVE,JAX,26.0,12.0,6.0,0.0,0.0,,0.0,18.0,12.0,140.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,26.0,325,27,29.79,,0.0,,26.0,1.4444444444444444,1.5,2.1666666666666665,0.08,2019
3112,VIRGIL GREEN,LAC,31.0,15.0,4.0,0.0,0.0,,0.0,13.0,9.0,78.0,8.67,1.0,0.0,0.0,1.0,0.0,0.0,22.8,378,25,35.66,,0.0,,22.8,1.7538461538461538,0.8666666666666667,2.533333333333333,0.0603174603174603,2019
3114,JESSE JAMES,DET,25.0,16.0,11.0,0.0,0.0,,0.0,27.0,16.0,142.0,8.88,0.0,0.0,0.0,0.0,0.0,0.0,30.2,493,30,45.69,,0.0,,30.200000000000003,1.1185185185185187,1.6875,1.8875,0.0612576064908722,2019
3118,JESPER HORSTED,CHI,22.0,6.0,1.0,0.0,0.0,,0.0,10.0,8.0,87.0,10.88,1.0,1.0,1.0,1.0,0.0,0.0,20.7,115,19,10.76,,0.0,,22.700000000000003,2.2700000000000005,1.6666666666666667,2.8375000000000004,0.18,2019
3119,TYLER KROFT,BUF,27.0,11.0,3.0,0.0,0.0,,0.0,14.0,6.0,71.0,11.83,1.0,0.0,0.0,1.0,0.0,0.0,19.1,244,22,22.83,,0.0,,19.1,1.3642857142857143,1.2727272727272727,3.1833333333333336,0.0782786885245901,2019
3121,BEN BRAUNECKER,CHI,25.0,11.0,3.0,0.0,0.0,,0.0,11.0,6.0,59.0,9.83,1.0,0.0,0.0,1.0,0.0,0.0,17.9,143,13,13.38,,0.0,,17.9,1.6272727272727272,1.0,2.983333333333333,0.1251748251748251,2019
3126,STEPHEN CARLSON,CLE,23.0,9.0,5.0,0.0,0.0,,0.0,7.0,5.0,51.0,10.2,1.0,0.0,0.0,1.0,0.0,0.0,16.1,204,22,19.54,,0.0,,16.1,2.3000000000000003,0.7777777777777778,3.22,0.0789215686274509,2019
