,Player,Tm,Age,G,GS,Att_Rush,Yds (Rush),Y/A,TD (Rush),Tgt,Rec,Yds_Rec,Yds_per_rec,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,Total_Snaps,Avg Snaps,TM SNAP %,PPR_PassAtt,PPR_Rush,PPR_RushAtt,Tot_PPR_Rec,PPR_Tgt,Tgt_gm,PPR_Rec,PPR_Snap,Year
3297,ERIC EBRON,IND,25.0,16.0,8.0,3.0,-8.0,-2.67,1.0,110.0,66.0,750.0,11.36,13.0,1.0,1.0,14.0,0.0,0.0,222.2,634,39,56.1,0.0,5.2,1.7333333333333334,219.0,1.990909090909091,6.875,3.3181818181818183,0.3504731861198738,2018
3316,JARED COOK,OAK,31.0,16.0,14.0,0.0,0.0,,0.0,101.0,68.0,896.0,13.18,6.0,0.0,0.0,6.0,0.0,0.0,193.6,768,48,73.7,,0.0,,193.6,1.916831683168317,6.3125,2.8470588235294123,0.2520833333333333,2018
3340,TREY BURTON,CHI,27.0,16.0,16.0,1.0,2.0,2.0,0.0,76.0,54.0,569.0,10.54,6.0,1.0,1.0,6.0,1.0,0.0,147.1,859,53,81.2,,0.2,0.2,146.9,1.9328947368421052,4.75,2.7203703703703703,0.1712456344586728,2018
3341,AUSTIN HOOPER,ATL,24.0,16.0,7.0,0.0,0.0,,0.0,88.0,71.0,660.0,9.3,4.0,0.0,0.0,4.0,1.0,0.0,163.0,809,50,80.9,,0.0,,161.0,1.8295454545454544,5.5,2.267605633802817,0.2014833127317676,2018
3342,DAVID NJOKU,CLE,22.0,16.0,14.0,0.0,0.0,,0.0,88.0,56.0,639.0,11.41,4.0,0.0,0.0,4.0,0.0,0.0,143.9,873,54,80.1,,0.0,,143.9,1.6352272727272728,5.5,2.569642857142857,0.1648339060710194,2018
3344,KYLE RUDOLPH,MIN,29.0,16.0,16.0,0.0,0.0,,0.0,82.0,64.0,634.0,9.91,4.0,0.0,0.0,4.0,0.0,0.0,151.4,925,57,87.2,,0.0,,151.4,1.8463414634146345,5.125,2.365625,0.1636756756756756,2018
3345,OJ HOWARD,TAM,24.0,10.0,8.0,0.0,0.0,,0.0,48.0,34.0,565.0,16.62,5.0,0.0,0.0,5.0,0.0,0.0,120.5,436,43,55.2,,0.0,,120.5,2.5104166666666665,4.8,3.544117647058824,0.2763761467889908,2018
3350,ROB GRONKOWSKI,NWE,29.0,13.0,11.0,0.0,0.0,,0.0,72.0,47.0,682.0,14.51,3.0,1.0,1.0,3.0,0.0,0.0,131.2,839,64,67.5,,0.0,,133.2,1.85,5.538461538461538,2.834042553191489,0.1563766388557806,2018
3425,VANCE MCDONALD,PIT,28.0,15.0,14.0,0.0,0.0,,0.0,72.0,50.0,610.0,12.2,4.0,2.0,1.0,4.0,0.0,0.0,133.0,564,37,49.1,,0.0,,135.0,1.875,4.8,2.7,0.2358156028368794,2018
3427,EVAN ENGRAM,NYG,24.0,11.0,8.0,3.0,36.0,12.0,0.0,64.0,45.0,577.0,12.82,3.0,0.0,0.0,3.0,1.0,0.0,126.3,475,43,43.9,,3.6,1.2,120.7,1.8859375,5.818181818181818,2.6822222222222223,0.2658947368421052,2018
3436,JIMMY GRAHAM,GNB,32.0,16.0,12.0,0.0,0.0,,0.0,89.0,55.0,636.0,11.56,2.0,0.0,0.0,2.0,0.0,0.0,130.6,795,49,75.7,,0.0,,130.6,1.4674157303370785,5.5625,2.3745454545454545,0.1642767295597484,2018
3444,CHRIS HERNDON,NYJ,22.0,16.0,12.0,0.0,0.0,,0.0,56.0,39.0,502.0,12.87,4.0,2.0,0.0,4.0,0.0,0.0,113.2,549,39,39.4,,0.0,,113.2,2.021428571428572,3.5,2.9025641025641025,0.2061930783242258,2018
3445,MARK ANDREWS,BAL,23.0,16.0,3.0,0.0,0.0,,0.0,50.0,34.0,552.0,16.24,3.0,0.0,0.0,3.0,0.0,0.0,107.2,414,25,34.2,,0.0,,107.2,2.144,3.125,3.152941176470588,0.2589371980676329,2018
3458,JORDAN REED,WAS,28.0,13.0,8.0,0.0,0.0,,0.0,84.0,54.0,558.0,10.33,2.0,1.0,1.0,2.0,0.0,0.0,119.8,511,39,64.1,,0.0,,121.8,1.4500000000000002,6.461538461538462,2.255555555555556,0.2344422700587084,2018
3467,CAMERON BRATE,TAM,27.0,16.0,2.0,0.0,0.0,,0.0,49.0,30.0,289.0,9.63,6.0,1.0,1.0,6.0,0.0,0.0,92.9,534,33,39.2,,0.0,,94.9,1.9367346938775512,3.0625,3.1633333333333336,0.1739700374531835,2018
3470,CJ UZOMAH,CIN,25.0,16.0,15.0,0.0,0.0,,0.0,64.0,43.0,439.0,10.21,3.0,0.0,0.0,3.0,0.0,0.0,104.9,841,52,81.8,,0.0,,104.9,1.6390625,4.0,2.4395348837209303,0.1247324613555291,2018
3478,DALLAS GOEDERT,PHI,23.0,16.0,8.0,0.0,0.0,,0.0,44.0,33.0,334.0,10.12,4.0,0.0,0.0,4.0,0.0,0.0,90.4,525,32,43.3,,0.0,,90.4,2.0545454545454547,2.75,2.73939393939394,0.1721904761904762,2018
3482,GERALD EVERETT,LAR,24.0,16.0,0.0,2.0,16.0,8.0,0.0,50.0,33.0,320.0,9.7,3.0,0.0,0.0,3.0,1.0,0.0,86.6,380,23,25.3,,1.6,0.8,83.0,1.66,3.125,2.515151515151515,0.2278947368421052,2018
3483,JESSE JAMES,PIT,24.0,16.0,7.0,0.0,0.0,,0.0,39.0,30.0,423.0,14.1,2.0,0.0,0.0,2.0,0.0,0.0,84.3,563,35,55.9,,0.0,,84.30000000000001,2.161538461538462,2.4375,2.8100000000000005,0.1497335701598579,2018
3484,GREG OLSEN,CAR,33.0,9.0,9.0,0.0,0.0,,0.0,38.0,27.0,291.0,10.78,4.0,0.0,0.0,4.0,0.0,0.0,80.1,429,47,60.1,,0.0,,80.1,2.107894736842105,4.222222222222222,2.9666666666666663,0.1867132867132867,2018
3488,VERNON DAVIS,WAS,34.0,14.0,8.0,0.0,0.0,,0.0,36.0,25.0,367.0,14.68,2.0,0.0,0.0,2.0,1.0,0.0,75.7,447,31,46.7,,0.0,,73.7,2.0472222222222225,2.571428571428572,2.948,0.1693512304250559,2018
3497,BLAKE JARWIN,DAL,24.0,16.0,4.0,0.0,0.0,,0.0,36.0,27.0,307.0,11.37,3.0,0.0,0.0,3.0,0.0,0.0,75.7,388,24,27.0,,0.0,,75.7,2.102777777777778,2.25,2.803703703703704,0.1951030927835051,2018
3504,ANTONIO GATES,LAC,38.0,16.0,1.0,0.0,0.0,,0.0,45.0,28.0,333.0,11.89,2.0,1.0,1.0,2.0,2.0,0.0,75.3,366,22,32.5,,0.0,,73.30000000000001,1.628888888888889,2.8125,2.6178571428571438,0.2057377049180327,2018
3510,JORDAN THOMAS,HOU,22.0,16.0,10.0,0.0,0.0,,0.0,27.0,20.0,215.0,10.75,4.0,0.0,0.0,4.0,0.0,0.0,65.5,470,29,45.5,,0.0,,65.5,2.425925925925926,1.6875,3.275,0.1393617021276595,2018
3513,IAN THOMAS,CAR,22.0,16.0,6.0,0.0,0.0,,0.0,49.0,36.0,333.0,9.25,2.0,0.0,0.0,2.0,0.0,0.0,81.3,526,32,32.7,,0.0,,81.30000000000001,1.659183673469388,3.0625,2.2583333333333337,0.1545627376425855,2018
3514,NICK VANNETT,SEA,25.0,15.0,9.0,0.0,0.0,,0.0,43.0,29.0,269.0,9.28,3.0,1.0,0.0,3.0,0.0,0.0,73.9,530,35,53.3,,0.0,,73.9,1.7186046511627908,2.8666666666666667,2.548275862068966,0.1394339622641509,2018
3516,JONNU SMITH,TEN,23.0,13.0,12.0,0.0,0.0,,0.0,30.0,20.0,258.0,12.9,3.0,1.0,0.0,3.0,0.0,0.0,63.8,610,46,80.1,,0.0,,63.8,2.1266666666666665,2.3076923076923075,3.19,0.1045901639344262,2018
3523,TYLER HIGBEE,LAR,25.0,16.0,16.0,0.0,0.0,,0.0,34.0,24.0,292.0,12.17,2.0,1.0,0.0,2.0,0.0,0.0,65.2,788,49,77.1,,0.0,,65.2,1.9176470588235293,2.125,2.716666666666667,0.082741116751269,2018
3525,JEFF HEUERMAN,DEN,26.0,11.0,10.0,0.0,0.0,,0.0,48.0,31.0,281.0,9.06,2.0,0.0,0.0,2.0,0.0,0.0,71.1,555,50,76.9,,0.0,,71.1,1.48125,4.363636363636363,2.293548387096774,0.1281081081081081,2018
3527,RICKY SEALS-JONES,ARI,23.0,15.0,5.0,0.0,0.0,,0.0,69.0,34.0,343.0,10.09,1.0,0.0,0.0,1.0,0.0,0.0,74.3,538,35,65.8,,0.0,,74.30000000000001,1.0768115942028986,4.6,2.185294117647059,0.1381040892193308,2018
3540,JACK DOYLE,IND,28.0,6.0,6.0,0.0,0.0,,0.0,33.0,26.0,245.0,9.42,2.0,1.0,1.0,2.0,0.0,0.0,60.5,330,55,42.6,,0.0,,62.5,1.893939393939394,5.5,2.4038461538461537,0.1833333333333333,2018
3541,RHETT ELLISON,NYG,30.0,14.0,12.0,0.0,0.0,,0.0,34.0,25.0,272.0,10.88,1.0,0.0,0.0,1.0,1.0,0.0,60.2,558,39,58.4,,0.0,,58.2,1.711764705882353,2.4285714285714284,2.3280000000000003,0.1078853046594982,2018
3545,JASON CROOM,BUF,24.0,15.0,3.0,0.0,0.0,,0.0,35.0,22.0,259.0,11.77,1.0,2.0,2.0,2.0,0.0,0.0,55.9,388,25,35.7,,0.0,,53.900000000000006,1.5400000000000005,2.333333333333333,2.45,0.1440721649484536,2018
3546,DEMETRIUS HARRIS,KAN,27.0,15.0,3.0,0.0,0.0,,0.0,25.0,12.0,164.0,13.67,3.0,0.0,0.0,3.0,0.0,0.0,46.4,372,24,35.0,,0.0,,46.400000000000006,1.8560000000000003,1.6666666666666667,3.866666666666667,0.1247311827956989,2018
3547,ED DICKSON,SEA,31.0,10.0,1.0,1.0,9.0,9.0,0.0,13.0,12.0,143.0,11.92,3.0,0.0,0.0,3.0,0.0,0.0,45.2,365,36,19.7,,0.9,0.9,44.3,3.407692307692308,1.3,3.6916666666666655,0.1238356164383561,2018
3556,LEVINE TOILOLO,DET,27.0,16.0,10.0,0.0,0.0,,0.0,24.0,21.0,263.0,12.52,1.0,0.0,0.0,1.0,0.0,0.0,53.3,527,32,39.1,,0.0,,53.3,2.220833333333333,1.5,2.538095238095238,0.1011385199240986,2018
3558,JAMES DEVELIN,NWE,30.0,16.0,8.0,6.0,8.0,1.33,4.0,17.0,12.0,61.0,5.08,0.0,0.0,0.0,4.0,0.0,0.0,42.9,397,24,32.1,,24.8,4.133333333333334,18.1,1.0647058823529412,1.0625,1.5083333333333335,0.1080604534005037,2018
3560,RYAN GRIFFIN,HOU,28.0,14.0,11.0,0.0,0.0,,0.0,43.0,24.0,305.0,12.71,0.0,0.0,0.0,0.0,0.0,0.0,54.5,743,53,62.4,,0.0,,54.5,1.2674418604651163,3.071428571428572,2.270833333333333,0.0733512786002691,2018
3562,TAYSOM HILL,NOR,28.0,16.0,4.0,37.0,196.0,5.3,2.0,7.0,3.0,4.0,1.33,0.0,1.0,1.0,2.0,0.0,0.0,33.6,181,11,18.5,0.08,31.6,0.8540540540540541,3.4,0.4857142857142857,0.4375,1.1333333333333333,0.1856353591160221,2018
3564,MATT LACOSSE,DEN,26.0,15.0,5.0,0.0,0.0,,0.0,37.0,24.0,250.0,10.42,1.0,0.0,0.0,1.0,0.0,0.0,55.0,418,27,25.1,,0.0,,55.0,1.4864864864864864,2.466666666666667,2.2916666666666665,0.131578947368421,2018
3567,DARREN FELLS,CLE,32.0,16.0,11.0,0.0,0.0,,0.0,12.0,11.0,117.0,10.64,3.0,0.0,0.0,3.0,0.0,0.0,40.7,419,26,39.6,,0.0,,40.7,3.391666666666667,0.75,3.7,0.0971360381861575,2018
3568,GEOFF SWAIM,DAL,25.0,9.0,9.0,0.0,0.0,,0.0,32.0,26.0,242.0,9.31,1.0,0.0,0.0,1.0,0.0,0.0,56.2,514,57,72.4,,0.0,,56.2,1.75625,3.555555555555556,2.161538461538462,0.1093385214007782,2018
3573,LUKE STOCKER,TEN,30.0,16.0,11.0,1.0,0.0,0.0,0.0,21.0,15.0,165.0,11.0,2.0,0.0,0.0,2.0,0.0,0.0,43.5,476,29,45.2,,0.0,0.0,43.5,2.071428571428572,1.3125,2.9,0.0913865546218487,2018
3574,WILL DISSLY,SEA,22.0,4.0,4.0,0.0,0.0,,0.0,14.0,8.0,156.0,19.5,2.0,0.0,0.0,2.0,0.0,0.0,35.6,127,31,17.5,,0.0,,35.6,2.542857142857143,3.5,4.45,0.2803149606299213,2018
3576,MICHAEL ROBERTS,DET,24.0,8.0,2.0,0.0,0.0,,0.0,20.0,9.0,100.0,11.11,3.0,0.0,0.0,3.0,0.0,0.0,37.0,159,19,20.3,,0.0,,37.0,1.85,2.5,4.111111111111111,0.2327044025157232,2018
3580,VIRGIL GREEN,LAC,30.0,16.0,16.0,0.0,0.0,,0.0,27.0,19.0,210.0,11.05,1.0,0.0,0.0,1.0,0.0,0.0,46.0,673,42,69.6,,0.0,,46.0,1.7037037037037035,1.6875,2.421052631578948,0.0683506686478454,2018
3584,ERIK SWOOPE,IND,26.0,7.0,2.0,0.0,0.0,,0.0,10.0,8.0,87.0,10.88,3.0,0.0,0.0,3.0,0.0,0.0,34.7,78,11,7.1,,0.0,,34.7,3.47,1.4285714285714286,4.3375,0.4448717948717949,2018
3589,MO ALIE-COX,IND,25.0,9.0,1.0,0.0,0.0,,0.0,13.0,7.0,133.0,19.0,2.0,0.0,0.0,2.0,0.0,0.0,32.3,241,26,16.9,,0.0,,32.3,2.484615384615384,1.4444444444444444,4.614285714285714,0.1340248962655601,2018
3591,JOSH HILL,NOR,28.0,16.0,11.0,0.0,0.0,,0.0,24.0,16.0,185.0,11.56,1.0,0.0,0.0,1.0,0.0,0.0,40.5,652,40,60.1,,0.0,,40.5,1.6875,1.5,2.53125,0.0621165644171779,2018
3593,LEE SMITH,OAK,31.0,16.0,4.0,0.0,0.0,,0.0,11.0,10.0,73.0,7.3,3.0,0.0,0.0,3.0,0.0,0.0,35.3,284,17,28.7,,0.0,,35.3,3.209090909090909,0.6875,3.53,0.1242957746478873,2018
3596,TYLER EIFERT,CIN,28.0,4.0,2.0,0.0,0.0,,0.0,19.0,15.0,179.0,11.93,1.0,0.0,0.0,1.0,0.0,0.0,38.9,132,33,19.2,,0.0,,38.900000000000006,2.047368421052632,4.75,2.5933333333333337,0.2946969696969697,2018
3598,JORDAN AKINS,HOU,26.0,16.0,6.0,0.0,0.0,,0.0,25.0,17.0,225.0,13.24,0.0,0.0,0.0,0.0,0.0,0.0,39.5,388,24,37.6,,0.0,,39.5,1.58,1.5625,2.323529411764706,0.1018041237113402,2018
3600,LANCE KENDRICKS,GNB,30.0,16.0,3.0,0.0,0.0,,0.0,25.0,19.0,170.0,8.95,1.0,0.0,0.0,1.0,0.0,0.0,42.0,315,19,35.7,,0.0,,42.0,1.68,1.5625,2.210526315789474,0.1333333333333333,2018
3602,HAYDEN HURST,BAL,25.0,12.0,0.0,1.0,0.0,0.0,0.0,23.0,13.0,163.0,12.54,1.0,0.0,0.0,1.0,0.0,0.0,35.3,275,22,20.4,,0.0,0.0,35.3,1.534782608695652,1.9166666666666667,2.715384615384615,0.1283636363636363,2018
3605,NICK BOYLE,BAL,25.0,16.0,13.0,0.0,0.0,,0.0,37.0,23.0,213.0,9.26,0.0,0.0,0.0,0.0,0.0,0.0,44.3,652,40,56.6,,0.0,,44.3,1.1972972972972973,2.3125,1.9260869565217391,0.0679447852760736,2018
3606,GARRETT CELEK,SFO,30.0,15.0,1.0,0.0,0.0,,0.0,8.0,5.0,90.0,18.0,2.0,0.0,0.0,2.0,0.0,0.0,26.0,276,18,29.2,,0.0,,26.0,3.25,0.5333333333333333,5.2,0.0942028985507246,2018
3609,JAMES O'SHAUGHNESSY,JAX,26.0,14.0,9.0,0.0,0.0,,0.0,38.0,24.0,214.0,8.92,0.0,0.0,0.0,0.0,0.0,0.0,45.4,531,37,43.1,,0.0,,45.400000000000006,1.194736842105263,2.7142857142857144,1.8916666666666668,0.0854990583804143,2018
3610,MAXX WILLIAMS,BAL,24.0,13.0,6.0,3.0,8.0,2.67,0.0,17.0,16.0,143.0,8.94,1.0,0.0,0.0,1.0,0.0,0.0,37.1,375,28,29.1,,0.8,0.2666666666666666,36.3,2.135294117647059,1.3076923076923077,2.26875,0.0989333333333333,2018
3615,MIKE GESICKI,MIA,23.0,16.0,7.0,0.0,0.0,,0.0,32.0,22.0,202.0,9.18,0.0,1.0,1.0,0.0,0.0,0.0,40.2,399,24,44.9,,0.0,,42.2,1.31875,2.0,1.9181818181818184,0.1007518796992481,2018
3620,JORDAN LEGGETT,NYJ,23.0,15.0,4.0,0.0,0.0,,0.0,24.0,14.0,114.0,8.14,1.0,0.0,0.0,1.0,0.0,0.0,31.4,326,21,30.9,,0.0,,31.4,1.3083333333333331,1.6,2.242857142857143,0.0963190184049079,2018
3621,CHARLES CLAY,BUF,29.0,13.0,12.0,0.0,0.0,,0.0,36.0,21.0,184.0,8.76,0.0,1.0,1.0,0.0,0.0,0.0,37.4,504,38,48.2,,0.0,,39.400000000000006,1.0944444444444446,2.769230769230769,1.8761904761904764,0.0742063492063492,2018
3625,MYCOLE PRUITT,TEN,26.0,15.0,1.0,0.0,0.0,,0.0,11.0,9.0,102.0,11.33,1.0,0.0,0.0,1.0,0.0,0.0,25.2,191,12,9.4,,0.0,,25.200000000000003,2.290909090909091,0.7333333333333333,2.8000000000000003,0.1319371727748691,2018
3631,NICK O'LEARY,MIA,26.0,12.0,7.0,0.0,0.0,,0.0,10.0,8.0,86.0,10.75,1.0,0.0,0.0,1.0,0.0,0.0,22.6,311,31,29.1,,0.0,,22.6,2.26,0.8333333333333334,2.825,0.072668810289389,2018
3632,LOGAN PAULSEN,ATL,31.0,15.0,10.0,0.0,0.0,,0.0,9.0,9.0,91.0,10.11,1.0,0.0,0.0,1.0,0.0,0.0,24.1,362,24,37.0,,0.0,,24.1,2.677777777777778,0.6,2.677777777777778,0.0665745856353591,2018
3633,AUSTIN SEFERIAN-JENKINS,JAX,26.0,5.0,5.0,0.0,0.0,,0.0,19.0,11.0,90.0,8.18,1.0,0.0,0.0,1.0,0.0,0.0,26.0,221,44,29.7,,0.0,,26.0,1.368421052631579,3.8,2.363636363636364,0.1176470588235294,2018
3634,SCOTT SIMONSON,NYG,26.0,16.0,4.0,0.0,0.0,,0.0,14.0,9.0,86.0,9.56,1.0,0.0,0.0,1.0,0.0,0.0,23.6,289,18,26.3,,0.0,,23.6,1.6857142857142855,0.875,2.6222222222222222,0.0816608996539792,2018
3644,ROBERT TONYAN,GNB,24.0,16.0,1.0,0.0,0.0,,0.0,6.0,4.0,77.0,19.25,1.0,0.0,0.0,1.0,0.0,0.0,17.7,67,4,1.9,,0.0,,17.7,2.95,0.375,4.425,0.2641791044776119,2018
3646,DEREK CARRIER,OAK,28.0,16.0,2.0,0.0,0.0,,0.0,12.0,7.0,67.0,9.57,1.0,0.0,0.0,1.0,0.0,0.0,19.7,233,14,22.7,,0.0,,19.7,1.6416666666666666,0.75,2.814285714285714,0.0845493562231759,2018
3647,SETH DEVALVE,CLE,25.0,13.0,4.0,0.0,0.0,,0.0,7.0,5.0,74.0,14.8,1.0,0.0,0.0,1.0,0.0,0.0,18.4,98,7,6.9,,0.0,,18.4,2.628571428571429,0.5384615384615384,3.68,0.1877551020408163,2018
3653,DALTON SCHULTZ,DAL,22.0,11.0,7.0,0.0,0.0,,0.0,17.0,12.0,116.0,9.67,0.0,0.0,0.0,0.0,0.0,0.0,23.6,299,27,14.9,,0.0,,23.6,1.3882352941176472,1.5454545454545454,1.9666666666666668,0.0789297658862876,2018
3654,AJ DERBY,MIA,27.0,4.0,0.0,0.0,0.0,,0.0,5.0,3.0,48.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,13.8,124,31,18.9,,0.0,,13.8,2.76,1.25,4.6000000000000005,0.1112903225806451,2018
3659,CHRIS MANHERTZ,CAR,26.0,16.0,4.0,0.0,0.0,,0.0,5.0,2.0,52.0,26.0,1.0,0.0,0.0,1.0,0.0,0.0,13.2,343,21,33.2,,0.0,,13.2,2.64,0.3125,6.6,0.0384839650145772,2018
3664,JEREMY SPRINKLE,WAS,24.0,16.0,9.0,0.0,0.0,,0.0,9.0,5.0,41.0,8.2,1.0,0.0,0.0,1.0,0.0,0.0,15.1,363,22,29.3,,0.0,,15.1,1.677777777777778,0.5625,3.0200000000000005,0.0415977961432506,2018
3666,DARREN WALLER,OAK,26.0,4.0,0.0,1.0,21.0,21.0,0.0,6.0,6.0,75.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,15.6,42,10,,,2.1,2.1,13.5,2.25,1.5,2.25,0.3714285714285714,2018
3669,JAKE BUTT,DEN,23.0,3.0,3.0,0.0,0.0,,0.0,13.0,8.0,85.0,10.63,0.0,0.0,0.0,0.0,0.0,0.0,16.5,97,32,13.4,,0.0,,16.5,1.2692307692307692,4.333333333333333,2.0625,0.1701030927835051,2018
3674,LUKE WILLSON,DET,28.0,14.0,8.0,0.0,0.0,,0.0,19.0,13.0,87.0,6.69,0.0,0.0,0.0,0.0,0.0,0.0,21.7,425,30,42.9,,0.0,,21.700000000000003,1.142105263157895,1.3571428571428572,1.6692307692307695,0.0510588235294117,2018
3677,TYLER CONKLIN,MIN,23.0,16.0,3.0,0.0,0.0,,0.0,7.0,5.0,77.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,12.7,147,9,13.4,,0.0,,12.7,1.8142857142857145,0.4375,2.54,0.0863945578231292,2018
3678,MATT LENGEL,CIN,28.0,11.0,2.0,0.0,0.0,,0.0,8.0,3.0,17.0,5.67,1.0,0.0,0.0,1.0,0.0,0.0,10.7,87,14,4.7,,0.0,,10.7,1.3375,0.7272727272727273,3.5666666666666664,0.1229885057471264,2018
3680,LOGAN THOMAS,BUF,27.0,12.0,3.0,0.0,0.0,,0.0,17.0,12.0,77.0,6.42,0.0,0.0,0.0,0.0,0.0,0.0,20.3,284,23,29.9,0.6,0.0,,19.7,1.1588235294117646,1.4166666666666667,1.6416666666666666,0.0714788732394366,2018
3684,BLAKE BELL,JAX,27.0,10.0,4.0,0.0,0.0,,0.0,11.0,8.0,67.0,8.38,0.0,0.0,0.0,0.0,0.0,0.0,14.7,221,22,16.4,,0.0,,14.7,1.3363636363636362,1.1,1.8375,0.0665158371040724,2018
3686,JERMAINE GRESHAM,ARI,30.0,13.0,11.0,0.0,0.0,,0.0,12.0,9.0,94.0,10.44,0.0,1.0,1.0,0.0,0.0,0.0,16.4,416,32,44.5,,0.0,,18.4,1.5333333333333332,0.9230769230769232,2.0444444444444443,0.0394230769230769,2018
3687,XAVIER GRIMBLE,PIT,26.0,16.0,2.0,0.0,0.0,,0.0,8.0,6.0,86.0,14.33,0.0,1.0,1.0,0.0,0.0,0.0,12.6,175,10,16.1,,0.0,,14.6,1.825,0.5,2.433333333333333,0.072,2018
3689,JOSHUA PERKINS,PHI,25.0,9.0,1.0,0.0,0.0,,0.0,11.0,5.0,67.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,11.7,95,10,12.7,,0.0,,11.7,1.0636363636363635,1.2222222222222223,2.34,0.123157894736842,2018
3690,ERIC TOMLINSON,NYJ,26.0,15.0,12.0,0.0,0.0,,0.0,14.0,8.0,72.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,354,23,39.0,,0.0,,15.2,1.0857142857142856,0.9333333333333332,1.9,0.0429378531073446,2018
3692,DAVID GRINNAGE,JAX,24.0,4.0,2.0,0.0,0.0,,0.0,8.0,6.0,61.0,10.17,0.0,0.0,0.0,0.0,0.0,0.0,12.1,68,22,9.1,,0.0,,12.1,1.5125000000000002,2.0,2.016666666666667,0.1779411764705882,2018
3697,ANTONY AUCLAIR,TAM,25.0,16.0,10.0,0.0,0.0,,0.0,8.0,7.0,48.0,6.86,0.0,0.0,0.0,0.0,0.0,0.0,11.8,339,21,25.3,,0.0,,11.8,1.475,0.5,1.6857142857142855,0.0348082595870206,2018
3700,RICO GATHERS,DAL,24.0,15.0,4.0,0.0,0.0,,0.0,7.0,3.0,45.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,146,9,14.1,,0.0,,7.5,1.0714285714285714,0.4666666666666667,2.5,0.0513698630136986,2018
3702,JACOB HOLLISTER,NWE,25.0,8.0,1.0,0.0,0.0,,0.0,5.0,4.0,52.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,59,7,6.3,,0.0,,9.2,1.84,0.625,2.3,0.1559322033898305,2018
3704,ERIC SAUBERT,ATL,24.0,16.0,1.0,0.0,0.0,,0.0,9.0,5.0,48.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,9.8,178,11,11.3,,0.0,,9.8,1.088888888888889,0.5625,1.96,0.0550561797752809,2018
3705,DURHAM SMYTHE,MIA,23.0,15.0,2.0,0.0,0.0,,0.0,11.0,6.0,50.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,11.0,176,11,11.3,,0.0,,11.0,1.0,0.7333333333333333,1.8333333333333333,0.0625,2018
3709,DELANIE WALKER,TEN,34.0,1.0,1.0,0.0,0.0,,0.0,7.0,4.0,52.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,39,39,6.2,,0.0,,9.2,1.3142857142857145,7.0,2.3,0.2358974358974359,2018
3711,BEN BRAUNECKER,CHI,24.0,15.0,2.0,0.0,0.0,,0.0,5.0,3.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,119,7,10.8,,0.0,,7.2,1.44,0.3333333333333333,2.4,0.0605042016806722,2018
3714,JORDAN FRANKS,CIN,22.0,6.0,0.0,0.0,0.0,,0.0,3.0,2.0,37.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,5.7,11,3,0.6,,0.0,,5.7,1.9,0.5,2.85,0.5181818181818182,2018
3716,TYLER KROFT,CIN,26.0,5.0,2.0,0.0,0.0,,0.0,6.0,4.0,36.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,116,23,16.9,,0.0,,7.6,1.2666666666666666,1.2,1.9,0.0655172413793103,2018
3717,MARCEDES LEWIS,GNB,34.0,16.0,4.0,0.0,0.0,,0.0,4.0,3.0,39.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,191,11,19.6,,0.0,,6.9,1.725,0.25,2.3000000000000003,0.0361256544502617,2018
3720,DAVID MORGAN,MIN,25.0,11.0,6.0,0.0,0.0,,0.0,6.0,5.0,36.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,8.6,230,20,23.2,,0.0,,8.6,1.4333333333333331,0.5454545454545454,1.72,0.037391304347826,2018
3723,JOHN PHILLIPS,ARI,31.0,8.0,4.0,0.0,0.0,,0.0,3.0,3.0,38.0,12.67,0.0,0.0,0.0,0.0,0.0,0.0,6.8,129,16,5.8,,0.0,,6.800000000000001,2.266666666666667,0.375,2.266666666666667,0.0527131782945736,2018
3727,DWAYNE ALLEN,NWE,28.0,13.0,8.0,0.0,0.0,,0.0,4.0,3.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,362,27,39.0,,0.0,,5.7,1.425,0.3076923076923077,1.9,0.0157458563535911,2018
3731,BRIAN PARKER,DEN,26.0,13.0,1.0,0.0,0.0,,0.0,10.0,5.0,33.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,8.3,146,12,4.2,,0.0,,8.3,0.8300000000000001,0.7692307692307693,1.66,0.0568493150684931,2018
