Player,Tm,FantPos,Age,G,GS,Cmp,Att (Pass),Yds (Pass),TD (Pass),Int,Att (Rush),Yds (Rush),Y/A (Rush),TD (Rush),Tgt (Rec),Receptions,Yds (Rec),Y/R,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,PosRank
Kareem Hunt,KAN,RB,29,13,8,0.0,0.0,0.0,0.0,0.0,200.0,728.0,3.64,7.0,32.0,23.0,176.0,7.65,0.0,0.0,0.0,7,0.0,0.0,155.4,30
Tank Bigsby,JAX,RB,23,16,1,0.0,0.0,0.0,0.0,0.0,168.0,766.0,4.56,7.0,12.0,7.0,54.0,7.71,0.0,4.0,1.0,7,0.0,0.0,129.0,31
Javonte Williams,DEN,RB,24,17,11,0.0,0.0,0.0,0.0,0.0,139.0,513.0,3.69,4.0,70.0,52.0,346.0,6.65,0.0,2.0,2.0,4,0.0,0.0,157.9,32
Jordan Mason,SFO,RB,25,12,6,0.0,0.0,0.0,0.0,0.0,153.0,789.0,5.16,3.0,14.0,11.0,91.0,8.27,0.0,3.0,1.0,3,0.0,0.0,115.0,33
Alexander Mattison,LVR,RB,26,14,7,0.0,0.0,0.0,0.0,0.0,132.0,420.0,3.18,4.0,48.0,36.0,294.0,8.17,1.0,1.0,1.0,5,1.0,0.0,137.4,34
Ray Davis,BUF,RB,25,17,0,0.0,0.0,0.0,0.0,0.0,113.0,442.0,3.91,3.0,19.0,17.0,189.0,11.12,3.0,0.0,0.0,6,0.0,0.0,116.1,35
Austin Ekeler,WAS,RB,29,12,6,0.0,0.0,0.0,0.0,0.0,77.0,367.0,4.77,4.0,41.0,35.0,366.0,10.46,0.0,3.0,0.0,4,0.0,0.0,132.3,36
Jerome Ford,CLE,RB,25,14,6,0.0,0.0,0.0,0.0,0.0,104.0,565.0,5.43,3.0,43.0,37.0,225.0,6.08,0.0,0.0,0.0,3,0.0,0.0,134.0,37
Tyler Allgeier,ATL,RB,24,17,0,0.0,0.0,0.0,0.0,0.0,137.0,644.0,4.7,3.0,13.0,13.0,88.0,6.77,0.0,0.0,0.0,3,1.0,0.0,106.2,38
Travis Etienne,JAX,RB,25,15,15,0.0,0.0,0.0,0.0,0.0,150.0,558.0,3.72,2.0,52.0,39.0,254.0,6.51,0.0,1.0,1.0,2,0.0,0.0,130.2,39
Jaylen Warren,PIT,RB,26,15,0,0.0,0.0,0.0,0.0,0.0,120.0,511.0,4.26,1.0,47.0,38.0,310.0,8.16,0.0,2.0,1.0,1,0.0,0.0,124.1,40
Ameer Abdullah,LVR,RB,31,16,3,0.0,0.0,0.0,0.0,0.0,66.0,311.0,4.71,2.0,47.0,40.0,261.0,6.53,3.0,2.0,1.0,5,0.0,0.0,125.2,41
Justice Hill,BAL,RB,27,15,0,0.0,0.0,0.0,0.0,0.0,47.0,228.0,4.85,1.0,51.0,42.0,383.0,9.12,3.0,0.0,0.0,4,0.0,0.0,127.1,42
Emanuel Wilson,GNB,RB,25,17,0,0.0,0.0,0.0,0.0,0.0,103.0,502.0,4.87,4.0,14.0,11.0,48.0,4.36,1.0,0.0,0.0,5,0.0,0.0,96.0,43
Tyjae Spears,TEN,RB,23,12,1,0.0,0.0,0.0,0.0,0.0,84.0,312.0,3.71,4.0,35.0,30.0,224.0,7.47,1.0,1.0,0.0,5,0.0,0.0,113.6,44
Antonio Gibson,NWE,RB,26,17,3,0.0,0.0,0.0,0.0,0.0,120.0,538.0,4.48,1.0,29.0,23.0,206.0,8.96,0.0,2.0,0.0,1,0.0,0.0,103.4,45
Cam Akers,2TM,RB,25,17,2,0.0,0.0,0.0,0.0,0.0,104.0,444.0,4.27,2.0,18.0,14.0,68.0,4.86,3.0,1.0,1.0,5,0.0,0.0,93.2,46
Isaac Guerendo,SFO,RB,24,16,3,0.0,0.0,0.0,0.0,0.0,84.0,420.0,5.0,4.0,16.0,15.0,152.0,10.13,0.0,3.0,1.0,4,0.0,0.0,94.2,47
Devin Singletary,NYG,RB,27,15,5,0.0,0.0,0.0,0.0,0.0,113.0,437.0,3.87,4.0,24.0,21.0,119.0,5.67,0.0,2.0,2.0,4,0.0,0.0,96.6,48
Ty Johnson,BUF,RB,27,17,1,0.0,0.0,0.0,0.0,0.0,41.0,213.0,5.2,1.0,25.0,18.0,284.0,15.78,3.0,0.0,0.0,4,0.0,0.0,91.7,49
Jaleel McLaughlin,DEN,RB,24,16,5,0.0,0.0,0.0,0.0,0.0,113.0,496.0,4.39,1.0,27.0,24.0,76.0,3.17,2.0,1.0,1.0,3,0.0,0.0,97.2,50
Braelon Allen,NYJ,RB,20,17,2,0.0,0.0,0.0,0.0,0.0,92.0,334.0,3.63,2.0,27.0,19.0,148.0,7.79,1.0,0.0,0.0,3,0.0,0.0,85.2,51
Gus Edwards,LAC,RB,29,11,6,0.0,0.0,0.0,0.0,0.0,101.0,365.0,3.61,4.0,5.0,3.0,6.0,2.0,0.0,0.0,0.0,4,0.0,0.0,64.1,53
