,Player,Tm,Age,G,GS,Att_Rush,Yds (Rush),Y/A,TD (Rush),Tgt,Rec,Yds_Rec,Yds_per_rec,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,Total_Snaps,Avg Snaps,TM SNAP %,PPR_PassAtt,PPR_Rush,PPR_RushAtt,Tot_PPR_Rec,PPR_Tgt,Tgt_gm,PPR_Rec,PPR_Snap,Year,PPR_Yards_Only
182,TYLER LOCKETT,SEA,32.0,17.0,14.0,0.0,0.0,,0.0,74.0,49.0,600.0,12.24,2.0,0.0,0.0,2.0,0.0,0.0,121.0,765,45,69.5,,0.0,,121.0,1.635135135135135,4.352941176470588,2.4693877551020407,0.1581699346405228,2024,60.0
183,DONTAYVION WICKS,GNB,23.0,17.0,5.0,0.0,0.0,,0.0,76.0,39.0,415.0,10.64,5.0,0.0,0.0,5.0,0.0,0.0,110.5,586,34,54.1,,0.0,,110.5,1.4539473684210529,4.470588235294118,2.833333333333333,0.1885665529010239,2024,41.5
186,DARIUS SLAYTON,NYG,27.0,16.0,13.0,2.0,17.0,8.5,0.0,71.0,39.0,573.0,14.69,2.0,1.0,0.0,2.0,0.0,0.0,110.0,872,54,77.5,,1.7000000000000002,0.8500000000000001,108.3,1.5253521126760563,4.4375,2.7769230769230773,0.1261467889908256,2024,57.300000000000004
187,MACK HOLLINS,BUF,31.0,17.0,13.0,0.0,0.0,,0.0,50.0,31.0,378.0,12.19,5.0,0.0,0.0,5.0,0.0,0.0,98.8,721,42,66.3,,0.0,,98.8,1.976,2.9411764705882355,3.1870967741935488,0.1370319001386962,2024,37.800000000000004
188,JOSH PALMER,LAC,25.0,15.0,7.0,0.0,0.0,,0.0,65.0,39.0,584.0,14.97,1.0,0.0,0.0,1.0,2.0,0.0,107.4,616,41,57.7,,0.0,,103.4,1.590769230769231,4.333333333333333,2.651282051282052,0.1743506493506493,2024,58.400000000000006
190,OLAMIDE ZACCHEAUS,WAS,27.0,17.0,6.0,1.0,8.0,8.0,0.0,64.0,45.0,506.0,11.24,3.0,3.0,1.0,3.0,0.0,0.0,112.4,494,29,42.5,,0.8,0.8,113.6,1.775,3.764705882352941,2.5244444444444443,0.2275303643724696,2024,50.6
192,MARQUEZ VALDES-SCANTLING,2TM,30.0,14.0,8.0,1.0,4.0,4.0,0.0,44.0,19.0,411.0,21.63,4.0,0.0,0.0,4.0,0.0,0.0,84.5,478,34,47.8,,0.4,0.4,84.1,1.911363636363636,3.142857142857143,4.426315789473684,0.1767782426778242,2024,41.1
193,DEVAUGHN VELE,DEN,27.0,13.0,7.0,0.0,0.0,,0.0,55.0,41.0,475.0,11.59,3.0,0.0,0.0,3.0,0.0,0.0,106.5,447,34,40.6,,0.0,,106.5,1.9363636363636365,4.230769230769231,2.597560975609756,0.2382550335570469,2024,47.5
195,PARKER WASHINGTON,JAX,22.0,17.0,7.0,0.0,0.0,,0.0,51.0,32.0,390.0,12.19,3.0,2.0,0.0,4.0,1.0,0.0,97.0,584,34,56.5,,0.0,,89.0,1.7450980392156863,3.0,2.78125,0.1660958904109589,2024,39.0
197,RICKY PEARSALL,SFO,24.0,11.0,4.0,3.0,45.0,15.0,0.0,46.0,31.0,400.0,12.9,3.0,0.0,0.0,3.0,0.0,0.0,93.5,455,41,67.5,0.0,4.5,1.5,89.0,1.934782608695652,4.181818181818182,2.870967741935484,0.2054945054945054,2024,40.0
