NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM SNAP %,TD
Andrew Luck,QB,IND,,82,61,58,90,83,69,58,78,,55,54,69,76,67,72,67,79,1118,69,97.8,0
Case Keenum,QB,DEN,3,74,66,68,60,77,65,59,73,66,,56,57,59,74,73,67,79,1073,67,99.9,0
Dak Prescott,QB,DAL,1,64,53,61,69,62,67,66,,59,69,64,70,71,99,69,52,78,1073,67,99.2,0
Deshaun Watson,QB,HOU,1,74,67,68,86,80,61,64,60,62,,63,65,76,72,53,65,77,1093,68,99.9,0
Lamar Jackson,QB,BAL,1,31,6,2,9,5,2,5,14,13,,79,70,66,69,77,62,77,587,36,28.7,0
Matt Ryan,QB,ATL,,70,62,68,70,64,67,65,,68,75,56,70,53,71,64,48,77,1048,65,98.8,1
DeAndre Hopkins,WR,HOU,1,73,67,68,86,80,61,64,59,61,,63,64,75,72,51,65,75,1084,67,99.4,11
Courtland Sutton,WR,DEN,1,44,54,53,42,59,35,40,49,56,,50,42,41,51,63,66,74,819,51,72.6,4
DaeSean Hamilton,WR,DEN,,14,12,15,6,32,18,4,,,,14,29,47,72,72,63,73,471,33,19.9,2
Matthew Stafford,QB,DET,1,63,77,74,54,62,,64,59,70,78,65,66,72,60,57,60,73,1054,65,99.1,0
Eli Manning,QB,NYG,,71,68,62,62,56,65,64,70,,59,53,62,72,46,65,65,71,1011,63,100,0
Josh Reynolds,WR,LAR,1,2,2,4,1,36,46,51,69,2,10,78,,67,63,75,35,70,611,38,40.1,5
Ben Roethlisberger,QB,PIT,,84,82,66,63,60,73,,70,80,50,65,78,68,41,64,75,68,1087,67,98.6,0
Mitch Trubisky,QB,CHI,2,70,66,74,59,,70,82,66,48,57,74,,,71,60,64,68,929,66,91.4,0
Amari Cooper,WR,DAL,1,69,54,60,80,50,12,,,50,55,51,47,56,90,54,44,66,838,55,74.4,7
Derek Carr,QB,OAK,1,74,65,76,92,52,60,,50,47,63,68,56,76,67,59,62,66,1033,64,98.3,0
Josh Rosen,QB,ARI,,,,13,60,51,58,66,66,,73,54,47,62,70,52,44,66,782,55,78.3,0
Larry Fitzgerald,WR,ARI,,52,26,48,52,42,49,64,66,,70,50,43,60,67,66,52,66,873,54,90.2,6
Sterling Shepard,WR,NYG,2,61,65,59,59,56,63,59,67,,56,46,57,58,43,65,58,66,938,58,93.6,4
Vyncint Smith,WR,HOU,7,37,,41,,,,,8,3,,,,,,,25,65,179,25,13,1
Chris Hogan,WR,NE,,68,55,48,70,63,47,42,45,53,54,,28,32,34,39,62,64,804,50,75.5,3
Lamar Miller,RB,HOU,,57,51,52,46,,41,45,34,40,,46,40,41,51,11,,64,619,44,60.1,1
Nelson Agholor,WR,PHI,2,68,72,80,72,52,64,59,57,,55,44,47,65,49,63,74,64,985,61,89.6,4
Tom Brady,QB,NE,,75,61,48,77,69,78,64,74,71,58,,70,74,82,62,66,64,1093,68,98.2,0
JuJu Smith-Schuster,WR,PIT,1,63,76,55,60,50,50,,56,77,42,61,66,60,52,60,69,63,960,60,83.9,7
Michael Gallup,WR,DAL,1,29,25,25,40,24,59,56,,47,57,52,36,52,77,55,41,63,738,46,63.4,2
Russell Wilson,QB,SEA,1,57,66,69,66,60,64,,63,81,68,70,62,58,,75,80,63,1068,66,100,0
T.Y. Hilton,WR,IND,,80,55,59,43,,,35,64,,42,42,60,66,54,41,58,63,762,54,62,6
Willie Snead IV,WR,BAL,3,42,57,40,40,67,54,44,52,42,,53,49,66,51,59,42,63,821,51,65.7,1
Josh Allen,QB,BUF,1,32,62,67,58,65,38,,,,,,58,72,76,68,61,62,719,59,52.8,0
Matt LaCosse,TE,DEN,,1,2,1,15,19,27,18,27,25,,19,27,47,60,68,,62,418,27,25.1,1
