NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM SNAP %,TD
Nick Mullens,QB,SF,2,,,,,,,,,55,73,,64,76,72,62,55,62,519,64,26.3,0
George Kittle,TE,SF,1,51,50,54,50,87,53,52,60,33,71,,60,67,66,59,54,61,928,58,85.2,5
Jameis Winston,QB,TB,2,,,,35,,66,95,63,,,30,73,65,70,50,80,61,688,62,45.8,0
Mohamed Sanu,WR,ATL,,56,48,59,55,59,33,40,,47,70,51,57,44,57,60,32,61,829,51,77.3,4
Nick Foles,QB,PHI,,72,79,,,,,,,,,,,,,64,81,61,357,71,20.2,0
Ryan Griffin,TE,HOU,,63,52,52,59,57,51,,,47,,47,43,61,59,44,47,61,743,53,62.4,0
Ryan Tannehill,QB,MIA,1,62,60,44,36,64,,,,,,,53,55,46,53,46,61,580,52,48.6,1
Bennie Fowler,WR,NYG,,,,,,,,35,48,,26,17,27,33,26,46,54,60,372,37,22.1,1
Cole Beasley,WR,DAL,,43,30,43,38,37,42,53,,44,48,42,43,47,65,44,35,60,714,44,65.2,3
Baker Mayfield,QB,CLE,1,,,46,82,80,74,68,64,72,53,,64,57,52,67,69,59,907,64,76.5,0
DJ Moore,WR,CAR,1,17,17,33,,29,27,27,46,53,49,45,54,66,67,57,86,59,732,45,57.4,2
Jordy Nelson,WR,OAK,,72,55,55,80,47,56,,45,43,43,,52,69,63,57,49,59,845,56,76.6,3
Kyle Allen,QB,CAR,3,,,,,,,,,,,,,,,,9,59,68,34,,0
Saquon Barkley,RB,NYG,1,55,58,44,54,48,50,59,68,,54,47,48,57,31,65,57,59,854,53,84.5,4
Julian Edelman,WR,NE,,,,,,48,71,63,73,64,54,,60,66,75,58,58,58,748,62,57,6
Kendrick Bourne,WR,SF,1,8,10,15,25,42,23,26,54,12,69,,56,67,43,46,52,58,606,37,46.6,4
Robert Foster,WR,BUF,,16,29,22,21,8,2,,,,33,,33,35,73,57,59,58,446,34,22.8,3
Richie James,WR,SF,2,,7,,,24,,3,,23,5,,31,30,4,3,4,58,192,14,12.8,1
Zay Jones,WR,BUF,1,60,51,42,53,50,58,51,60,79,62,,55,66,69,66,61,58,941,58,86.2,7
Alshon Jeffery,WR,PHI,,,,,65,54,59,64,54,,60,51,64,66,51,64,61,57,770,59,63,6
David Njoku,TE,CLE,1,78,46,62,69,72,60,57,54,55,35,,43,46,43,56,40,57,873,54,80.1,4
Josh Bellamy,WR,CHI,,2,2,18,9,,16,19,55,32,6,13,18,19,19,14,22,57,321,20,26.1,1
John Phillips,TE,ARI,,,,,,,,,,,12,15,9,12,7,7,10,57,129,16,5.8,0
Kirk Cousins,QB,MIN,1,71,73,66,74,62,71,69,73,49,,67,70,61,,69,61,57,1051,65,100,0
Doug Baldwin,WR,SEA,5,11,,,50,53,48,,54,72,67,62,56,54,,61,65,56,709,54,65.2,5
DeAndre Carter,WR,HOU,1,53,19,,,,2,3,6,,,,12,44,8,32,49,56,284,20,12.1,0
Ian Thomas,TE,CAR,2,37,64,52,,49,1,,8,2,9,2,2,53,61,54,76,56,526,32,32.7,2
James Hurst,TE,BAL,2,55,85,72,74,87,75,,,,,,,,71,56,45,56,676,67,54.5,0
Jarvis Landry,WR,CLE,,81,59,66,73,80,73,67,52,73,36,,39,46,42,57,58,56,958,59,88.7,4
Kenny Stills,WR,MIA,,59,56,40,38,60,67,49,,28,65,,51,48,40,51,37,56,745,49,78.1,6
Michael Crabtree,WR,BAL,,53,73,52,49,72,40,48,45,43,,53,47,35,51,45,43,56,805,50,70,3
Sam Darnold,QB,NYJ,3,60,65,63,55,62,71,71,54,66,,,,,51,75,60,56,809,62,82.5,0
Stefon Diggs,WR,MIN,1,61,62,57,62,53,63,63,64,,,62,66,47,,55,52,56,873,58,82.3,9
Tim Patrick,WR,DEN,1,9,4,2,2,6,2,16,19,48,,27,8,21,64,51,58,56,393,24,19.8,1
Trent Sherfield,WR,ARI,1,,,,4,3,,,,,39,20,20,31,65,65,45,56,348,26,13.8,1
Jared Goff,QB,LAR,1,63,72,77,55,66,74,51,78,60,65,80,,69,63,76,60,55,1064,66,98.7,0
Rob Gronkowski,TE,NE,,75,58,48,54,63,77,,68,,,,69,73,78,62,59,55,839,64,67.5,3
Brandin Cooks,WR,LAR,1,61,72,74,52,28,68,50,75,59,63,70,,66,62,76,59,54,989,61,89.5,5
Chosen Anderson,WR,NYJ,2,35,53,42,41,32,53,62,,47,,,48,50,38,71,56,54,682,48,60.1,6
Andy Jones,WR,DET,,,,,,,,,,2,,,21,17,37,45,62,53,237,33,3.1,1
Adam Thielen,WR,MIN,1,68,70,66,73,60,69,66,69,45,,67,68,61,,63,57,53,1011,63,96.8,9
Dalvin Cook,RB,MIN,1,57,50,,18,,,,,28,,59,41,47,,42,46,53,490,44,34,2
Marlon Mack,RB,IND,,,18,,,,24,37,49,,33,38,36,28,40,44,43,53,443,36,30.4,1
Zach Ertz,TE,PHI,1,70,74,81,76,57,71,65,57,,62,47,52,59,44,59,73,53,1000,62,95.2,8
David Johnson,RB,ARI,,36,35,43,55,48,55,48,53,,56,43,37,52,62,34,40,52,749,46,81.7,3
Teddy Bridgewater,QB,NO,,,,,,3,,,1,,11,4,,,,,,52,71,14,2.6,0
Tyler Lockett,WR,SEA,1,56,60,61,62,52,50,,44,68,59,53,55,40,,68,69,52,905,56,85.4,10
Chris Godwin,WR,TB,1,46,29,37,31,,37,66,63,37,34,23,49,52,60,41,61,51,717,44,57.2,7
Chad Williams,WR,ARI,,50,34,43,51,41,39,45,47,,,,,,,,29,51,430,43,56.2,1
Evan Engram,TE,NYG,1,64,60,13,,,,52,62,,36,17,,,33,45,42,51,475,43,43.9,3
Julio Jones,WR,ATL,,57,48,54,54,53,51,49,,55,73,51,62,41,63,32,24,51,818,51,81.6,8
Mike Evans,WR,TB,1,50,47,59,57,,57,82,70,60,55,65,58,57,61,45,66,51,940,58,83.5,8
Marquez Valdes-Scantling,WR,GB,1,2,6,12,54,77,66,,31,60,54,48,44,64,30,21,72,51,692,43,63.1,2
Robert Woods,WR,LAR,1,61,70,74,55,66,72,50,76,58,64,79,,66,63,76,60,51,1041,65,96.5,6
Adam Humphries,WR,TB,,44,29,53,49,,51,57,62,55,54,49,38,41,57,29,63,50,781,48,68.5,5
Danny Amendola,WR,MIA,,45,44,31,42,53,75,55,65,47,66,,14,,23,39,31,50,680,45,81.7,1
Levine Toilolo,TE,DET,,20,22,37,19,32,,21,14,16,38,42,28,54,48,40,46,50,527,32,39.1,1
Austin Hooper,TE,ATL,2,59,53,58,57,55,54,56,,54,61,47,48,38,55,34,31,49,809,50,80.9,4
Blaine Gabbert,QB,TEN,2,33,59,9,,,,,,,,28,,1,,3,29,49,211,26,20.5,0
Dontrelle Inman,WR,IND,,,,,,,,42,58,,18,29,46,54,,36,39,49,371,41,24.9,3
DeVante Parker,WR,MIA,1,,,33,,,4,,66,51,45,,24,46,42,19,32,49,411,37,33.9,1
Jeff Driskel,QB,CIN,3,,,,,,,9,,,7,1,44,68,67,80,47,49,372,41,8.9,0
James Washington,WR,PIT,2,11,66,40,47,35,16,,,70,46,35,18,,22,44,27,49,526,37,49.1,1
Kyle Rudolph,TE,MIN,,59,63,64,60,54,60,56,63,46,,61,64,60,,51,58,49,925,57,87.2,4
Marcell Ateman,WR,OAK,,,,,,,,,,,,65,47,62,50,49,47,49,369,52,15.7,1
Philip Rivers,QB,LAC,,82,56,52,68,64,53,44,,51,56,77,56,63,57,74,63,49,965,60,96.9,0
Rod Smith,RB,DAL,,4,3,3,13,11,8,,,7,10,8,5,8,13,6,3,49,151,9,10.1,0
Ed Dickson,TE,SEA,,,,,,,,,20,25,24,30,44,28,,46,64,48,365,36,19.7,3
John Ross,WR,CIN,3,36,45,31,17,,,30,,,36,51,68,60,60,73,45,48,600,46,45.8,7
Antonio Callaway,WR,CLE,2,15,50,69,57,55,72,51,59,39,39,,38,41,38,49,47,47,766,47,69,5
Blake Bortles,QB,JAX,,63,71,57,77,83,48,30,64,,75,68,70,,,,23,47,776,59,94.9,0
Brandon Powell,WR,DET,2,,,,,,,,1,,25,,,,,12,15,47,100,16,3.5,0
CJ Anderson,RB,LAR,,12,8,3,,8,1,3,12,3,5,,,,,,51,47,153,13,7.9,1
DeShone Kizer,QB,GB,,14,,,,,,,,,,,,,1,,,47,62,20,1.9,0
Jake Kumerow,WR,GB,,,,,,,,,,,,,,5,6,21,57,47,136,27,,1
Trey Burton,TE,CHI,,61,57,63,45,,51,70,48,40,43,59,55,67,57,46,50,47,859,53,81.2,6
Virgil Green,TE,LAC,,44,42,33,50,46,48,32,,34,47,52,45,41,40,43,29,47,673,42,69.6,1
Chris Herndon,TE,NYJ,,,44,34,36,,28,24,27,42,36,,51,49,41,52,39,46,549,39,39.4,4
Calvin Ridley,WR,ATL,1,46,35,42,38,47,7,41,,47,53,40,52,34,44,44,29,46,645,40,60.2,10
Chester Rogers,WR,IND,,47,26,40,72,64,46,36,39,,16,21,32,1,25,37,46,46,594,37,56.7,2
Kevin White,WR,CHI,,12,2,12,28,,16,20,29,,,,5,,,,,46,170,18,17,0
Randall Cobb,WR,GB,2,52,71,65,,,,,24,56,,,,61,44,47,,46,466,51,37.3,2
C.J. Uzomah,TE,CIN,2,36,37,35,51,55,56,57,63,,42,55,74,67,58,69,41,45,841,52,81.8,3
Gerald Everett,TE,LAR,1,5,8,21,23,16,21,22,17,18,16,23,,24,36,34,51,45,380,23,25.3,3
Josh Johnson,QB,WAS,,,,,,,,,,,,,,,29,68,62,45,204,51,,0
Keenan Allen,WR,LAC,1,72,51,40,57,49,39,40,,43,50,69,52,58,54,17,59,45,795,49,82.6,6
Alfred Morris,RB,SF,,34,31,23,14,44,1,20,11,10,14,,,,4,,,44,250,20,27.7,0
Chris Manhertz,TE,CAR,2,34,12,39,,37,10,6,22,25,15,12,18,8,21,15,25,44,343,21,33.2,1
Dallas Goedert,TE,PHI,1,17,17,55,31,35,32,37,30,,18,16,36,39,31,39,48,44,525,32,43.3,4
Dalton Schultz,TE,DAL,1,2,,,,,,19,,24,8,11,42,40,45,31,33,44,299,27,14.9,0
Dede Westbrook,WR,JAX,,31,51,39,57,61,44,50,58,,60,48,50,51,65,43,52,44,804,50,73.8,5
Royce Freeman,RB,DEN,,29,16,29,16,30,25,18,,,,13,15,21,9,18,25,44,308,22,26.5,0
Carlos Hyde,RB,JAX,,47,36,45,50,28,32,,28,,9,11,16,22,3,,16,43,386,27,40.6,0
Doug Martin,RB,OAK,,10,17,13,6,6,7,,28,26,30,14,28,40,33,27,34,43,362,22,25.9,0
Elijah McGuire,RB,NYJ,,,,,,,,,,36,32,,35,25,40,56,51,43,318,39,15,1
Eli Rogers,WR,PIT,,,,,,,,,,,,,,,,28,38,43,109,36,,0
Jared Cook,TE,OAK,,67,51,62,76,47,51,,31,34,37,39,32,55,57,52,34,43,768,48,73.7,6
Rashard Higgins,WR,CLE,,54,46,54,53,31,,,,29,22,,20,33,26,30,43,43,484,37,39.2,4
Seth Roberts,WR,OAK,,47,22,,30,28,44,,30,32,28,47,39,59,52,40,30,43,571,38,48.5,2
Tyler Higbee,TE,LAR,1,60,64,58,34,53,55,42,62,42,50,59,,47,27,42,50,43,788,49,77.1,2
Zach Pascal,WR,IND,2,10,18,6,44,64,61,41,28,,15,24,12,42,35,49,35,43,527,32,41.7,2
Jamison Crowder,WR,WAS,2,49,69,37,,52,,,,,,,,29,54,42,54,42,428,47,28,2
Kenyan Drake,RB,MIA,,46,36,29,22,41,49,36,37,28,34,,24,30,24,28,39,42,545,34,58.1,5
TJ Jones,WR,DET,,17,16,13,11,9,,8,,36,50,45,45,50,32,36,52,42,462,30,33.8,2
Alex Erickson,WR,CIN,,1,,7,36,36,46,20,50,,16,9,7,5,20,36,32,41,362,22,33.2,0
Josh Doctson,WR,WAS,,70,71,47,,,59,57,56,68,45,64,59,43,55,56,55,41,846,56,80.8,2
Jordan Howard,RB,CHI,,50,48,46,33,,36,46,38,26,30,48,35,34,39,34,40,41,624,39,59.8,0
Michael Thomas,WR,NO,1,61,58,75,66,51,,66,51,65,46,57,52,51,58,69,61,41,928,58,87.3,9
Patrick Mahomes,QB,KC,1,56,58,76,78,70,54,70,58,64,59,72,,71,86,60,61,41,1034,64,100,0
Taywan Taylor,WR,TEN,,9,24,32,45,25,33,49,,18,,,,29,41,54,44,41,444,34,37.4,1
Tyrell Williams,WR,LAC,,62,46,38,55,46,49,36,,47,45,67,9,50,48,65,58,41,762,47,73.5,5
Vance McDonald,TE,PIT,,,37,32,39,37,51,,27,51,25,52,33,44,38,23,34,41,564,37,49.1,4
Andre Roberts,WR,NYJ,,10,,1,3,2,7,31,32,,1,,5,11,,29,24,40,196,12,13.4,1
Blake Jarwin,TE,DAL,,22,14,12,27,18,22,9,,27,3,3,35,28,58,43,27,40,388,24,27,3
Curtis Samuel,WR,CAR,1,,,,,12,3,19,26,17,19,16,54,58,69,55,78,40,466,35,24,5
Donte Moncrief,WR,JAX,,43,51,48,60,68,38,55,56,,61,50,53,45,52,40,53,40,813,50,78.4,3
Golden Tate,WR,PHI,,57,65,55,42,48,,46,54,,18,36,39,36,20,22,29,40,607,40,61.5,4
Travis Kelce,TE,KC,1,56,57,71,73,66,51,60,55,61,58,72,,69,85,60,60,40,994,62,95.1,10
Tre'Quan Smith,WR,NO,2,12,22,26,26,44,,52,41,48,51,50,,44,41,46,26,40,569,37,50.1,5
Adam Shaheen,TE,CHI,,,,,,,,,,,,,,24,22,27,29,39,141,28,0,1
David Moore,WR,SEA,,16,20,24,43,31,30,,45,63,45,40,31,28,,58,55,39,620,38,53.4,5
Eric Ebron,TE,IND,,37,17,52,75,59,49,33,17,,21,25,49,58,45,38,20,39,634,39,56.1,13
Jimmy Graham,TE,GB,,59,58,64,54,66,56,,46,59,39,21,22,54,47,47,64,39,795,49,75.7,2
Jamaal Williams,RB,GB,2,37,47,30,28,33,27,,13,31,14,4,13,38,24,59,86,39,523,32,38.5,0
Phillip Dorsett,WR,NE,2,57,56,45,57,42,3,8,5,12,15,,9,16,7,2,27,39,400,25,40.7,3
Cameron Artis-Payne,RB,CAR,,,,,,,,,,,,3,1,1,1,,4,38,48,5,0.6,0
Corey Davis,WR,TEN,2,63,48,52,60,49,38,61,,65,59,58,53,65,50,65,49,38,873,54,88.1,4
Josh Hill,TE,NO,,24,39,49,43,38,,44,34,55,43,46,31,26,45,51,46,38,652,40,60.1,1
Mo Alie-Cox,TE,IND,1,,,,13,,12,32,25,,23,26,,,,40,32,38,241,26,16.9,2
Michael Floyd,WR,WAS,,,,,,9,7,30,9,14,31,33,26,18,31,46,53,38,345,26,21.5,1
Duke Johnson,RB,CLE,,41,23,29,29,41,35,35,23,35,17,,18,20,18,26,32,37,459,28,41.4,3
John Brown,WR,BAL,,48,67,55,45,59,41,50,46,39,,51,45,43,50,48,34,37,758,47,66.4,5
Nick Boyle,TE,BAL,,54,43,38,56,39,47,32,31,21,,53,51,50,39,22,39,37,652,40,56.6,0
Zach Zenner,RB,DET,,,,,,,,,,,2,3,4,3,16,26,27,37,118,14,1.2,0
Cameron Brate,TE,TB,,24,14,31,37,,22,39,26,27,19,20,51,44,46,41,57,36,534,33,39.2,6
Chris Conley,WR,KC,2,35,36,49,73,43,38,46,30,34,54,64,,65,85,57,57,36,802,50,70.2,5
Gus Edwards,RB,BAL,2,,,,,,14,7,8,2,,49,43,41,31,33,23,36,287,26,15,0
Jeremy Sprinkle,TE,WAS,,34,13,24,,11,21,19,19,12,26,27,10,8,16,41,46,36,363,22,29.3,1
Nick Vannett,TE,SEA,,35,26,35,54,50,,,31,48,41,42,25,25,,20,33,36,530,35,53.3,3
Tyreek Hill,WR,KC,1,40,51,69,70,64,53,52,48,62,54,69,,63,65,53,58,36,907,56,88.4,12
Aldrick Robinson,WR,MIN,,,,8,9,15,6,8,17,26,,8,18,43,,15,32,35,253,18,15.4,5
Chris Lacy,WR,DET,5,,,,,,,,,,,,,,,,,35,35,35,,0
Devontae Booker,RB,DEN,,19,22,26,20,22,22,6,32,26,,11,6,13,17,15,24,35,316,19,29.4,0
Demarcus Robinson,WR,KC,,5,7,11,45,9,6,11,20,18,43,35,,42,56,36,40,35,419,26,29.4,4
James O'Shaughnessy,TE,JAX,,26,13,12,34,36,36,,,,52,55,57,39,53,41,42,35,531,37,43.1,0
Peyton Barber,RB,TB,,48,36,44,31,,41,35,43,35,33,48,36,40,32,32,47,35,616,38,54.4,1
Auden Tate,WR,CIN,3,,,,,,,,,,7,1,32,,,,,33,73,18,5.8,0
Chris Moore,WR,BAL,2,19,26,22,32,23,39,30,38,24,,28,25,51,23,26,27,33,466,29,37.2,1
Joe Mixon,RB,CIN,1,42,39,,,47,42,45,55,,29,34,53,39,47,52,38,33,595,42,56.3,1
Keelan Cole,WR,JAX,2,47,59,53,60,74,45,52,15,,22,16,49,37,51,39,35,33,687,42,66.1,1
Brian Hill,RB,ATL,,,,,,,,,,,,,6,,9,5,14,32,66,7,0.8,0
Chris Carson,RB,SEA,,25,19,50,,35,27,,42,10,,29,32,34,,39,43,32,452,32,37.1,0
James Conner,RB,PIT,1,77,73,56,50,45,66,,56,68,24,58,67,49,,,,32,721,55,81.8,1
Melvin Gordon III,RB,LAC,,62,36,40,49,45,38,,,45,45,64,27,,,,42,32,525,43,66.3,4
Chris Ivory,RB,BUF,,7,9,54,22,18,16,36,19,30,,,19,12,27,,,31,300,23,31.9,0
Jordan Akins,TE,HOU,3,37,15,25,37,18,8,30,34,36,,18,25,21,15,14,24,31,388,24,37.6,0
Jaylen Samuels,RB,PIT,,,,,,2,,,7,6,17,2,4,17,48,39,53,31,226,16,4.9,3
LeSean McCoy,RB,BUF,,34,30,,35,47,47,2,46,37,49,,37,54,9,,31,31,489,34,50.6,0
Scott Simonson,TE,NYG,5,4,3,16,14,18,63,11,4,,13,18,18,27,22,3,24,31,289,18,26.3,1
Deontay Burnett,WR,NYJ,,,,,,,,15,41,20,,,,,,,22,30,128,25,11.1,0
Darius Jennings,WR,TEN,,6,6,7,16,8,5,3,,6,5,12,11,4,17,15,29,30,180,11,11.8,0
Jason Croom,TE,BUF,,18,16,25,13,21,16,16,17,42,44,,29,25,,32,44,30,388,25,35.7,1
Maxx Williams,TE,BAL,,44,29,37,41,27,33,20,,,,,8,21,22,43,20,30,375,28,29.1,1
Antony Auclair,TE,TB,,10,17,17,19,,23,22,15,13,14,14,36,31,23,26,30,29,339,21,25.3,0
Charles Clay,TE,BUF,,40,43,40,43,49,44,39,41,8,,,,45,42,41,,29,504,38,48.2,0
Chris Thompson,RB,WAS,,33,50,25,,40,,,26,,,,,29,25,29,22,29,308,30,23.6,1
Demetrius Harris,TE,KC,,,17,26,31,29,16,35,20,23,14,39,,31,28,18,16,29,372,24,35,3
Jordan Leggett,TE,NYJ,,15,,19,26,29,22,22,12,33,17,,17,24,19,26,16,29,326,21,30.9,1
Logan Paulsen,TE,ATL,,19,29,21,29,19,37,27,,30,27,17,20,18,,15,25,29,362,24,37,1
MyCole Pruitt,TE,TEN,,,,13,3,7,5,7,,7,8,9,8,7,21,40,27,29,191,12,9.4,1
Damien Williams,RB,KC,,5,9,7,3,2,3,2,,,1,,,19,43,44,39,28,205,14,4.5,2
Taylor Gabriel,WR,CHI,,60,63,55,48,,46,64,44,44,46,55,47,75,57,46,51,28,829,51,78.5,2
Benjamin Watson,TE,NO,,51,54,45,37,36,,35,14,33,28,21,18,20,28,32,25,27,504,31,50.1,2
Darren Sproles,RB,PHI,,29,,,,,,,,,,,,9,22,20,38,27,145,24,3.9,2
James White,RB,NE,,36,34,25,40,42,33,45,61,56,44,,37,33,33,25,29,27,600,37,59.7,7
Mark Andrews,TE,BAL,1,22,35,27,26,33,20,26,22,27,,25,18,32,25,29,20,27,414,25,34.2,3
Mike Williams,WR,LAC,1,44,39,35,46,45,38,30,,15,26,45,63,34,29,66,40,27,622,38,62.6,10
Cody Latimer,WR,NYG,,47,44,40,,,32,,,,,,,,,,20,26,209,34,23.6,1
Dwayne Allen,TE,NE,,23,13,17,45,12,11,55,12,66,42,,,,,3,37,26,362,27,39,0
Derrick Henry,RB,TEN,1,20,26,32,28,21,12,24,,14,16,21,27,28,24,49,35,26,403,25,34.1,0
Durham Smythe,TE,MIA,2,15,9,9,2,7,5,4,4,9,,,10,17,20,16,23,26,176,11,11.3,0
James Develin,RB,NE,,35,20,8,33,15,33,15,27,17,11,,30,35,36,20,36,26,397,24,32.1,0
John Kelly Jr.,RB,LAR,4,,,,,,,,,,,,,,,7,17,26,50,12,0,0
Kalen Ballage,RB,MIA,,,,,1,2,,3,1,4,6,,2,8,,26,14,26,92,7,2.7,0
Wendell Smallwood,RB,PHI,,1,24,29,36,29,44,35,31,,21,4,1,2,4,20,16,26,323,20,34.1,2
Jacquizz Rodgers,RB,TB,,15,18,26,11,,10,30,33,26,26,23,34,15,31,13,32,25,368,23,31.9,0
Mike Davis,RB,SEA,,,9,8,47,25,23,,20,59,39,22,18,10,,33,36,25,392,26,37.2,1
Sony Michel,RB,NE,,,13,23,33,28,37,6,,,17,,30,30,34,23,23,25,322,24,24.6,0
Tevin Coleman,RB,ATL,,36,41,53,40,27,38,37,,39,49,34,35,29,33,34,31,25,581,36,57.7,5
Dion Lewis,RB,TEN,,49,33,30,48,34,32,45,,59,49,44,29,40,38,23,22,24,599,37,67.4,1
Dwayne Washington,RB,NO,5,,,,2,,,,,,16,4,,,,,,24,46,7,3,0
Ryan Switzer,WR,PIT,,7,12,7,21,4,2,,19,13,8,24,52,24,28,21,35,24,301,18,21.6,1
Travaris Cadet,RB,CAR,,,,,,,,,,,,,,,,,,24,24,24,0,0
Brian Parker,TE,DEN,,,,,,5,2,5,,4,,5,9,10,15,13,55,23,146,12,4.2,0
Jesse James,TE,PIT,,69,45,33,28,36,51,,40,35,34,16,50,33,31,22,17,23,563,35,55.9,2
Nick O'Leary,TE,MIA,,,,,,,52,39,49,,21,,30,32,24,25,16,23,311,31,29.1,1
Anthony Firkser,TE,TEN,,,7,,,,15,,,,2,14,13,19,24,15,28,22,159,15,6.1,1
Jarius Wright,WR,CAR,,31,45,26,,30,37,32,17,22,29,41,27,39,38,36,57,22,529,33,48.7,1
Kenneth Dixon,RB,BAL,,22,,,,,,,,,,,,17,23,40,29,22,153,25,2.7,0
Nick Bellore,RB,DET,4,6,6,4,4,11,,14,2,6,8,17,8,,4,,6,22,118,8,11.6,0
Nick Chubb,RB,CLE,1,4,3,5,3,11,7,45,31,37,42,,46,27,33,40,39,22,395,24,29.7,2
Hayden Hurst,TE,BAL,1,,,,,21,18,18,30,27,,35,19,21,18,30,17,21,275,22,20.4,1
Javon Wims,WR,CHI,3,,,,1,,,,2,6,,,,,,,,21,30,7,1.2,0
Mike Gesicki,TE,MIA,2,21,33,27,41,30,27,16,16,27,20,,37,22,20,25,16,21,399,24,44.9,0
Luke Stocker,TE,TEN,,25,36,32,25,32,20,30,,34,32,18,25,24,39,46,38,20,476,29,45.2,2
Ricky Ortiz,RB,ATL,,10,12,9,12,13,13,13,,6,,,7,8,,,16,20,139,11,12.8,0
Trenton Cannon,RB,NYJ,,12,,,,1,3,23,29,7,13,,9,9,18,23,18,20,185,11,14.1,0
Ty Montgomery,RB,BAL,2,23,26,20,20,29,26,,6,,,9,28,27,19,,11,20,264,20,22.7,0
Torrey Smith,WR,CAR,,51,58,44,,46,42,30,,,,,13,9,2,,9,20,324,29,41,2
Trent Taylor,WR,SF,1,37,16,25,31,50,,20,19,,7,,9,23,23,15,26,20,321,22,29.4,1
Alfred Blue,RB,HOU,,10,17,16,40,79,25,27,29,22,,18,26,36,22,41,34,19,461,28,41.3,0
