Player,Tm,FantPos,Age,G,GS,Cmp,Att (Pass),Yds (Pass),TD (Pass),Int,Att (Rush),Yds (Rush),Y/A (Rush),TD (Rush),Tgt (Rec),Receptions,Yds (Rec),Y/R,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,PosRank
Spencer Rattler,NOR,QB,24,7,6,130.0,228.0,1317.0,4.0,5.0,18.0,146.0,8.11,0.0,0.0,0.0,0.0,,0.0,5.0,3.0,0,0.0,0.0,67.3,41
Tyler Huntley,MIA,QB,26,5,5,86.0,133.0,829.0,3.0,3.0,26.0,135.0,5.19,2.0,0.0,0.0,0.0,,0.0,6.0,2.0,2,0.0,0.0,60.7,42
Andy Dalton,CAR,QB,37,6,5,106.0,160.0,989.0,7.0,6.0,11.0,34.0,3.09,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0,0.0,0.0,59.0,43
Malik Willis,GNB,QB,25,7,2,40.0,54.0,550.0,3.0,0.0,20.0,138.0,6.9,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1,0.0,0.0,51.8,44
Marcus Mariota,WAS,QB,31,3,0,34.0,44.0,364.0,4.0,0.0,18.0,92.0,5.11,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0.0,0.0,45.8,45
Jacoby Brissett,NWE,QB,32,8,5,95.0,161.0,826.0,2.0,1.0,15.0,62.0,4.13,0.0,0.0,0.0,0.0,,0.0,4.0,1.0,0,0.0,1.0,45.2,46
Michael Penix,ATL,QB,24,5,3,61.0,105.0,775.0,3.0,3.0,7.0,11.0,1.57,1.0,0.0,0.0,0.0,,0.0,2.0,0.0,1,0.0,0.0,44.1,47
Joshua Dobbs,SFO,QB,29,2,1,32.0,47.0,361.0,2.0,2.0,9.0,24.0,2.67,2.0,0.0,0.0,0.0,,0.0,2.0,1.0,2,0.0,0.0,30.8,48
Tanner McKee,PHI,QB,24,2,1,30.0,45.0,323.0,4.0,0.0,5.0,-1.0,-0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,28.8,49
Kenny Pickett,PHI,QB,26,5,1,25.0,42.0,291.0,2.0,1.0,9.0,15.0,1.67,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,1,0.0,0.0,25.1,50
Desmond Ridder,LVR,QB,25,6,1,52.0,85.0,458.0,2.0,2.0,9.0,36.0,4.0,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,0,0.0,0.0,21.9,51
Jimmy Garoppolo,LAR,QB,33,1,1,27.0,41.0,334.0,2.0,1.0,2.0,5.0,2.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,19.9,53
Tyrod Taylor,NYJ,QB,35,2,0,17.0,22.0,119.0,3.0,0.0,3.0,13.0,4.33,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0,0.0,1.0,20.1,52
Joe Milton,NWE,QB,24,1,0,22.0,29.0,241.0,1.0,0.0,10.0,16.0,1.6,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1,0.0,0.0,19.2,54
Dorian Thompson-Robinson,CLE,QB,25,7,2,61.0,118.0,440.0,0.0,6.0,21.0,122.0,5.81,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,0,0.0,0.0,15.8,55
Mitchell Trubisky,BUF,QB,30,9,0,19.0,26.0,179.0,2.0,0.0,17.0,1.0,0.06,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0,0.0,0.0,15.3,56
Tim Boyle,2TM,QB,30,3,0,27.0,50.0,276.0,1.0,1.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,13.9,57
Tommy DeVito,NYG,QB,26,3,2,31.0,44.0,257.0,0.0,0.0,8.0,32.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,13.5,58
Jake Haener,NOR,QB,25,8,1,18.0,39.0,226.0,1.0,1.0,11.0,22.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,13.2,59
Trey Lance,DAL,QB,24,4,1,25.0,41.0,266.0,0.0,1.0,11.0,41.0,3.73,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,12.7,60
Davis Mills,HOU,QB,26,4,0,20.0,36.0,212.0,0.0,0.0,3.0,11.0,3.67,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,9.6,61
Skylar Thompson,MIA,QB,27,3,1,21.0,33.0,187.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0,0.0,0.0,7.9,62
Bailey Zappe,CLE,QB,25,1,1,16.0,31.0,170.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,7.0,63
Brandon Allen,SFO,QB,32,3,1,17.0,30.0,199.0,1.0,2.0,3.0,4.0,1.33,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,0,0.0,0.0,6.4,64
Carson Wentz,KAN,QB,32,3,1,12.0,19.0,118.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,4.7,65
