NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM SNAP %,TD
Michael Penix Jr.,QB,ATL,1,,,,,,,7,,,,13,,,,,67,64,79,230,46,20.1,4
Ray-Ray McCloud III,WR,ATL,1,30,,58,55,85,58,64,55,52,77,58,,77,47,24,61,40,79,920,57,85.8,1
Drake London,WR,ATL,1,56,,61,55,73,67,65,62,11,78,45,,80,74,57,49,62,78,973,60,90.3,9
Joe Flacco,QB,IND,,,,,53,70,70,,1,54,64,,,,,,,77,78,467,58,43,12
Trey Lance,QB,DAL,,,,,,,,,,,15,,2,,,,,3,78,98,24,8.4,0
Joshua Dobbs,QB,SF,3,,,,,,,,,,,,,,,,,5,76,81,40,7.5,4
Justin Herbert,QB,LAC,1,57,69,36,56,,78,66,66,57,59,67,69,46,59,51,65,69,75,1045,61,97.9,25
Joe Burrow,QB,CIN,1,51,64,62,67,67,53,55,55,73,82,82,,62,71,69,55,90,74,1132,66,99.6,45
Ja'Marr Chase,WR,CIN,1,43,59,61,53,59,49,48,55,65,77,81,,60,66,67,50,88,73,1054,62,92.7,17
KhaDarel Hodge,WR,ATL,2,2,,2,3,16,8,18,1,46,1,26,,6,1,5,,25,71,231,13,20.2,2
Michael Pittman Jr.,WR,IND,1,40,48,47,58,62,56,55,61,41,,61,41,57,,73,61,72,71,904,56,83.2,3
Khalil Herbert,RB,CIN,2,6,6,9,,3,3,,,,2,4,,6,7,3,2,18,70,139,9,12.2,1
Ricky Pearsall,WR,SF,1,,,,,,,48,40,,41,37,33,35,30,30,46,45,70,455,41,67.5,3
Tyler Huntley,QB,MIA,,,,,60,78,,46,,,,,,,,,,60,70,314,62,46.4,5
Bijan Robinson,RB,ATL,1,50,,50,36,58,39,50,42,42,61,42,,61,63,44,50,58,69,815,50,75.3,15
Mac Jones,QB,JAX,,,,14,,,3,,,,44,48,,51,59,84,67,58,69,497,49,48.1,9
Jared Goff,QB,DET,1,61,85,68,53,,57,57,42,57,65,63,72,70,80,79,65,71,68,1113,65,97.1,38
Sam LaPorta,TE,DET,1,48,75,43,47,,42,54,38,48,39,,67,66,72,77,60,66,68,910,56,79.4,7
