NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM SNAP %,TD
Tanner McKee,QB,PHI,2,,,,,,,,,,,,,,,,,21,68,89,44,7.7,4
Baker Mayfield,QB,TB,1,62,48,57,77,53,77,82,73,55,61,,65,78,62,68,72,66,67,1123,66,98.3,44
Bryce Young,QB,CAR,1,54,48,,,9,,3,61,53,60,,62,70,71,55,68,47,67,728,52,70.4,21
Lamar Jackson,QB,BAL,1,80,65,63,54,78,68,56,68,51,63,61,65,72,,49,62,52,67,1074,63,96.8,45
Jimmy Garoppolo,QB,LAR,2,,,,,,,,,,,,,,,,,,66,66,66,6.9,2
Mack Hollins,WR,BUF,1,36,32,46,36,33,46,41,35,45,65,41,,38,46,35,42,38,66,721,42,66.3,5
Spencer Rattler,QB,NO,2,,,,,,70,65,45,,,,,,,34,56,60,66,396,56,36.4,4
Bo Nix,QB,DEN,1,69,61,68,61,63,55,63,73,72,58,59,68,66,,63,64,60,65,1088,64,98.7,34
Johnny Wilson,WR,PHI,2,10,,24,32,,4,11,6,35,18,13,51,,29,23,9,20,65,350,23,31.9,1
Keon Coleman,WR,BUF,1,45,41,20,43,38,44,41,63,52,,,,,,44,39,63,65,598,46,55,4
Sam Darnold,QB,MIN,1,55,54,61,68,72,,60,50,73,84,73,69,53,58,77,66,72,65,1110,65,99.4,36
Andrei Iosivas,WR,CIN,1,51,49,48,51,53,35,39,51,67,69,56,,42,48,60,38,71,64,892,52,78.5,6
Alec Pierce,WR,IND,1,38,53,43,55,52,62,49,50,48,55,56,40,44,,35,,73,64,817,51,75.2,7
Aaron Rodgers,QB,NYJ,,38,57,73,74,72,63,57,62,58,58,51,,68,68,58,69,40,64,1030,60,96.6,28
Jahan Dotson,WR,PHI,1,32,,63,49,,22,38,26,42,30,29,50,36,24,36,47,30,64,618,39,58.3,0
Justin Jefferson,WR,MIN,1,46,38,57,61,69,,58,50,72,78,72,70,51,57,68,64,68,64,1043,61,93.4,10
Patrick Taylor Jr.,RB,SF,4,,,,,,16,,5,,,,,,20,3,51,13,64,172,13,20.1,1
Garrett Wilson,WR,NYJ,1,49,55,64,71,69,61,57,61,57,56,51,,66,67,57,69,52,63,1025,60,96.2,7
Jaylen Waddle,WR,MIA,1,51,55,51,43,61,,59,56,52,47,53,52,65,59,26,,,63,793,52,69.7,2
Brian Thomas Jr.,WR,JAX,1,41,44,52,44,37,49,40,29,49,38,45,,61,47,74,60,49,62,821,48,79.5,10
Caleb Williams,QB,CHI,1,56,70,90,60,72,63,,63,74,60,72,76,67,49,64,64,61,62,1123,66,98.9,20
Demarcus Robinson,WR,LAR,1,72,48,54,52,76,,50,61,54,58,39,51,34,47,51,38,45,62,892,52,81.8,7
Jalen Coker,WR,CAR,1,,,,7,32,43,22,42,24,53,,,,,48,56,41,62,430,39,50.4,2
Quintin Morris,TE,BUF,,6,6,9,8,4,4,3,10,8,26,28,,24,,2,,14,62,214,13,19.7,1
Tucker Kraft,TE,GB,1,64,56,42,65,50,60,55,59,65,,43,57,49,44,57,43,54,62,925,54,85.3,7
Cole Kmet,TE,CHI,1,27,54,73,54,63,57,,49,63,56,70,76,66,49,62,57,57,61,994,58,87.5,4
Joe Milton III,QB,NE,2,,,,,,,,,,,,,,,,,,61,61,61,5.6,2
Russell Wilson,QB,PIT,,,,,,,,68,66,,78,75,62,67,65,42,60,75,61,719,65,63.7,18
Kyler Murray,QB,ARI,1,61,60,59,59,58,58,54,66,55,52,,58,82,71,63,70,79,60,1065,62,97.2,26
Nick Westbrook-Ikhine,WR,TEN,1,13,10,13,17,,13,34,70,75,54,50,60,55,60,64,55,69,60,772,45,70.6,9
Davante Adams,WR,NYJ,1,58,59,61,,,,55,58,45,56,48,,66,58,54,67,48,59,792,56,75.1,8
Josh Downs,WR,IND,1,,,32,41,43,55,38,45,27,44,48,29,,,58,36,47,59,602,43,55.4,5
Jalen McMillan,WR,TB,2,53,38,44,,,14,49,59,,,,41,61,49,46,60,53,59,626,48,54.8,8
Mike Evans,WR,TB,1,45,38,47,59,46,44,23,,,,,39,67,51,47,58,48,59,671,47,58.8,11
Parker Washington,WR,JAX,1,7,13,22,14,8,18,21,42,46,23,28,,56,44,72,63,48,59,584,34,56.5,5
Jordan Addison,WR,MIN,1,28,,,45,65,,51,46,67,62,44,67,50,45,66,59,65,58,818,54,73.2,10
Trey McBride,TE,ARI,1,52,55,50,,51,54,54,64,52,42,,56,77,67,64,65,73,58,934,58,85.2,4
Allen Lazard,WR,NYJ,1,51,47,61,65,72,59,33,,,,,,,53,46,51,54,57,649,54,78.1,6
Elijah Moore,WR,CLE,,71,52,54,43,43,38,54,49,60,,53,40,64,60,53,51,51,56,892,52,75.6,1
George Pickens,WR,PIT,1,46,51,50,60,34,45,54,53,,63,69,62,63,,,,68,56,774,55,68.6,3
Jerry Jeudy,WR,CLE,1,62,57,60,51,47,52,80,67,79,,62,48,78,66,59,60,77,56,1061,62,89.9,4
Jonathan Taylor,RB,IND,1,43,29,49,48,,,,52,39,53,63,53,55,,52,47,68,56,707,50,65,12
Jalen Tolbert,WR,DAL,1,42,60,60,39,68,64,,55,73,56,66,64,55,39,36,17,42,56,892,52,76.2,7
Amon-Ra St. Brown,WR,DET,1,60,79,65,47,,43,54,42,53,64,63,68,66,68,72,55,56,55,1010,59,88.1,13
Geno Smith,QB,SEA,1,67,70,64,90,58,78,59,51,80,,60,64,64,64,35,64,52,55,1075,63,97.7,23
Jameson Williams,WR,DET,1,52,78,48,51,,51,43,,,48,51,60,55,55,69,54,56,55,826,55,79.3,8
Mark Andrews,TE,BAL,1,59,41,21,26,43,34,32,50,28,55,37,27,53,,39,47,35,55,682,40,61.4,11
Quentin Johnston,WR,LAC,1,38,48,37,43,,32,,,39,49,55,45,31,48,38,44,54,55,656,43,61.5,8
Rome Odunze,WR,CHI,1,43,66,89,47,60,53,,47,65,41,59,66,52,49,53,53,56,55,954,56,84,3
Brandin Cooks,WR,DAL,,50,57,64,46,,,,,,,,,30,36,46,46,42,54,471,47,69.5,3
Keenan Allen,WR,CHI,,38,,,41,61,53,,61,69,56,66,68,64,47,55,59,58,54,850,56,74.8,7
Payne Durham,TE,TB,2,17,16,12,15,12,24,,11,16,17,,24,31,25,30,67,59,54,430,26,37.7,2
Bailey Zappe,QB,CLE,,,,,,,,,,,,,,,,,,,53,53,53,8.6,1
Drew Lock,QB,NYG,,,,,,,,12,,,,,1,63,77,,59,56,53,321,40,28.5,8
Terry McLaurin,WR,WAS,1,48,66,50,51,45,47,49,53,46,57,47,57,66,,70,62,68,53,935,55,80.4,13
Zach Ertz,TE,WAS,1,42,47,38,49,38,47,40,56,30,49,53,53,55,,18,48,55,53,771,45,66.3,7
Foster Moreau,TE,NO,1,51,47,40,42,28,34,42,57,63,44,51,,46,49,35,27,44,52,752,44,69.1,5
Juwan Johnson,TE,NO,2,23,24,28,50,42,54,51,32,51,31,34,,49,49,40,41,46,52,697,41,64.1,3
Jaxon Smith-Njigba,WR,SEA,1,53,58,56,76,51,73,51,42,71,,50,42,49,62,56,56,50,52,948,55,86.2,6
Rico Dowdle,RB,DAL,3,28,30,37,25,38,19,,,55,31,41,40,53,46,54,46,41,52,636,39,54.3,5
Ronnie Rivers,RB,LAR,,7,3,6,13,,,,,,,,,,,,,,52,81,4,7.4,0
Adam Thielen,WR,CAR,1,41,45,23,,,,,,,,,38,51,53,47,40,40,51,429,42,69.1,5
E.J. Jenkins,TE,PHI,3,3,,,,,,,,11,,,,,2,9,6,11,51,93,11,16.6,1
Ladd McConkey,WR,LAC,1,38,34,33,43,,49,57,41,48,46,49,59,29,,46,51,61,51,735,45,68.9,7
Mike Gesicki,TE,CIN,2,18,30,31,22,29,19,17,31,27,58,51,,27,20,22,19,51,51,523,30,46,2
T.J. Hockenson,TE,MIN,1,,,,,,,,,33,39,35,48,34,37,50,46,50,51,423,42,61,0
Tylan Wallace,WR,BAL,,9,7,14,10,14,5,10,6,20,12,9,7,40,,14,25,22,51,275,16,24.8,1
Brenton Strange,TE,JAX,1,19,41,50,42,49,23,28,22,9,18,24,,29,26,69,34,42,50,575,33,55.7,2
Jacob Cowing,WR,SF,1,,,,4,,1,12,12,,3,1,,1,3,4,10,5,50,106,7,9.8,0
Michael Carter,RB,ARI,3,,,,,,,,,,,,,,,,25,57,50,132,44,61.7,1
Rashod Bateman,WR,BAL,1,67,53,39,37,49,47,45,57,35,49,49,37,29,,45,50,28,50,766,45,69,9
Tee Higgins,WR,CIN,1,,,56,43,48,45,45,,,,69,,56,62,60,40,62,50,636,53,55.9,10
Tyler Johnson,WR,LAR,,51,45,29,10,11,,50,27,29,10,7,13,8,16,5,,,50,361,24,33.1,1
De'Von Achane,RB,MIA,1,37,47,45,44,11,,40,38,42,37,42,36,49,60,45,50,32,49,704,41,61.9,12
Derrick Henry,RB,BAL,1,37,30,37,37,39,43,34,35,35,39,30,39,37,,27,46,41,49,635,37,57.2,18
DK Metcalf,WR,SEA,1,59,61,53,73,58,70,47,,,,54,50,48,51,55,57,46,49,831,55,75.5,5
Davis Mills,QB,HOU,2,,,13,,,3,,,,,,,,,,,7,49,72,18,6.5,0
J.K. Dobbins,RB,LAC,,33,32,30,40,,57,45,54,42,39,49,21,,,,,42,49,533,41,63.2,9
Pat Freiermuth,TE,PIT,1,50,38,55,53,46,58,48,43,,45,45,44,46,40,30,41,45,49,776,45,68.7,7
Aidan O'Connell,QB,OAK,2,,,13,,26,63,14,,,,,,68,44,,74,77,48,427,47,49.5,9
Brock Bowers,TE,OAK,1,41,43,42,48,55,50,66,53,55,,62,72,61,57,63,70,70,48,956,56,85.1,5
Bucky Irving,RB,TB,1,20,17,18,32,23,49,29,31,19,28,,34,43,10,32,41,42,48,516,30,45.2,8
Courtland Sutton,WR,DEN,1,63,54,50,48,51,47,56,61,61,54,52,58,62,,57,58,56,48,936,55,84.9,9
DeMario Douglas,WR,NE,1,39,38,43,38,40,41,20,38,49,27,43,47,45,,31,43,49,48,679,39,62.1,3
Darius Slayton,WR,NYG,1,51,49,59,58,65,68,58,72,60,,,34,43,66,46,50,45,48,872,54,77.5,2
Dontayvion Wicks,WR,GB,1,31,36,29,58,45,10,24,21,35,,16,28,48,39,30,42,46,48,586,34,54.1,5
Jakobi Meyers,WR,OAK,1,52,59,59,57,68,,,47,59,,57,76,63,61,60,68,64,48,898,59,80,4
Marvin Harrison Jr.,WR,ARI,1,55,46,52,54,44,8,48,60,43,43,,55,72,60,54,57,66,48,865,50,78.9,8
Mitchell Trubisky,QB,BUF,2,,4,8,8,1,,,7,,1,,,15,,,,10,48,102,11,9.4,2
Xavier Hutchinson,WR,HOU,2,12,9,12,13,48,33,41,44,59,57,28,8,,,8,34,39,48,493,30,44.5,0
Ainias Smith,WR,PHI,2,,,,,,,,8,5,18,6,7,,,,,5,47,96,13,12.7,1
Adam Trautman,TE,DEN,2,24,25,46,28,34,17,40,41,44,34,37,36,37,,27,28,29,47,574,33,52.1,2
Jake Ferguson,TE,DAL,1,39,,53,41,57,46,,52,63,45,7,,,46,44,35,42,46,616,44,52.6,0
Marquez Valdes-Scantling,WR,NO,1,13,4,49,25,28,22,,,32,29,39,,53,48,43,,47,46,478,34,47.8,4
Breece Hall,RB,NYJ,1,42,41,52,51,53,55,47,46,44,47,43,,42,,28,53,31,45,720,45,67.5,8
Curtis Samuel,WR,BUF,2,17,12,17,22,34,25,2,,17,66,44,,22,36,19,,,45,378,27,34.7,1
Jahmyr Gibbs,RB,DET,1,31,53,31,30,,37,33,19,22,39,33,48,32,45,59,45,37,45,639,37,55.8,20
Jayden Reed,WR,GB,1,48,39,36,59,45,39,43,41,44,,26,36,36,25,38,40,45,45,685,40,63.2,7
Kayshon Boutte,WR,NE,2,,,18,15,40,55,50,55,66,62,73,60,71,,45,64,41,45,760,50,69.5,3
Tony Pollard,RB,TEN,1,39,44,34,39,,43,65,62,66,29,37,63,40,40,31,24,,45,701,43,64.1,5
Charlie Woerner,TE,ATL,2,23,,19,17,13,25,11,35,26,38,,,47,35,40,34,34,44,441,28,40,0
Nate Adkins,TE,DEN,3,14,12,25,28,32,15,19,35,27,21,30,20,26,,29,21,22,44,420,24,38.1,3
Austin Hooper,TE,NE,2,36,37,30,38,25,37,23,32,27,41,39,26,36,,31,50,24,43,575,33,52.6,3
Isaiah Likely,TE,BAL,2,53,32,39,31,55,46,35,47,17,,30,35,36,,39,41,48,43,627,39,56.5,6
Julian Hill,TE,MIA,2,42,28,25,30,40,,36,21,,29,38,31,24,32,27,31,37,43,514,32,45.2,0
Malik Washington,WR,MIA,1,,,,14,20,,25,16,21,18,27,23,27,30,40,58,52,43,414,29,36.4,1
Malik Willis,QB,GB,2,2,70,63,,,,,26,,,,4,,,,9,,43,217,31,20,4
Will Dissly,TE,LAC,1,25,35,23,20,,52,48,45,39,32,38,52,29,24,,,35,43,540,36,50.6,2
Jonnu Smith,TE,MIA,1,20,32,23,25,32,,34,43,42,23,55,47,51,46,45,37,29,42,626,36,55,8
Sterling Shepard,WR,TB,,,,4,50,36,58,37,45,33,44,,35,35,30,36,24,,42,509,36,49.4,1
Zach Charbonnet,RB,SEA,2,23,67,54,38,21,24,33,23,20,,19,24,29,51,47,14,39,42,568,33,51.6,9
Drew Sample,TE,CIN,1,27,33,25,38,29,26,28,18,56,46,49,,39,49,47,49,55,41,655,38,57.6,1
Jordan Akins,TE,CLE,,43,35,45,28,20,5,18,15,25,,16,24,20,13,33,31,44,41,456,26,38.6,2
Michael Mayer,TE,OAK,2,34,39,31,,,,,,,,34,34,43,54,47,45,58,41,460,41,53.4,0
Miles Sanders,RB,CAR,,22,20,31,22,23,15,11,21,12,6,,,,,,,,41,224,20,33.9,3
Tre Tucker,WR,OAK,1,47,38,52,50,59,60,75,53,56,,58,69,66,59,64,68,69,41,984,57,87.6,4
Van Jefferson,WR,PIT,3,49,54,11,60,47,43,42,53,,55,43,18,43,48,35,47,32,41,721,42,63.9,2
Aaron Jones,RB,MIN,1,30,33,38,56,16,,43,46,55,44,39,56,28,38,47,54,37,40,700,41,62.7,7
Calvin Austin III,WR,PIT,1,28,30,37,39,44,24,34,38,,35,26,40,16,23,35,48,56,40,593,34,52.5,5
Josh Reynolds,WR,JAX,,55,41,35,26,30,,,,,,,,,,28,29,28,40,312,34,47.3,1
Olamide Zaccheaus,WR,WAS,,26,24,5,18,34,23,29,26,24,16,28,24,29,,38,47,63,40,494,29,42.5,3
Tim Patrick,WR,DET,,,33,34,21,,30,30,37,44,32,56,36,49,53,64,42,40,40,641,40,59.1,3
Tommy Tremble,TE,CAR,1,,22,58,61,17,,,37,,,,51,70,46,35,51,25,40,513,42,49.6,2
D'Onta Foreman,RB,CLE,,1,27,11,13,21,20,11,13,,,,,,,,2,37,39,195,17,16.5,0
Javon Baker,WR,NE,2,,6,,,,,,,4,4,5,11,2,,,8,11,39,90,8,8.2,0
KaVontae Turpin,WR,DAL,1,6,19,18,7,22,32,,14,17,8,23,14,14,10,14,25,33,39,315,18,26.9,4
Malik Heath,WR,GB,2,,,11,10,45,17,1,1,,,3,15,1,6,,,15,39,164,12,15.1,2
Wan'Dale Robinson,WR,NYG,1,48,35,43,45,59,64,49,62,47,49,,49,48,77,52,55,36,39,857,50,76.2,3
Chris Conley,WR,SF,,29,9,20,5,,6,44,52,,,3,4,3,15,3,4,4,38,239,15,22.2,0
David Moore,WR,CAR,,19,2,19,9,24,6,14,50,46,50,,58,63,62,32,61,15,38,568,33,54.9,3
Devaughn Vele,WR,DEN,1,34,,,,,34,28,25,29,38,42,44,31,,38,36,30,38,447,34,40.6,3
Zay Jones,WR,ARI,1,,,,,,,11,17,11,23,,22,32,24,21,27,31,38,257,23,32.4,0
Alexander Mattison,RB,OAK,,36,14,28,21,40,43,55,38,24,,20,,,,22,42,24,37,444,31,39.5,5
DJ Chark,WR,LAC,,,,,,,,,,,1,,,2,15,9,12,29,37,105,15,16.7,1
Dameon Pierce,RB,HOU,1,9,,,,,18,7,4,,,4,,7,,7,4,14,37,111,10,10,2
Josh Whyle,TE,TEN,2,18,28,25,35,,23,26,31,12,22,14,22,12,5,18,9,8,37,345,20,31.5,1
Mason Kinsey,WR,TEN,2,,,,,,,,8,,,,,,2,4,14,6,37,71,11,17.7,0
Malik Nabers,WR,NYG,1,71,50,61,62,,,54,71,62,66,,55,60,73,64,53,47,37,886,59,78.8,7
Robert Woods,WR,HOU,,12,9,13,54,16,,,24,39,24,20,13,21,,24,34,21,37,361,24,32.6,0
Cade Stover,TE,HOU,2,15,14,19,24,24,34,31,34,35,29,29,20,37,,,,19,36,400,26,36.1,1
John Metchie III,WR,HOU,1,,,,9,3,25,23,20,50,44,39,40,31,,21,,40,36,381,29,34.4,1
Kevin Austin Jr.,WR,NO,2,,,,,,,,,,26,41,,43,44,41,50,42,36,323,40,66.2,0
Luke Schoonmaker,TE,DAL,2,19,28,25,19,20,21,,2,1,11,44,43,50,23,28,20,21,36,411,24,35.1,1
Tutu Atwell,WR,LAR,2,6,10,43,55,63,,43,9,26,13,7,17,22,35,20,11,9,36,425,25,39,0
Will Levis,QB,TEN,1,64,66,54,11,,58,,,,54,59,67,55,64,33,,,36,621,51,56.8,13
Will Shipley,RB,PHI,1,4,,,1,,,9,2,1,11,,,1,,,,,36,65,4,5.6,0
Austin Ekeler,RB,WAS,2,31,31,13,,33,47,28,42,29,45,34,44,,,,,,35,412,34,48.4,4
Kyle Pitts,TE,ATL,1,54,,42,38,74,45,55,30,31,40,44,,33,58,23,30,30,35,662,41,61.9,4
Noah Fant,TE,SEA,1,50,57,28,51,40,54,32,31,,,,,43,38,35,46,29,35,569,40,51.7,1
Ray Davis,RB,BUF,2,6,14,12,10,2,40,13,17,9,11,15,,19,13,18,14,16,35,264,15,24.3,6
Ja'Tavion Sanders,TE,CAR,2,43,24,26,20,45,48,32,22,45,53,,12,,35,27,39,26,34,531,33,51.4,1
Calvin Ridley,WR,TEN,1,54,54,39,38,,48,58,60,72,50,52,53,55,53,51,54,64,33,888,52,81.2,5
Kenneth Gainwell,RB,PHI,2,15,,14,25,,13,24,9,22,22,13,23,7,14,31,14,15,33,294,17,26,1
Drew Ogletree,TE,IND,1,12,14,20,24,26,21,25,18,32,22,25,30,32,,30,35,41,32,439,25,40.4,1
Dalton Schultz,TE,HOU,1,63,44,64,65,67,57,50,47,56,48,48,46,43,,47,48,40,32,865,50,78.1,2
Jalen Nailor,WR,MIN,1,26,50,54,14,41,,44,21,20,42,32,28,31,24,41,35,38,32,573,33,51.3,6
JuJu Smith-Schuster,WR,KC,,12,13,41,32,56,,7,,,,20,41,40,34,38,27,31,32,424,30,36.9,2
Jamari Thrash,WR,CLE,2,,,,,,,7,,4,,14,12,15,,11,18,30,32,143,15,12.1,0
Kylen Granson,TE,IND,,25,33,27,20,18,17,14,20,24,24,32,35,32,,27,19,31,32,430,25,39.6,0
Marcus Mariota,QB,WAS,2,,,,,9,,59,,,,,,,,,,,32,100,33,11.1,5
Tyrone Tracy Jr.,RB,NYG,1,15,12,22,17,45,66,39,41,47,60,,24,46,65,46,37,37,32,651,38,57.9,6
AJ Barner,TE,SEA,2,32,25,18,35,15,24,24,19,73,,51,54,26,24,17,19,14,31,501,29,45.5,4
Daniel Bellinger,TE,NYG,2,16,4,26,13,14,14,7,1,14,8,,17,4,61,46,39,50,31,365,21,32.4,0
David Martin-Robinson,TE,TEN,3,,,,,,,,,,,,,,5,3,2,5,31,46,9,4.2,0
Elijah Higgins,TE,ARI,2,25,36,19,40,24,18,21,19,25,29,,18,25,16,24,19,22,31,411,24,37.5,2
Jeremy Ruckert,TE,NYJ,1,17,21,33,24,24,30,17,23,21,20,15,,17,20,39,20,21,31,393,23,36.9,0
Jordan Whittington,WR,LAR,1,2,26,22,59,72,,9,,,5,5,,6,10,10,12,9,31,278,18,25.5,0
Luke Farrell,TE,JAX,2,14,28,27,27,27,17,31,13,14,16,14,,20,23,27,32,29,31,390,22,37.8,0
Cedrick Wilson Jr.,WR,NO,1,29,12,25,14,12,36,48,,37,,10,,23,25,20,31,32,30,384,25,35.3,2
Jaheim Bell,TE,NE,3,,1,,,,6,1,8,3,2,4,8,4,,4,5,7,30,83,5,7.6,0
Jaleel McLaughlin,RB,DEN,1,24,17,18,21,23,14,14,23,23,7,9,20,24,,15,,14,30,296,18,26.9,3
Josh Oliver,TE,MIN,2,26,29,31,46,45,,35,35,41,57,41,,,30,36,31,39,30,552,36,49.4,3
Mo Alie-Cox,TE,IND,,18,18,31,31,29,34,33,27,26,27,28,23,36,,23,30,31,30,475,27,43.7,1
Najee Harris,RB,PIT,1,38,30,40,48,43,31,33,39,,37,45,27,36,27,14,17,34,30,569,33,50.4,6
Travis Etienne Jr.,RB,JAX,1,37,43,49,30,22,11,,,17,30,36,,37,28,61,35,28,30,494,32,47.8,2
Carson Wentz,QB,KC,,,,,,,,1,,,,,,,,8,,,29,38,12,3.3,0
Greg Dortch,WR,ARI,3,37,23,39,43,24,36,17,25,22,15,,12,19,27,18,21,25,29,432,25,39.4,3
Tyler Lockett,WR,SEA,,36,57,36,64,49,61,36,40,71,,47,41,30,43,45,44,36,29,765,45,69.5,2
Tip Reiman,TE,ARI,3,20,38,20,25,26,12,30,29,29,35,,20,34,23,30,26,24,29,450,26,41.1,0
Brock Wright,TE,DET,2,30,29,47,29,,34,28,20,34,37,65,34,30,49,18,34,37,28,583,34,50.9,2
Xavier Legette,WR,CAR,1,35,20,44,61,22,51,36,38,44,59,,58,67,62,23,,32,28,680,42,65.8,4
Emanuel Wilson,RB,GB,2,16,13,26,30,15,23,12,12,13,,3,15,4,3,6,25,20,27,263,15,24.3,5
Hassan Haskins,RB,LAC,2,,5,,2,,3,3,1,,5,6,31,7,1,1,13,28,27,133,7,12.5,3
Jonathan Mingo,WR,DAL,2,33,30,49,56,41,30,11,33,15,,24,15,26,14,13,15,30,27,462,27,40.1,0
Tyler Higbee,TE,LAR,1,,,,,,,,,,,,,,,,14,17,27,58,19,33.1,2
Tyreek Hill,WR,MIA,1,50,52,46,44,62,,62,57,59,46,52,50,57,70,63,56,53,27,906,53,79.6,6
Bo Melton,WR,GB,2,8,16,17,11,29,27,8,12,11,,5,23,9,9,2,22,16,26,251,14,23.2,0
Chris Manhertz,TE,NYG,,20,26,27,29,19,19,8,11,16,25,,12,21,15,27,16,25,26,342,20,30.4,1
Colby Parkinson,TE,LAR,3,69,42,58,53,62,,35,46,32,11,19,19,20,37,32,17,23,26,601,35,55.1,1
Jayden Daniels,QB,WAS,1,59,71,59,72,58,59,10,74,62,64,66,70,83,,78,68,83,26,1062,62,91.3,31
Mason Rudolph,QB,TEN,,,,,54,,,73,76,77,,,,,,37,61,69,26,473,59,43.2,10
Tucker Fisk,TE,LAC,2,,,,,,,,,,23,24,18,20,21,14,28,32,26,206,22,36,0
Troy Franklin,WR,DEN,1,,12,17,19,11,36,33,27,29,20,27,27,27,,29,26,20,26,386,24,35,2
Dyami Brown,WR,WAS,2,33,50,34,18,37,19,21,24,26,10,25,24,43,,61,45,,25,495,30,42.6,1
Jauan Jennings,WR,SF,2,35,38,60,36,36,34,,,,58,60,45,46,45,51,60,60,25,689,45,63.9,6
Kenny Yeboah,TE,NYJ,,,,,,,,,,4,5,3,,2,12,29,12,14,25,106,11,19,1
River Cracraft,WR,MIA,,,,,,,,,,,4,6,16,9,,22,18,20,25,120,15,20.1,0
Tank Bigsby,RB,JAX,2,17,,9,17,23,17,40,38,28,10,,,32,31,22,19,23,25,351,21,34,7
Jordan Mims,RB,NO,1,5,3,1,,,16,,,12,8,11,,,,,25,,24,105,9,10.3,0
Jamaal Williams,RB,NO,,22,15,10,11,8,3,12,23,,,,,4,5,6,10,25,24,178,12,16.4,1
Kendrick Bourne,WR,NE,1,,,,,16,34,37,52,54,,36,41,46,,27,51,38,24,456,38,54,1
Lil'Jordan Humphrey,WR,DEN,,21,47,50,42,40,19,33,44,35,34,27,38,21,,21,23,27,24,546,32,49.5,1
Terrell Jennings,RB,NE,3,,,,,,14,,,,,,,,,,,,24,38,12,14.8,0
Brian Robinson Jr.,RB,WAS,1,33,43,45,45,23,,26,35,,,35,12,39,,58,43,45,23,505,36,43.4,8
Craig Reynolds,RB,DET,,,3,2,2,,11,2,6,3,,6,3,,1,,10,24,23,96,5,8.4,0
Derius Davis,WR,LAC,1,7,14,9,,,19,,,2,2,7,7,12,22,2,8,14,23,148,9,13.9,2
Grant Calcaterra,TE,PHI,2,36,,27,27,,57,47,57,73,42,37,40,27,53,74,66,52,23,738,45,66.2,1
Jordan Love,QB,GB,1,65,,,76,59,73,58,44,65,,46,68,54,50,64,60,63,23,868,57,80.1,26
Jaylen Warren,RB,PIT,1,21,32,23,,,25,35,26,,35,26,39,25,34,23,40,40,23,447,29,39.6,1
Javonte Williams,RB,DEN,1,36,40,35,35,40,37,41,42,39,17,32,38,30,,34,33,22,23,574,33,52.1,4
Marvin Mims Jr.,WR,DEN,1,12,9,16,10,12,17,12,21,25,13,14,16,23,,16,30,28,23,297,17,27,6
Nick Vannett,TE,TEN,,16,20,15,32,,19,32,31,36,14,36,31,11,28,26,16,13,23,399,23,36.5,3
Diontae Johnson,WR,HOU,,39,45,64,58,48,59,30,,17,5,11,6,,,,,,22,404,33,44.2,3
