NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM SNAP %,TD
Easton Stick,QB,LAC,1,,,,,,,,,,,,,,37,65,70,65,83,320,64,27.6,4
Josh Allen,QB,BUF,1,69,74,57,50,60,59,71,69,58,54,72,95,,77,61,55,67,78,1126,66,96.7,44
Nick Mullens,QB,MIN,2,,,,,,,,,,,,,,19,68,55,29,73,244,48,31.5,7
Quentin Johnston,WR,LAC,1,22,10,16,33,,35,34,48,48,61,56,29,47,60,60,58,59,72,748,44,64.6,2
Trevor Lawrence,QB,JAX,1,70,67,68,66,88,61,56,71,,54,63,76,53,76,62,45,,71,1047,65,89.8,25
Stefon Diggs,WR,BUF,1,58,68,45,44,52,57,62,68,55,53,61,87,,61,31,33,45,69,949,55,81.5,8
Jordan Addison,WR,MIN,1,36,40,58,28,54,49,52,68,73,71,70,53,,69,62,21,49,68,921,54,82.2,10
Justin Jefferson,WR,MIN,1,63,58,78,47,51,,,,,,,,,13,65,54,53,68,550,55,85.3,5
Kyler Murray,QB,ARI,1,,,,,,,,,,63,61,70,68,,72,61,75,68,538,67,98.5,13
Trey McBride,TE,ARI,1,23,33,30,19,19,44,35,63,36,50,61,61,65,,53,59,67,68,786,46,69.4,3
Carson Wentz,QB,LAR,2,,,,,,,,,,,,3,,,,,,67,70,35,12.8,3
Gardner Minshew,QB,IND,1,3,39,84,,44,78,70,71,61,57,,73,71,61,67,71,56,66,972,60,84.7,18
Michael Pittman Jr.,WR,IND,1,70,56,84,61,66,78,68,70,54,54,,70,68,55,21,,50,66,991,61,86.3,4
Zay Jones,WR,JAX,1,62,44,,,38,,,,,,45,54,64,64,38,,,66,475,52,40.7,2
Baker Mayfield,QB,TB,1,68,71,47,71,,56,73,68,66,64,71,58,62,68,62,74,56,65,1100,64,99.7,29
Dak Prescott,QB,DAL,1,51,87,81,63,39,64,,56,75,60,61,54,89,82,57,66,65,65,1115,65,94.2,38
Trevor Siemian,QB,NYJ,1,,,,,,,,,,,,,23,,36,90,73,65,287,57,59.8,2
Alec Pierce,WR,IND,1,66,57,81,58,65,58,70,67,61,55,,69,70,58,65,71,55,64,1090,64,94.9,2
Quez Watkins,WR,PHI,2,52,11,,,52,,,,,,,16,46,26,36,1,,64,304,33,36.9,1
Austin Ekeler,RB,LAC,1,41,,,,,50,40,46,39,50,46,53,35,49,26,45,47,63,630,45,54.4,6
Aidan O'Connell,QB,OAK,1,,,,73,,,14,,60,64,61,58,,54,64,55,75,63,641,58,61.3,13
Evan Engram,TE,JAX,1,51,50,52,48,75,48,46,56,,49,45,53,58,68,52,60,43,63,917,53,78.6,4
Tyrod Taylor,QB,NYG,1,3,,3,2,23,77,68,25,,,,,,,4,31,74,63,373,33,42.5,5
Davante Adams,WR,OAK,1,53,37,70,63,60,64,49,44,53,62,60,58,,53,52,50,73,62,963,56,92.1,8
Mason Rudolph,QB,PIT,1,,,,,,,,,,,,,,,6,59,72,62,199,49,18.6,3
