NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM SNAP %,TD
Tutu Atwell,WR,LAR,1,64,75,48,64,50,50,50,60,39,,59,24,25,9,,4,4,62,687,42,59.8,3
CeeDee Lamb,WR,DAL,1,46,63,67,44,34,54,,53,70,60,57,50,82,73,57,58,62,61,991,58,83.7,14
Cade Otton,TE,TB,1,66,69,43,71,,54,70,66,66,62,68,60,61,66,56,72,53,61,1064,62,96.5,4
Jarrett Stidham,QB,DEN,1,,,,,,,,,,,,,,,4,,69,61,134,44,12.5,2
Sam Darnold,QB,SF,2,2,,4,1,11,,,,,13,,,4,,10,19,5,61,130,13,12.2,3
Calvin Ridley,WR,JAX,1,57,53,60,53,75,51,49,61,,52,57,71,59,72,57,61,45,60,993,58,85.2,8
Jordan Love,QB,GB,1,55,50,79,57,58,,64,68,72,68,72,56,64,68,60,66,66,60,1083,63,98.8,36
Khalil Shakir,WR,BUF,1,7,12,16,16,19,24,24,45,41,41,56,76,,47,33,32,55,60,604,35,51.9,2
Andrei Iosivas,WR,CIN,2,1,2,8,10,26,8,,10,9,18,,14,7,10,18,46,20,59,266,16,24.4,4
Derek Carr,QB,NO,1,62,69,33,56,58,79,86,55,52,33,,63,42,50,59,58,64,59,978,57,84.5,25
Blaine Gabbert,QB,KC,2,,,21,,,,,,,,,,,,,,,58,79,39,7,0
Breece Hall,RB,NYJ,1,17,16,31,26,34,43,,41,49,46,36,38,46,42,23,69,52,58,667,39,60.6,9
Jakobi Meyers,WR,OAK,1,47,,62,70,61,64,61,45,49,58,50,53,,53,56,45,71,58,903,56,86.3,11
Mecole Hardman Jr.,WR,KC,2,,14,2,6,,6,11,22,13,,16,,,,,,5,58,153,13,20.9,0
Michael Wilson,WR,ARI,1,56,28,41,50,43,67,55,68,,58,,,,,65,55,65,58,709,54,62.6,3
Alex Erickson,WR,LAC,2,,,,,,,,,,,51,34,8,45,36,37,61,57,329,41,53.8,1
Austin Hooper,TE,OAK,1,31,17,55,37,36,24,22,10,29,27,29,24,,20,26,49,64,57,557,32,53.3,0
Brandin Cooks,WR,DAL,1,34,,65,49,32,50,,40,58,41,52,43,80,63,42,52,51,57,809,50,68.3,8
Bailey Zappe,QB,NE,1,,,,15,15,,,,,8,,33,64,57,53,58,53,57,413,41,39.3,7
Jared Goff,QB,DET,1,70,66,70,75,57,70,75,86,,66,62,84,58,65,66,79,69,57,1175,69,99.7,32
Nelson Agholor,WR,BAL,1,24,25,52,43,41,37,22,27,42,23,27,29,,43,28,37,26,57,583,34,51.8,4
Tyler Huntley,QB,BAL,2,,,,3,,,3,,19,,,,,,,,4,57,86,14,7.6,3
C.J. Stroud,QB,HOU,1,76,84,56,71,58,63,,58,72,75,66,60,66,48,,,58,56,967,64,85.3,26
Mike Evans,WR,TB,1,57,43,38,26,,45,57,58,55,47,56,55,51,63,53,57,46,56,863,50,78.2,13
Demario Douglas,WR,NE,1,33,6,17,18,7,,37,41,53,50,,33,,,38,43,50,55,481,34,45.8,0
Geno Smith,QB,SEA,1,51,72,75,38,,74,60,58,49,81,57,56,69,,,62,49,55,906,60,86.2,21
Johnny Mundt,TE,MIN,2,5,1,7,8,10,7,8,4,6,16,13,7,,5,7,23,41,55,223,13,19.9,1
Ryan Tannehill,QB,TEN,2,63,65,46,66,60,37,,,,,,,,,,66,42,55,500,50,47.6,5
Trent Sherfield,WR,BUF,2,11,32,31,27,11,22,16,22,21,9,10,19,,15,39,33,19,55,392,23,33.7,1
Daniel Bellinger,TE,NYG,2,44,28,30,6,27,41,36,67,54,46,51,47,,50,35,40,32,54,688,40,62.3,0
Jason Brownlee,WR,NYJ,3,,,,,,,,2,,,19,57,34,,,74,71,54,311,44,28.2,1
Tucker Kraft,TE,GB,1,13,2,10,13,23,,32,19,28,35,30,54,61,68,57,61,61,54,621,36,56.7,2
Ezekiel Elliott,RB,NE,1,28,22,27,22,25,23,21,22,25,23,,15,44,52,46,48,43,53,539,31,51.3,5
Isaiah Hodgins,WR,NYG,2,42,51,33,28,28,18,20,48,31,34,24,18,,20,18,27,18,53,511,30,46.3,3
Jeff Driskel,QB,CLE,2,,,,,,,,,,,,,,,,,,53,53,53,50.5,2
Olamide Zaccheaus,WR,PHI,2,7,35,44,61,9,57,41,30,26,,22,18,24,15,5,18,6,53,471,27,41.1,2
Bryce Young,QB,CAR,1,77,59,,72,70,69,,67,71,60,59,74,72,80,66,66,54,52,1068,66,92.8,11
David Bell,WR,CLE,2,10,11,10,8,,10,3,3,,,2,13,28,7,5,20,35,52,217,14,17.5,3
Darius Slayton,WR,NYG,1,47,56,42,66,49,67,57,74,51,45,28,28,,52,59,59,64,52,896,52,81.2,4
Jake Browning,QB,CIN,1,4,,,,,,,,,,34,43,73,55,70,64,74,52,469,52,43.1,15
James Conner,RB,ARI,1,52,47,39,44,12,,,,,41,42,30,52,,36,36,50,52,533,41,61.8,9
Jake Ferguson,TE,DAL,1,42,52,56,39,34,55,,52,67,52,52,39,66,60,49,55,58,52,880,51,74.3,5
Tua Tagovailoa,QB,MIA,1,67,63,58,65,54,56,49,77,63,,70,69,48,72,53,65,64,52,1045,61,95.2,29
Desmond Ridder,QB,ATL,2,52,82,67,58,77,83,65,31,,22,,62,68,72,52,,8,51,850,56,75.2,17
Jonathan Taylor,RB,IND,1,,,,,10,33,35,43,45,50,,42,,,,42,35,51,386,38,44.3,8
Chris Godwin,WR,TB,1,58,53,41,53,,47,51,58,58,50,57,50,52,57,50,59,48,50,892,52,80.9,3
Cedrick Wilson Jr.,WR,MIA,1,,,34,23,29,25,29,23,41,,45,27,33,40,47,40,59,50,545,36,49.6,3
Davis Allen,TE,LAR,3,1,,,1,1,4,13,3,6,,1,9,1,55,26,17,4,50,192,12,16.7,1
George Pickens,WR,PIT,1,56,46,55,58,58,,53,62,58,62,53,53,49,60,54,46,56,50,929,54,86.7,5
James Proche II,WR,CLE,1,,,,,,,,,6,3,,,,,,,,50,59,5,8.3,0
Josh Reynolds,WR,DET,1,49,53,54,55,28,57,55,71,,46,45,54,44,36,38,47,50,50,832,48,70.6,5
Tyler Conklin,TE,NYJ,1,43,41,48,40,36,46,,44,50,42,38,35,50,38,38,75,58,50,772,45,70.1,0
Aaron Jones,RB,GB,1,28,,,20,,,23,35,41,38,15,,,,29,34,42,49,354,32,32.3,3
Chris Olave,WR,NO,1,51,61,49,53,57,72,73,49,45,54,,34,41,34,,45,47,49,814,50,70.3,5
Devin Singletary,RB,HOU,1,16,30,22,25,17,34,,23,54,61,57,49,31,32,58,33,38,49,629,37,55.5,5
Sam Howell,QB,WAS,1,71,73,54,78,70,51,69,72,78,61,81,78,52,,44,34,46,49,1061,62,95.8,26
Adam Thielen,WR,CAR,1,68,52,73,65,69,56,,65,71,60,53,66,64,65,63,58,50,48,1046,61,90.9,4
James Cook,RB,BUF,1,41,46,42,23,37,30,37,46,32,25,35,41,,34,38,41,38,48,634,37,54.5,6
Joshua Palmer,WR,LAC,1,52,37,40,56,,71,62,47,,,,,,,47,65,,48,525,52,68.4,2
Parker Washington,WR,JAX,1,,,,1,,,,,,,10,1,41,47,28,38,25,48,239,26,28.8,2
Richie James,WR,KC,1,23,3,,,,,,,,,,9,4,11,2,25,12,48,137,15,20.9,0
Rachaad White,RB,TB,1,54,51,43,50,,44,55,56,53,46,57,52,54,57,50,50,41,48,861,50,78.1,9
Terrace Marshall Jr.,WR,CAR,2,69,22,47,45,,22,,4,31,47,,,,,,,,48,335,37,29.1,0
Zamir White,RB,OAK,2,5,6,1,7,,4,14,1,5,1,,2,,5,45,42,43,48,229,13,21.9,1
Charlie Woerner,TE,SF,2,21,9,27,7,22,5,21,11,,24,22,18,12,22,11,16,17,47,312,18,29.3,0
Donald Parham Jr.,TE,LAC,2,40,34,34,15,,30,25,43,32,32,47,28,38,15,,,,47,460,32,39.7,4
Drew Sample,TE,CIN,1,18,14,34,17,28,19,,24,26,23,18,19,42,40,40,35,53,47,497,29,45.7,2
Greg Dortch,WR,ARI,1,,,,1,1,16,4,,22,1,46,54,47,,48,48,62,47,397,24,35,2
Justin Fields,QB,CHI,1,74,53,51,72,64,35,,,,,75,70,,71,73,70,74,47,829,63,72.8,20
Jalen Reagor,WR,NE,1,,,,,,14,25,31,49,1,,,6,20,29,50,36,47,308,28,39,1
La'Mical Perine,RB,KC,4,,,,,,,,,4,,,1,,,,3,4,47,59,11,15.7,0
Nico Collins,WR,HOU,1,54,52,37,54,51,46,,42,57,,51,46,55,3,,35,38,47,668,44,58.9,8
Saquon Barkley,RB,NYG,1,45,66,,,,60,57,67,47,35,50,42,,48,31,56,66,47,717,51,64.9,10
Travis Etienne Jr.,RB,JAX,1,56,48,52,56,73,51,49,63,,35,47,47,43,59,43,48,39,47,856,50,73.4,12
Drake London,WR,ATL,1,47,67,62,50,66,68,55,37,,55,,52,58,55,44,49,49,46,860,53,76.1,2
DK Metcalf,WR,SEA,1,48,60,54,39,,58,,45,42,72,46,48,62,53,56,55,47,46,831,51,79.1,8
James Mitchell,TE,DET,3,6,2,2,10,,,,6,,7,6,4,3,11,6,29,19,46,157,10,13.3,0
Wan'Dale Robinson,WR,NYG,1,,,11,48,48,46,41,60,34,27,37,40,,44,53,45,61,46,641,42,58.1,2
Bo Melton,WR,GB,2,,,,,,,,,,,,2,,,18,25,49,45,139,27,44,1
Bijan Robinson,RB,ATL,1,33,59,54,44,47,64,11,50,42,53,,39,51,56,30,48,45,45,771,45,68.2,8
Josh Downs,WR,IND,1,57,43,67,47,47,61,50,57,12,14,,50,48,50,39,66,35,45,788,46,68.6,2
Rashid Shaheed,WR,NO,1,35,38,44,38,41,62,63,18,32,46,,19,,,36,49,38,45,604,40,52.2,6
Dalton Schultz,TE,HOU,1,62,60,38,35,34,40,,45,57,66,57,29,,,65,59,48,44,739,49,65.2,5
Tommy Tremble,TE,CAR,1,18,8,22,31,14,31,,36,32,27,45,53,,52,55,48,38,44,554,34,48.1,3
A.T. Perry,WR,NO,1,,,,,,,,8,16,56,,53,41,32,26,36,32,43,343,34,29.6,4
Chris Conley,WR,SF,2,,,9,,,,1,,,,,,9,8,6,12,22,43,110,13,21.7,0
Colby Parkinson,TE,SEA,3,22,37,53,32,,33,32,20,22,33,23,20,29,27,21,23,28,43,498,29,47.4,2
DeAndre Hopkins,WR,TEN,1,49,39,35,35,50,48,,43,51,50,25,30,65,45,49,54,47,43,758,44,72.2,7
Dalton Kincaid,TE,BUF,2,55,47,35,30,32,,43,58,52,41,51,58,,60,33,23,38,43,699,43,60.1,2
DJ Moore,WR,CHI,1,68,48,51,67,56,63,63,58,66,67,73,65,,65,64,52,60,43,1029,60,90.4,9
Dontayvion Wicks,WR,GB,2,37,25,52,33,13,,14,23,23,30,24,,25,43,47,26,,43,458,30,41.8,4
Kenny Yeboah,TE,NYJ,2,,,,,,,,,,,,,,23,9,23,25,43,123,24,34.7,0
Laquon Treadwell,WR,BAL,,,,,17,,,,,,,,,,,,,5,43,65,13,21,0
Tyler Lockett,WR,SEA,1,45,61,61,38,,57,42,49,44,64,36,53,61,48,46,50,40,43,838,49,79.7,5
Terry McLaurin,WR,WAS,1,63,54,44,63,58,43,61,68,67,53,65,66,45,,51,56,41,43,941,55,85,5
Allen Robinson II,WR,PIT,1,56,47,50,50,57,,38,46,47,50,45,45,33,41,36,40,48,42,771,45,72,0
Chuba Hubbard,RB,CAR,1,28,22,27,39,34,53,,45,46,30,29,47,47,62,48,42,38,42,679,39,59,5
Tre Tucker,WR,OAK,2,,9,12,18,7,22,32,6,28,15,24,13,,3,29,22,52,42,334,20,31.9,2
Amon-Ra St. Brown,WR,DET,1,66,49,66,66,,64,73,79,,61,57,77,46,57,61,78,69,41,1010,63,85.7,10
Blake Bell,TE,KC,3,26,15,22,16,20,14,17,3,16,,3,13,9,6,10,9,11,41,251,14,22.2,1
Ben Skowronek,WR,LAR,2,21,20,12,22,6,3,13,5,15,,9,14,24,6,3,1,1,41,216,12,18.8,1
Jahan Dotson,WR,WAS,1,62,62,51,56,56,41,58,61,59,58,64,66,45,,46,45,39,41,910,53,82.2,4
Kylen Granson,TE,IND,1,44,37,44,35,26,45,,,30,32,,31,24,24,20,28,35,41,496,33,43.2,1
K.J. Osborn,WR,MIN,2,58,56,76,40,64,53,65,62,20,,71,47,,51,37,47,33,41,821,51,73.2,3
Mike Gesicki,TE,NE,1,33,53,34,33,16,36,30,15,55,46,,18,6,19,21,38,36,41,530,31,50.4,2
Tony Pollard,RB,DAL,1,37,56,70,37,34,51,,42,58,54,45,41,69,59,41,46,55,41,836,49,70.6,6
Charlie Kolar,TE,BAL,3,13,,,2,,6,11,14,17,7,11,19,,16,25,20,28,40,229,15,20.3,1
Foster Moreau,TE,NO,3,32,36,,,48,39,45,46,31,21,,31,40,33,45,24,38,40,549,36,47.4,1
Rondale Moore,WR,ARI,1,42,42,33,54,38,50,44,55,36,42,44,53,37,,47,50,50,40,757,44,66.8,2
Tyreek Hill,WR,MIA,1,44,54,39,47,25,38,38,58,57,,41,44,31,34,,55,50,40,695,43,63.3,13
Durham Smythe,TE,MIA,1,67,61,26,55,44,44,45,51,53,,,54,41,56,43,55,51,39,785,49,71.5,0
Darnell Washington,TE,PIT,2,24,26,29,25,46,,31,10,32,33,27,37,34,30,14,29,45,39,511,30,47.7,0
Josh Oliver,TE,MIN,1,30,20,27,22,25,22,30,33,24,32,34,21,,28,35,20,24,39,466,27,41.6,2
Kyle Pitts,TE,ATL,1,32,57,52,37,41,46,34,41,39,50,,31,45,61,34,46,43,39,728,42,64.4,3
Ty Chandler,RB,MIN,1,11,7,12,,,,3,1,,32,23,18,,40,55,36,30,39,307,18,27.4,3
Garrett Wilson,WR,NYJ,1,50,43,61,55,54,57,,57,79,62,54,55,68,62,55,86,72,38,1008,59,91.6,3
Jerry Jeudy,WR,DEN,1,,45,47,30,54,34,40,42,,49,39,41,42,38,40,50,33,38,662,41,61.8,2
John Metchie III,WR,HOU,1,,14,15,16,25,16,,7,11,19,15,19,24,28,8,18,37,38,310,19,27.3,0
Justyn Ross,WR,KC,3,6,9,29,4,6,10,17,,,,,,,,,10,7,38,136,13,12.8,0
Jonnu Smith,TE,ATL,2,26,55,48,32,49,45,35,48,39,31,,22,27,50,17,44,46,38,652,38,57.7,3
Jack Stoll,TE,PHI,2,13,27,41,6,22,22,24,23,27,,31,36,26,11,22,39,30,38,438,25,38.2,0
Pat Freiermuth,TE,PIT,1,32,41,49,30,,,,,,,31,42,36,48,44,37,46,38,474,39,58.2,2
Ronnie Bell,WR,SF,1,7,27,31,9,14,1,,5,,12,5,6,7,,8,3,10,38,183,10,17.2,3
Treylon Burks,WR,TEN,1,57,42,36,,,,,35,38,,,,10,46,48,48,45,38,443,40,42.2,0
Dawson Knox,TE,BUF,1,58,55,41,29,42,46,45,,,,,,,36,42,26,30,37,487,40,60,2
Marcus Mariota,QB,PHI,2,,,,,,,,,,,,,5,2,,,,37,44,14,3.8,1
Najee Harris,RB,PIT,1,33,31,31,29,37,,34,35,38,33,33,38,36,40,20,26,38,37,569,33,53.1,8
Xavier Gipson,WR,NYJ,1,1,,,11,20,7,,16,47,45,45,42,48,30,40,56,51,37,496,29,45,2
Derrick Henry,RB,TEN,1,30,46,18,39,37,29,,44,36,27,25,34,34,34,34,32,23,36,558,32,53.1,14
Jayden Reed,WR,GB,1,32,28,52,38,29,,31,53,28,35,50,41,30,47,25,,23,36,578,36,52.7,10
Jaxon Smith-Njigba,WR,SEA,1,30,40,33,29,,53,38,38,40,50,44,42,46,42,42,39,33,36,675,39,64.2,4
Lil'Jordan Humphrey,WR,DEN,2,45,21,13,10,8,15,20,22,,14,19,20,25,38,37,40,45,36,428,25,39.9,3
Ray-Ray McCloud III,WR,SF,3,3,4,38,13,13,44,19,29,,,2,8,,,,,,36,209,17,25.6,0
Tyler Johnson,WR,LAR,3,,,,,,,,,,,,,,,,,,36,36,36,25.4,1
Xavier Hutchinson,WR,HOU,2,7,18,,,8,12,,5,9,10,6,7,,41,65,31,26,36,281,17,24.8,0
Britain Covey,WR,PHI,1,,,4,6,,2,7,,,,1,,,2,,1,,35,58,3,5.1,0
Chris Moore,WR,TEN,2,9,30,18,52,37,20,,28,31,52,30,35,59,31,38,49,42,35,596,35,56.8,0
Harrison Bryant,TE,CLE,2,27,26,25,12,,27,17,24,24,24,24,14,31,27,19,22,28,35,406,23,32.7,3
Joe Mixon,RB,CIN,1,35,47,58,42,63,38,,47,51,47,39,28,52,38,49,38,45,35,752,44,69.1,12
Mo Alie-Cox,TE,IND,2,30,23,25,17,12,8,32,23,31,34,,34,24,18,35,19,34,35,434,25,37.8,3
Cedric Tillman,WR,CLE,1,11,9,11,14,,,,,54,66,66,65,66,46,50,60,57,34,609,43,49.1,0
DJ Chark Jr.,WR,CAR,1,,37,74,66,70,46,,62,41,,44,55,29,71,49,48,45,34,771,51,67,5
Darren Waller,TE,NYG,1,38,61,41,69,66,71,56,17,,,,,,,26,40,49,34,568,47,69.2,1
Jordan Akins,TE,CLE,3,23,9,13,15,,7,5,9,19,5,15,10,12,17,11,15,12,34,231,13,18.6,0
Ronnie Rivers,RB,LAR,3,,4,,23,9,4,,,,,,,,,,15,4,34,93,10,15.2,0
Cole Kmet,TE,CHI,1,72,36,39,53,53,63,63,55,58,66,59,62,,60,63,30,13,33,878,51,77.2,6
De'Von Achane,RB,MIA,2,,6,30,39,26,,,,,,3,,37,33,24,36,33,33,300,27,35.6,11
Jamaal Williams,RB,NO,2,49,18,,,,,20,15,27,15,,20,22,23,29,13,40,33,324,24,36.9,1
Lucas Krull,TE,DEN,3,,,,,,,,,,20,,,22,17,29,22,23,33,166,23,35.7,1
Pharaoh Brown,TE,NE,2,6,8,25,22,11,19,23,21,7,33,,37,32,28,31,27,36,33,399,23,38,1
Elijah Mitchell,RB,SF,2,10,,28,,,7,4,7,,17,8,17,5,,,,26,32,161,14,15.1,2
Stone Smartt,TE,LAC,3,6,22,17,26,,11,28,39,9,22,23,8,8,,17,22,19,32,309,19,26.7,1
Adam Trautman,TE,DEN,1,46,54,54,42,57,36,43,58,,48,43,61,38,46,30,34,34,31,755,44,70.4,3
Chigoziem Okonkwo,TE,TEN,1,52,45,39,43,35,40,,49,54,34,16,28,50,48,40,47,41,31,692,40,65.9,1
Ja'Marr Chase,WR,CIN,1,54,59,74,50,76,49,,56,63,54,60,38,70,52,50,,54,31,890,55,81.8,7
Justice Hill,RB,BAL,1,19,43,,7,39,27,30,31,48,14,17,20,,30,18,42,20,31,436,27,38.7,4
Juwan Johnson,TE,NO,1,49,62,43,,,,,40,47,51,,53,38,21,27,43,50,31,555,42,47.9,4
Diontae Johnson,WR,PIT,1,27,,,,,,39,61,57,53,50,52,44,48,50,37,42,30,590,45,71.1,5
John Bates,TE,WAS,2,26,38,31,27,14,20,41,34,37,25,47,30,25,,24,26,25,30,500,29,45.2,0
Tanner Hudson,TE,CIN,4,,,36,23,,,,,16,20,21,13,12,14,25,32,34,30,276,23,35.7,1
Van Jefferson,WR,ATL,1,75,66,51,71,2,22,32,48,45,26,,22,36,32,13,26,24,30,621,36,54.1,0
Jahmyr Gibbs,RB,DET,2,19,32,42,28,,,65,60,,38,35,60,26,41,32,46,43,29,596,39,50.6,11
Keelan Doss,WR,LAC,3,,,,5,,12,3,,,,,,,,,,49,29,98,19,28.1,0
Puka Nacua,WR,LAR,1,63,69,53,78,56,55,63,57,47,,59,54,40,72,75,69,61,29,1000,58,87.1,6
Trey Palmer,WR,TB,1,23,35,34,53,,37,47,55,48,54,51,41,38,58,35,39,41,29,718,42,65.1,3
Zach Charbonnet,RB,SEA,2,12,19,32,13,,18,,34,27,42,55,49,42,25,27,26,28,29,478,29,45.5,1
Brandon Johnson,WR,DEN,2,32,30,37,17,32,16,22,,,,,,9,11,4,47,58,28,343,26,42.7,4
Curtis Samuel,WR,WAS,1,46,45,40,54,49,32,38,14,,31,13,43,32,,43,40,23,28,571,35,51.6,5
Courtland Sutton,WR,DEN,1,55,59,59,40,54,49,51,56,,65,44,52,51,50,60,9,,28,782,48,72.9,10
David Montgomery,RB,DET,1,55,30,,53,45,18,,,,25,25,23,36,23,34,31,27,28,453,32,38.5,13
DeVante Parker,WR,NE,1,,74,55,45,53,45,35,23,,,,51,55,,48,54,15,28,581,44,55.3,0
Jalen Hurts,QB,PHI,1,66,77,80,71,79,70,72,63,62,,56,66,67,53,69,75,49,28,1103,64,96.2,38
Luke Schoonmaker,TE,DAL,2,16,31,19,39,20,17,,25,12,28,25,22,25,19,12,13,17,28,368,21,31.1,2
Taysom Hill,QB,NO,2,9,31,18,33,28,49,52,29,29,20,,25,28,,12,10,24,28,425,26,36.7,7
Brevin Jordan,TE,HOU,2,,15,10,14,2,12,,,,,15,26,51,42,19,19,31,27,283,20,25,2
Elijah Higgins,TE,ARI,2,,,,,,,6,12,15,12,9,19,22,,25,17,28,27,192,17,16.9,1
Jordan Mason,RB,SF,3,,,4,8,13,15,,,,3,2,,3,6,13,,5,27,99,5,9.3,3
Jaylen Warren,RB,PIT,2,25,23,28,29,32,,27,32,26,33,26,34,26,37,40,34,39,27,518,30,48.4,4
Kenneth Walker III,RB,SEA,1,32,44,38,39,,56,48,24,24,39,7,,,33,34,36,21,27,502,33,47.8,9
Noah Gray,TE,KC,2,57,41,47,34,43,39,35,29,31,,32,30,24,26,33,32,32,27,592,34,52.4,2
Pierre Strong Jr.,RB,CLE,1,,13,8,9,,1,23,24,5,,3,2,10,5,12,13,14,27,169,9,13.6,1
Rashod Bateman,WR,BAL,2,25,44,50,,27,34,29,40,43,40,52,57,,34,31,37,41,27,611,38,54.3,1
Royce Freeman,RB,LAR,2,,,,,,,29,33,24,,42,23,4,8,17,,,27,207,14,21.7,2
Tyler Boyd,WR,CIN,1,47,55,59,48,60,48,,54,57,59,55,27,55,31,40,51,51,27,824,48,75.7,2
Demarcus Robinson,WR,LAR,2,3,6,1,7,,,,,9,,7,40,38,66,71,65,57,26,396,24,34.5,4
Logan Thomas,TE,WAS,1,58,29,,62,55,40,47,53,57,45,57,50,34,,48,43,28,26,732,45,66.1,4
Marvin Mims Jr.,WR,DEN,1,17,16,15,17,20,12,18,28,,52,31,32,18,25,27,30,,26,384,24,35.8,2
Nick Vannett,TE,LAC,4,,,,,,,,,12,11,11,,,15,23,16,11,26,125,15,18.6,0
Rico Dowdle,RB,DAL,2,9,18,11,6,10,10,,23,14,22,21,12,16,23,15,11,,26,247,15,20.9,4
Trenton Irwin,WR,CIN,2,12,11,,22,62,24,,17,14,52,58,31,15,12,10,26,37,26,429,26,39.4,1
Antonio Gibson,RB,WAS,1,25,35,33,30,38,20,26,37,34,29,,36,31,,27,27,20,25,473,29,42.7,3
Brayden Willis,TE,SF,3,,,5,1,,,,,,,,,,4,6,1,6,25,48,6,4.5,0
Hunter Luepke,RB,DAL,1,4,18,8,14,6,8,,6,5,5,8,4,11,8,4,11,8,25,153,9,12.9,1
Javonte Williams,RB,DEN,1,29,30,26,8,,18,31,45,,39,27,47,39,40,31,27,31,25,493,30,46,5
Jeff Wilson Jr.,RB,MIA,3,,,,,,,7,19,11,,,23,5,1,8,15,34,25,148,14,20.9,0
Kenneth Gainwell,RB,PHI,2,41,,37,27,30,29,23,19,23,,17,23,39,25,28,30,26,25,442,27,38.5,2
Braxton Berrios,WR,MIA,1,35,21,37,32,20,20,29,41,17,,,38,25,33,24,30,30,24,456,28,41.5,1
Equanimeous St. Brown,WR,CHI,2,,,,42,24,,,,,28,32,34,,,,,29,24,213,30,24.6,0
Kendre Miller,RB,NO,3,,,21,5,26,18,3,9,6,,,,,,,,,24,112,14,9.7,1
Roschon Johnson,RB,CHI,3,29,22,23,16,6,,,24,20,30,25,52,,20,36,32,36,24,395,26,34.7,2
Tylan Wallace,WR,BAL,1,,1,,,,,,,12,,3,2,,5,3,5,10,24,65,5,7.5,1
Alexander Mattison,RB,MIN,2,47,44,66,33,37,45,37,44,42,33,48,31,,23,,5,21,23,579,36,51.7,3
Brandon Aiyuk,WR,SF,1,58,30,,42,56,61,52,54,,42,53,59,51,49,46,66,61,23,803,50,75.3,7
Connor Heyward,TE,PIT,1,17,10,13,15,37,,51,49,40,34,8,24,19,11,16,14,22,23,403,23,37.6,0
Dallas Goedert,TE,PHI,1,61,74,74,71,75,54,57,58,48,,,,,46,58,64,46,23,809,57,70.5,3
Jalen Tolbert,WR,DAL,2,16,59,14,24,22,15,,29,31,48,30,20,32,37,28,24,25,23,477,28,40.3,2
