Player,Tm,FantPos,Age,G,GS,Cmp,Att (Pass),Yds (Pass),TD (Pass),Int,Att (Rush),Yds (Rush),Y/A (Rush),TD (Rush),Tgt (Rec),Receptions,Yds (Rec),Y/R,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,PosRank
Puka Nacua,LAR,WR,23,11,11,0.0,0.0,0.0,0.0,0.0,11.0,46.0,4.18,1.0,106.0,79.0,990.0,12.53,3.0,0.0,0.0,4,0.0,0.0,206.6,33
Xavier Worthy,KAN,WR,21,17,13,0.0,0.0,0.0,0.0,0.0,20.0,104.0,5.2,3.0,98.0,59.0,638.0,10.81,6.0,0.0,0.0,9,0.0,0.0,187.2,32
D.K. Metcalf,SEA,WR,27,15,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,108.0,66.0,992.0,15.03,5.0,2.0,2.0,5,0.0,0.0,191.2,34
Alec Pierce,IND,WR,24,16,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,69.0,37.0,824.0,22.27,7.0,0.0,0.0,7,0.0,0.0,161.4,35
Quentin Johnston,LAC,WR,23,15,11,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,0.0,91.0,55.0,711.0,12.93,8.0,0.0,0.0,8,0.0,0.0,174.7,36
Keenan Allen,CHI,WR,32,15,15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,121.0,70.0,744.0,10.63,7.0,1.0,0.0,7,0.0,0.0,184.4,37
Josh Downs,IND,WR,23,14,8,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,107.0,72.0,803.0,11.15,5.0,0.0,0.0,5,0.0,0.0,183.5,38
Cooper Kupp,LAR,WR,31,12,11,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,0.0,100.0,67.0,710.0,10.6,6.0,1.0,0.0,6,0.0,0.0,175.0,39
Khalil Shakir,BUF,WR,24,15,9,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,100.0,76.0,821.0,10.8,4.0,1.0,0.0,4,0.0,0.0,182.5,40
George Pickens,PIT,WR,23,14,12,0.0,0.0,0.0,0.0,0.0,2.0,-6.0,-3.0,0.0,103.0,59.0,900.0,15.25,3.0,1.0,1.0,3,0.0,0.0,164.4,41
Nick Westbrook-Ikhine,TEN,WR,27,17,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,60.0,32.0,497.0,15.53,9.0,0.0,0.0,9,0.0,0.0,135.7,42
Deebo Samuel,SFO,WR,28,15,15,0.0,0.0,0.0,0.0,0.0,42.0,136.0,3.24,1.0,81.0,51.0,670.0,13.14,3.0,2.0,1.0,4,0.0,0.0,153.6,44
Jalen Tolbert,DAL,WR,25,17,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,79.0,49.0,610.0,12.45,7.0,0.0,0.0,7,0.0,0.0,152.0,43
Jalen McMillan,TAM,WR,23,13,12,0.0,0.0,0.0,0.0,0.0,4.0,43.0,10.75,0.0,58.0,37.0,461.0,12.46,8.0,0.0,0.0,8,0.0,0.0,135.4,45
Michael Pittman Jr.,IND,WR,27,16,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,111.0,69.0,808.0,11.71,3.0,1.0,1.0,3,0.0,0.0,165.8,46
Demarcus Robinson,LAR,WR,30,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,64.0,31.0,505.0,16.29,7.0,0.0,0.0,7,0.0,0.0,123.5,47
Adam Thielen,CAR,WR,34,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,62.0,48.0,615.0,12.81,5.0,0.0,0.0,5,0.0,0.0,139.5,49
Jaylen Waddle,MIA,WR,26,15,15,0.0,0.0,0.0,0.0,0.0,4.0,12.0,3.0,0.0,83.0,58.0,744.0,12.83,2.0,0.0,0.0,2,2.0,0.0,149.6,48
DeAndre Hopkins,2TM,WR,32,16,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,80.0,56.0,610.0,10.89,5.0,1.0,0.0,5,0.0,0.0,147.0,50
Marvin Mims,DEN,WR,22,17,2,0.0,0.0,0.0,0.0,0.0,13.0,42.0,3.23,0.0,52.0,39.0,503.0,12.9,6.0,1.0,0.0,6,0.0,0.0,129.5,52
Rome Odunze,CHI,WR,22,17,12,0.0,0.0,0.0,0.0,0.0,3.0,15.0,5.0,0.0,101.0,54.0,734.0,13.59,3.0,2.0,1.0,3,0.0,0.0,144.9,51
Wan'Dale Robinson,NYG,WR,23,17,7,0.0,0.0,0.0,0.0,0.0,3.0,18.0,6.0,0.0,140.0,93.0,699.0,7.52,3.0,0.0,0.0,3,0.0,0.0,182.7,53
Tank Dell,HOU,WR,25,14,10,0.0,0.0,0.0,0.0,0.0,9.0,43.0,4.78,0.0,81.0,51.0,667.0,13.08,3.0,0.0,0.0,3,0.0,0.0,140.0,54
Allen Lazard,NYJ,WR,29,12,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,60.0,37.0,530.0,14.32,6.0,0.0,0.0,6,0.0,0.0,126.0,55
Chris Godwin,TAM,WR,28,7,7,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,62.0,50.0,576.0,11.52,5.0,1.0,0.0,5,0.0,0.0,137.8,56
Romeo Doubs,GNB,WR,24,13,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,72.0,46.0,601.0,13.07,4.0,0.0,0.0,4,1.0,0.0,132.1,57
Andrei Iosivas,CIN,WR,25,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,61.0,36.0,479.0,13.31,6.0,0.0,0.0,6,0.0,0.0,119.9,58
Calvin Austin III,PIT,WR,25,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,58.0,36.0,548.0,15.22,4.0,1.0,1.0,5,0.0,0.0,118.8,59
Keon Coleman,BUF,WR,21,13,12,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,0.0,57.0,29.0,556.0,19.17,4.0,0.0,0.0,4,1.0,0.0,111.5,60
Demario Douglas,NWE,WR,24,17,7,0.0,0.0,0.0,0.0,0.0,3.0,16.0,5.33,0.0,87.0,66.0,621.0,9.41,3.0,1.0,0.0,3,0.0,0.0,147.7,62
Tre Tucker,LVR,WR,23,17,14,0.0,0.0,0.0,0.0,0.0,9.0,44.0,4.89,1.0,81.0,47.0,539.0,11.47,3.0,0.0,0.0,4,0.0,0.0,129.3,61
